Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True,Scores
20937,1,0,0.0,0.0,0.0,0.0,0.0,[],['36d9112f9a892afbf06b12ca8f32efaa4c25f94d'],{}
23000,4,1,1.0,0.25,0.4,1.0,0.3903800499921017,['9a587f6135dd0213babd15aac0ae3d243c1a64ed'],"['0dfe3aed52721dd872c9a6362e97f5d70af27b35', '4daea32cfd119561e0359735b6a7f2236130064c', '9a587f6135dd0213babd15aac0ae3d243c1a64ed', 'f862bce7d07203b4bbf3a2a1bb11b77a684f66c4']","{'9a587f6135dd0213babd15aac0ae3d243c1a64ed': 1.0, '0dfe3aed52721dd872c9a6362e97f5d70af27b35': 0.3}"
23277,2,0,0.0,0.0,0.0,0.0,0.0,[],"['72a4677839655ce45b21d90b670ea8493ca7909f', '822f2e321580fcf8982c728cf82eeeb0196a3a15']",{}
26166,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['809d4af9784bbedb14e19e685b16bf719e3e70e4'],"['35d419c54c2a130d9c66bdd63f387f659bc99fc4', '809d4af9784bbedb14e19e685b16bf719e3e70e4', 'ff9cd9a65ed4b4d38daa849bba30a26befa86334']","{'809d4af9784bbedb14e19e685b16bf719e3e70e4': 0.9, '838f226365f67411a2a90339431ecd0c461b5c6e': 0.35, '8eae02ca8a4499e43b0ef481be22ce60057aff0b': 0.4}"
27483,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['ce90ec5d2d3151be9361a00132484d19d62f4e44'],"['21cc8033201170d2c3c38a8b747df0221e850091', '30848d608440a864336bf9740e1b56bf15a47ca7', 'ce90ec5d2d3151be9361a00132484d19d62f4e44']",{'ce90ec5d2d3151be9361a00132484d19d62f4e44': 0.96}
27488,7,0,0.0,0.0,0.0,0.0,0.0,[],"['161db086d7e59a948c68dca7c5b783d2168b92d7', '167182a79c8f45919a6f9b6cc640f66e18cabef1', '30eac5bb065e14f9e55f752bd18ebf4477f2f117', '6383eb1344b6de6a9c3d19090815c067a3c78fcb', '966887313e75a207de5839c2a342082f1c17681e', 'b409632608eb983c6b2f964753d053ff70c6e666', 'c0e6d1e590584858aede809214802a2a8d0f007d']",{}
27692,1,2,0.5,1.0,0.6666666666666666,0.5,0.0,"['c0d8eb8833af60bd0153b2f99f9dfedb860b38e5', 'ee065c84a7ef27d29bd35ef69c4d50991fd7401f']",['c0d8eb8833af60bd0153b2f99f9dfedb860b38e5'],"{'ee065c84a7ef27d29bd35ef69c4d50991fd7401f': 0.95, 'c0d8eb8833af60bd0153b2f99f9dfedb860b38e5': 0.9}"
27728,4,0,0.0,0.0,0.0,0.0,0.0,[],"['0fd06579a500c2e30f118c584047cc7e5e2a8253', '76684fb9ece0756d61a32647659e8ad5f6fa5476', '77c9207821b844793d68d0281e252bbfb76ede38', 'f3888d0053e839c289424f3b8d64aa4f5410ad89']",{}
28129,6,1,1.0,0.16666666666666666,0.2857142857142857,1.0,0.30260241349881345,['507336b76fe9e061143486b7a32490626df0afd2'],"['06e9c0c4da764057d09d55d6b6eeb31bbb3e5264', '507336b76fe9e061143486b7a32490626df0afd2', '64d2be4dc070341d7007623d8b6500f39bef16b2', '79d055a9f2b4a510e387d03e16be0930dfd7ec0e', 'b0946063578d8dbe6d60a13a13997471a4f38924', 'cd05e45b9d80a2ca6d154d0474c7e43bfa156a14']","{'507336b76fe9e061143486b7a32490626df0afd2': 0.9, '64d2be4dc070341d7007623d8b6500f39bef16b2': 0.2}"
28149,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['6644cce664d3ecaa1f98d7c29865afa9e2952948'],"['6644cce664d3ecaa1f98d7c29865afa9e2952948', 'dc0cbab95c8d28b948770866f7fcfe39f140d99b']",{'6644cce664d3ecaa1f98d7c29865afa9e2952948': 0.95}
