Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
1017,3,1,0.0,0.0,0.0,0.0,0.0,['c804dbb5bcaaebd33b4371981f986a43b09fef1e'],"['8fc65ab33fa3085c9dc6082a4241e97321863d6f', 'cc5c54efa776be31081f1cf2f7e07ebea2cf73d5', 'fd054ab23cba2c6fe9e51cba334acde240139dc5']"
1362,7,1,1.0,0.14285714285714285,0.25,1.0,0.27487633291429087,['2f5eaeeac55fa11cf8e99665a64afc512d41f6a2'],"['05b8a4861f3b21977af8b3a23c12b1713aaad119', '0ca94ca8a77548feef1b35a540f87e13b61e0809', '2f5eaeeac55fa11cf8e99665a64afc512d41f6a2', '45ccc46e87dcb3bb8e5cf03a6d7d0ef772e26b84', '4af289dcd7b5cce546f5ee28b773b8c0a52fc57d', '7c5579de0e2879152276a7cbbd36e15e5c2dc5c6', 'd1c6939e8a911ecc0f23880d5caa6d004dff6229']"
1698,2,0,0.0,0.0,0.0,0.0,0.0,[],"['52d3840b804dd0b30e1f0f2decca76419290aa5d', '6c76755a2ebe23f7cdfab3e4fe12975213e4ce77']"
1925,1,1,1.0,1.0,1.0,1.0,1.0,['895278c3c582047323845fc7f92dc63b2fffffd7'],['895278c3c582047323845fc7f92dc63b2fffffd7']
2088,3,0,0.0,0.0,0.0,0.0,0.0,[],"['59a789cde25139a236761ef18e6534497a256d0c', '6e5e207aeb35415fbaf69a94616f5dab82f4a36a', '9785e1727796fa32565ae4e212d12fd4266e7a72']"
2323,1,1,1.0,1.0,1.0,1.0,1.0,['3cf14cd9129819d7a094ccbbbfefbb08085a811d'],['3cf14cd9129819d7a094ccbbbfefbb08085a811d']
2578,5,3,1.0,0.6,0.7499999999999999,1.0,0.7227265726449519,"['237ff2b4c227f22e94cb6afc4a96ed9e2d489062', '5d4289da460d5bbede29608dff90828111ff3a04', 'a6448fef1471267f34fce566d9d8727f264b3a4f']","['237ff2b4c227f22e94cb6afc4a96ed9e2d489062', '58290c4e34ab3602dbe17b0f5b09e4997d9fbfd7', '5d4289da460d5bbede29608dff90828111ff3a04', 'a6448fef1471267f34fce566d9d8727f264b3a4f', 'f33359beee6cf64e3666a896b24ea4d3399934fb']"
2762,1,1,1.0,1.0,1.0,1.0,1.0,['5272db7759fbc4c9c66bd930211aabb6993b701d'],['5272db7759fbc4c9c66bd930211aabb6993b701d']
2777,1,1,1.0,1.0,1.0,1.0,1.0,['7d289200b9bb186c835906eaf0964ec4223d4a8d'],['7d289200b9bb186c835906eaf0964ec4223d4a8d']
2845,1,1,1.0,1.0,1.0,1.0,1.0,['64c41c6936f876dff019c8d7bf55454d91f8a1f7'],['64c41c6936f876dff019c8d7bf55454d91f8a1f7']
