Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True,Scores
1231,6,0,0.0,0.0,0.0,0.0,0.0,[],"['07b8636480b27f5f1eefcfb075450b5de291043b', '0a5ef8de0b3becb93f1fa40328576049dabfba2a', '1a60895de43b853b13c9880bd8c9129c0f5a79bb', '44a09dcce2d8a71012763db77934da5bb4eafb87', 'a796cd066f9f1e5e766aaf8b621d3f272c597181', 'ade85fef95520b833b55f3fb7ded2d51c84695c7']",{}
1641,1,0,0.0,0.0,0.0,0.0,0.0,[],['7296bbdca28759deb27dc7092f2d23639ecd5e89'],{}
1684,3,0,0.0,0.0,0.0,0.0,0.0,[],"['89d882fd62d01eb90a9f62a4b39c93a7e3cd3e4f', 'a56ac5e9e094c2a4d535e23dd7f9b23a986402e9', 'ea5b14798f3650ae19219359ff73a2a70a741c02']",{}
1691,3,0,0.0,0.0,0.0,0.0,0.0,[],"['1baed07a0de634ea7c00cc5482bb75c21a372de3', '8488709ff312da7bae541c62a358650e34efa938', 'e30b6e62a6d9ab62aa079295d59a611e1208ac73']",{}
1879,1,1,1.0,1.0,1.0,1.0,1.0,['91361520097aefda3309f4ee358e60319ad1970f'],['91361520097aefda3309f4ee358e60319ad1970f'],{'91361520097aefda3309f4ee358e60319ad1970f': 0.96}
2129,1,1,1.0,1.0,1.0,1.0,1.0,['c1d9ae64320b4868184c785d5aa37385ee6f5fa4'],['c1d9ae64320b4868184c785d5aa37385ee6f5fa4'],"{'c1d9ae64320b4868184c785d5aa37385ee6f5fa4': 0.96, '612a6d2cb8dd8db446ddc8f7e8421df7ecb6ed23': 0.25}"
2446,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['3b5d5e21d03cb7bf0fa38804dc82c8e085bc15e9'],"['3b5d5e21d03cb7bf0fa38804dc82c8e085bc15e9', '7e9843342f9365204ebb4d6a978172592933b8f8']",{'3b5d5e21d03cb7bf0fa38804dc82c8e085bc15e9': 1.0}
2532,1,3,0.0,0.0,0.0,0.0,0.0,"['524f893933dce1d5f495791b73067e2c42b1d983', 'a405a8548e38c7a7391d1d9626773864c59554c5', 'd11b0d396988e0d74700e02670b05c6e69c1abc2']",['d712d546331202e69f754865e2f99bb537b36af6'],"{'407ecb69dcc22c8e23d39270fdc67437001e8ae5': 0.3, 'a405a8548e38c7a7391d1d9626773864c59554c5': 0.95, '524f893933dce1d5f495791b73067e2c42b1d983': 0.55, '18ce6c5e3ce8d6f227aab3f5e9d5b809d061c303': 0.2, 'd11b0d396988e0d74700e02670b05c6e69c1abc2': 0.7}"
2560,1,0,0.0,0.0,0.0,0.0,0.0,[],['f7afd5a7560daf994a752ba02eccbd4f4003ee66'],{}
2619,1,1,1.0,1.0,1.0,1.0,1.0,['0daf616853ced36de4e2d50e564a4fbcf738f569'],['0daf616853ced36de4e2d50e564a4fbcf738f569'],{'0daf616853ced36de4e2d50e564a4fbcf738f569': 1.0}
3057,1,0,0.0,0.0,0.0,0.0,0.0,[],['98ad0fef0355b0a8a5f80d1106f6fd7758a97ef2'],{}
3408,1,0,0.0,0.0,0.0,0.0,0.0,[],['b88c55f93bcd2da0609654b49e3c10907c527345'],{}
3573,1,1,1.0,1.0,1.0,1.0,1.0,['55f0f2eb76e63955587ebb219a72f873e18b6f32'],['55f0f2eb76e63955587ebb219a72f873e18b6f32'],{'55f0f2eb76e63955587ebb219a72f873e18b6f32': 1.0}
3797,3,0,0.0,0.0,0.0,0.0,0.0,[],"['1c268ded2909042937510192931b30a601765261', '4108040c67c2f81f863c368910ca775fbaa6e0ca', '57b43ae44dab4cfbd1daddee4e72cb35dc13149c']",{}
4008,1,0,0.0,0.0,0.0,0.0,0.0,[],['cb6ac0a7caa2dab1c48dbd5f348681aff94e9ffd'],{}
