Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
167,1,0,0.0,0.0,0.0,0.0,0.0,[],['be268f92c7cd3fa5964c04586b61644ac54d660f']
293,1,1,1.0,1.0,1.0,1.0,1.0,['912e00e6e1665b0a9d2e7a9f8b1cee337b93f12d'],['912e00e6e1665b0a9d2e7a9f8b1cee337b93f12d']
330,1,2,0.5,1.0,0.6666666666666666,1.0,1.0,"['6608675f429e50f78605c7b41e3e922ae2578c25', 'ba74d840155c27926bdba7c1f3d63a24bc1816ff']",['ba74d840155c27926bdba7c1f3d63a24bc1816ff']
337,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['fa1ed257c5cf310e4b55a04aa09b57d2e2a8f4a8'],"['a45fd281aefc1be17261e5a0a4a7f60618d67d69', 'fa1ed257c5cf310e4b55a04aa09b57d2e2a8f4a8']"
404,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['7e7e407ccb335fab623cf9c04254e5b1f9471ffb'],"['7e7e407ccb335fab623cf9c04254e5b1f9471ffb', '8db49b01cc1396dc479b8c2519cc45c28a6887a3']"
459,1,1,1.0,1.0,1.0,1.0,1.0,['1a8e2ef432ca8be337ee684842e46e9aa2a76f7d'],['1a8e2ef432ca8be337ee684842e46e9aa2a76f7d']
471,1,1,1.0,1.0,1.0,1.0,1.0,['7f4f644ca91a0b978edf1a6c8da0296ac1c91fa4'],['7f4f644ca91a0b978edf1a6c8da0296ac1c91fa4']
480,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['546464639e8f1e54fc73b5670de592f4b3eb4912'],"['546464639e8f1e54fc73b5670de592f4b3eb4912', '878d16d2a2a914eb575172c6dfdfc4101536febf', 'aead607ab71f1334ee46054d4e0d3eccade44749']"
550,1,1,1.0,1.0,1.0,1.0,1.0,['17a6154b2939ec590935c98b1c359462610209af'],['17a6154b2939ec590935c98b1c359462610209af']
598,5,0,0.0,0.0,0.0,0.0,0.0,[],"['35a706a6575f7f588c64bd6904e384e8ac38934a', 'af3efde1c0798ec0abba9082b944463280a6400b', 'b8cf3a3ec582b954da6bdc1825aa74c5a0acb358', 'e9b963bb45d726a0df80cffc2d03a99a5e836344', 'ff26a4c15d5c8693cfb9e859961c60857906b6aa']"
604,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['487d0614fbe04d66a03e48ab118dfc70edb48d53'],"['3f0126f251592fd14bd0ba188a54ae180bbf358a', '487d0614fbe04d66a03e48ab118dfc70edb48d53']"
897,5,2,0.5,0.2,0.28571428571428575,1.0,0.3391602052736161,"['865ff695dd377b80e9771e4a93ac2fed8f075808', 'efd91f65f00edff4edb0f8037b8465669f24eb08']","['4e7df0f3b9ebb9261bc161095d99ece434064ced', '66edd0350cf0d6b13cfb92d54cf4de342955aec5', 'b973d4b5e1a08ca6a9feed36cc6402eee71a30f5', 'cb684b7468710dbcaf22e6c25986ab0f8e5e2026', 'efd91f65f00edff4edb0f8037b8465669f24eb08']"
954,4,1,1.0,0.25,0.4,1.0,0.3903800499921017,['775e8b072c6ee8af86722b2d9691a3f579a17a57'],"['0d3a0f7fef9001b0c2593504d07957fc10ae3414', '5039777809ae81d35264d41343d24dbe5eb75c10', '667d9b63a431bea1467ad54ab7941b85a9482c81', '775e8b072c6ee8af86722b2d9691a3f579a17a57']"
961,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['3a5b8e9f2f4c060bf6f41b05ee4c6dc05b6accdc'],"['3a5b8e9f2f4c060bf6f41b05ee4c6dc05b6accdc', 'bbc1cc356b640f78654228249df0cf7b171c039e', 'dfcefc00a44e025443320b1146b296c6e6048a31']"
1006,1,1,1.0,1.0,1.0,1.0,1.0,['e680347816a46b76225c7991f3bfde22e5f567a6'],['e680347816a46b76225c7991f3bfde22e5f567a6']
1109,3,2,1.0,0.6666666666666666,0.8,1.0,0.7653606369886217,"['1519a7adbac3ed7ab62e20a3c130526677f83cfd', '387c249e34d92daadd8f51fd41c4ef39e92dffa8']","['1519a7adbac3ed7ab62e20a3c130526677f83cfd', '16bc39320f812d4563e677177412502b8ab1c47c', '387c249e34d92daadd8f51fd41c4ef39e92dffa8']"
1111,1,1,1.0,1.0,1.0,1.0,1.0,['98193589a9c816507c1a1ab307294ad735a12c47'],['98193589a9c816507c1a1ab307294ad735a12c47']
1117,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['775c74d549bca3857bb1d62da4473b11a3938a4f'],"['76ac3ffd8aa5fc68fe4de29df4a4f9d6fc3308d5', '775c74d549bca3857bb1d62da4473b11a3938a4f', '9a91d7f24eb7ac83576c935e3fead45b09584d42']"
1150,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['c55d3186080592042f2421445b22dc472448179b'],"['84db633866ad379a4a8ff0ce4251ebe47471fe96', 'c41a930ac7418c57bbe5d9edd667dd8c919ec260', 'c55d3186080592042f2421445b22dc472448179b']"
1160,7,1,1.0,0.14285714285714285,0.25,1.0,0.27487633291429087,['6608675f429e50f78605c7b41e3e922ae2578c25'],"['21d859ba9752c96128a1543c2f14da626515733c', '527bb60c067a12463688a99a2a05d67c86fb92ec', '6608675f429e50f78605c7b41e3e922ae2578c25', '86569e3a95525e77ed681ffcf49107dcb0dbe3b9', 'ccfbbf7527b7218fd8bb6a0c4d679248e751303d', 'e676ca79d73cc396f370080295498984b1f247d3', 'f2f4223dea0312ca6945dc6166de9b6df33bbaec']"
1303,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['1c7572124e8fd79af0ca8e79d3b5b4e110251624'],"['103997e68910e767173f86edaf5ebb6c9edafc45', '1c7572124e8fd79af0ca8e79d3b5b4e110251624', 'de62dac2cae6c391f4efa44023cc3f4120105dc4']"
1319,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['c893a4c772d028566529c705d7beb77762e4b303'],"['a57adf74dd2057649295fcdcb77d1716015b9725', 'c893a4c772d028566529c705d7beb77762e4b303']"
1328,7,0,0.0,0.0,0.0,0.0,0.0,[],"['0f23296c829304f44c1cb999bad689ce17f6fe44', '1aeaf75b65dd68013b34f4a2b8ba503e23c5beba', '2ec9eadecc4be91195794c898a629fdcb1c779aa', '3bc9cd66d47bcda779d58d4208ab946c0d51576d', 'b78acbcfec9e0fa5f41fd3eec2bced304c36e42e', 'e452662271c1647f056ad13e190ca18fea38fc03', 'ec364e77c0361762257d7c60bb3dfc74d2f496ea']"
1434,3,2,0.5,0.3333333333333333,0.4,1.0,0.46927872602275644,"['7aad0a78a5eb5273ee99f110dde4afdf9937e0ff', 'c737af65de69f1e54545d559c04c6dded23323e5']","['2c3cef1f07eff314269d2611a5ce04ae382ba4bd', '74b9b7db3a92f6d1c4f07cb2c98072a721a043ae', '7aad0a78a5eb5273ee99f110dde4afdf9937e0ff']"
