Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True,Scores
38,2,0,0.0,0.0,0.0,0.0,0.0,[],"['36242a7090dfe59c046192c3568fb24df8a66603', '5ae0093c99f694358d83406f3907552215be11a9']",{}
104,1,0,0.0,0.0,0.0,0.0,0.0,[],['654bce9271a5cd1c6a519bd30c48385134ed8cfb'],{}
113,3,0,0.0,0.0,0.0,0.0,0.0,[],"['0b3d6a3e0c4a88ec73e43af20fdcc70cef2e677b', '2737db6bb99ab11db9f8588b73ff650127fb4334', '78cd3e4c3091d3ad8367871e6a449af1283d9ec9']",{}
125,2,0,0.0,0.0,0.0,0.0,0.0,[],"['4877ed608d18d4cc605b12652431e8037e410f19', 'f54645a76a2dc6a9f9b10da54c14d38240881f4a']",{}
126,3,2,1.0,0.6666666666666666,0.8,1.0,0.7653606369886217,"['7279e1317aa2305b568e52cdd2742cd4346f9f3a', 'a24ba6e40d0a9eec8607e0d55a4f3c617e4afff0']","['7279e1317aa2305b568e52cdd2742cd4346f9f3a', '995e1a1e7aab955d84a4d18d05f8fb2f0e7e5179', 'a24ba6e40d0a9eec8607e0d55a4f3c617e4afff0']","{'a24ba6e40d0a9eec8607e0d55a4f3c617e4afff0': 0.95, '7279e1317aa2305b568e52cdd2742cd4346f9f3a': 0.98}"
162,1,2,0.5,1.0,0.6666666666666666,1.0,1.0,"['419df9e02a23934d0eeb3a41841dc668b5800c4c', '950bb82ba2ab089e39038e9f737458aa736cf908']",['950bb82ba2ab089e39038e9f737458aa736cf908'],"{'419df9e02a23934d0eeb3a41841dc668b5800c4c': 0.6, '78cd3e4c3091d3ad8367871e6a449af1283d9ec9': 0.3, '950bb82ba2ab089e39038e9f737458aa736cf908': 0.95}"
261,1,0,0.0,0.0,0.0,0.0,0.0,[],['122528a8d4e1e469dbd3534996f80a3677c97ec4'],{}
316,1,1,1.0,1.0,1.0,1.0,1.0,['fec6107fdd2756b9f95192e867be42f961119c71'],['fec6107fdd2756b9f95192e867be42f961119c71'],"{'122528a8d4e1e469dbd3534996f80a3677c97ec4': 0.35, 'fec6107fdd2756b9f95192e867be42f961119c71': 0.96, 'c503709025b1fd4c0624ecbf77dd96cd2d2d6988': 0.45}"
482,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['530f4af57eb06c7c968c7d6f93dcfdb1c240a01a'],"['530f4af57eb06c7c968c7d6f93dcfdb1c240a01a', 'cc11ea616cb27850f4ee9d3593f0795e420c261f', 'facf39907e3d6a31177ee0cb3b8fdd3412047422']",{'530f4af57eb06c7c968c7d6f93dcfdb1c240a01a': 1.0}
505,7,0,0.0,0.0,0.0,0.0,0.0,[],"['340a0299d7ff35195358f44e202237b9ad0a21a8', '6cc0dfd405e54361489630956d9bf0b5232a2afe', '8716d3081e0b054efc4c388a87448e43e74c637a', 'b1d25734575876c0a1381c1a85875536a573c3e6', 'b2d3def5552767ad29721c404d257cb364a32ece', 'c262baa399b6f544a82a7d0f9023e22fc2b7c386', 'e3114ab5e52b757e45493b163d58cc9f39883589']",{}
636,1,0,0.0,0.0,0.0,0.0,0.0,[],['3b21c7124f0defdf6a39a6ad3d951b165f0ddf4e'],{}
658,4,1,1.0,0.25,0.4,1.0,0.3903800499921017,['e37015cf1727c0ea108b5a18cdbe03b788f3bd9a'],"['62b80cbf09bcc811dbfa63e5738b0c85c5fe7512', 'c737af65de69f1e54545d559c04c6dded23323e5', 'ccad56763e76232eb0d7ddca84e747fd9413ac3f', 'e37015cf1727c0ea108b5a18cdbe03b788f3bd9a']","{'e37015cf1727c0ea108b5a18cdbe03b788f3bd9a': 0.96, '0304058d8e113c5d41926449203dc83fb24c1e2a': 0.15}"
1019,5,0,0.0,0.0,0.0,0.0,0.0,[],"['18cbef987f64026345067f1816326de3ce567654', '1adf3cfdd27c91456089be7d0d20740c6af4444b', '2b15b522e039429da9e7fed5cd67da3e9125a463', '6f1fc7139c4e03973550e1da371ec8da85056b8b', 'df1cae9a872567e9efaa012aaa3d13234fda73b5']",{}
1054,4,0,0.0,0.0,0.0,0.0,0.0,[],"['6d43c8b900ee9a4810b5c06e803f914446883b85', '865ff695dd377b80e9771e4a93ac2fed8f075808', 'd7fb4ab7fe958f62f1598b0d635382a5404e2ac4', 'f7cabe010931c02c6d44ddc2ad97ac5714235b17']",{}
1176,4,3,1.0,0.75,0.8571428571428571,1.0,0.8318724637288826,"['4dcdb86e972ab161482ff06bf0a75cdde530b399', '8d073163bb863cc086a7feff1a46b21d625e1444', 'da8c8fa4ad2f6abeac2aaf378799ac50589bbb74']","['4dcdb86e972ab161482ff06bf0a75cdde530b399', '8d073163bb863cc086a7feff1a46b21d625e1444', 'da8c8fa4ad2f6abeac2aaf378799ac50589bbb74', 'e7b6938dc2b8be966ba981045b0ed58db6103923']","{'da8c8fa4ad2f6abeac2aaf378799ac50589bbb74': 0.6, '4dcdb86e972ab161482ff06bf0a75cdde530b399': 0.9, '8d073163bb863cc086a7feff1a46b21d625e1444': 0.5}"
1198,1,1,1.0,1.0,1.0,1.0,1.0,['9b27fbebfab323a0f3f00ef6f2a82c79384c04e9'],['9b27fbebfab323a0f3f00ef6f2a82c79384c04e9'],{'9b27fbebfab323a0f3f00ef6f2a82c79384c04e9': 0.95}
1269,1,1,1.0,1.0,1.0,1.0,1.0,['b7fe76f2df2ea9b33741388b4c50fe3e1bd80181'],['b7fe76f2df2ea9b33741388b4c50fe3e1bd80181'],"{'b7fe76f2df2ea9b33741388b4c50fe3e1bd80181': 0.96, '9aceada4f8e0fa9c0a0d9c2e02b5c91e9a58eed3': 0.12, '09e7ee87665e662d6d476fb9efc4d8be9bc8fe0d': 0.08, '961e1ea51c7e490e2ac01c499430091c600d169f': 0.05}"
1324,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['d27ccab4d18defe38de4dd276d306c261fa36223'],"['71fdda732907307476c1b23bf1b28b4b3e0b3dba', 'd27ccab4d18defe38de4dd276d306c261fa36223']","{'71fdda732907307476c1b23bf1b28b4b3e0b3dba': 0.35, 'd27ccab4d18defe38de4dd276d306c261fa36223': 0.96}"
1345,3,0,0.0,0.0,0.0,0.0,0.0,[],"['0304058d8e113c5d41926449203dc83fb24c1e2a', '09e7ee87665e662d6d476fb9efc4d8be9bc8fe0d', '573db27f83264bc45ad9ffe359987271a508449b']",{}
1410,1,0,0.0,0.0,0.0,0.0,0.0,[],['4c5e2b3f739d6cf1b4826971f0a38099232d3d73'],{}
1630,2,2,1.0,1.0,1.0,1.0,1.0,"['30f63ea227d7cac81cfae1877401f6922fb690af', 'd2db4242f3f50b3de4ce18b66c46ec38844e2f8d']","['30f63ea227d7cac81cfae1877401f6922fb690af', 'd2db4242f3f50b3de4ce18b66c46ec38844e2f8d']","{'30f63ea227d7cac81cfae1877401f6922fb690af': 0.9, 'd2db4242f3f50b3de4ce18b66c46ec38844e2f8d': 0.6}"
2318,1,1,1.0,1.0,1.0,1.0,1.0,['39896a658b71751a6342e2c045d590658a26472d'],['39896a658b71751a6342e2c045d590658a26472d'],{'39896a658b71751a6342e2c045d590658a26472d': 0.98}
2475,1,0,0.0,0.0,0.0,0.0,0.0,[],['2a0b99aea89f184715aeef52747178a70dfb08d7'],{}
