Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
32,1,1,1.0,1.0,1.0,1.0,1.0,['a5366e351003108da57c9b5a0d8f2674017817b8'],['a5366e351003108da57c9b5a0d8f2674017817b8']
58,1,1,1.0,1.0,1.0,1.0,1.0,['c1c5b3b8c4da5043d0f10faa90c3a5de8baa06c4'],['c1c5b3b8c4da5043d0f10faa90c3a5de8baa06c4']
77,2,0,0.0,0.0,0.0,0.0,0.0,[],"['32355b320e61bc3c607a02b96e46b61016b23aef', '5c8d4f139f891d3f386b6271804550a33d67b197']"
178,1,1,1.0,1.0,1.0,1.0,1.0,['4ce3516b40b292720be43dbf667e4a73017f8b7e'],['4ce3516b40b292720be43dbf667e4a73017f8b7e']
182,3,0,0.0,0.0,0.0,0.0,0.0,[],"['0f2bae4a58852f30280c7985e664742a9984cd10', '316dd34d6235db67bc85b0e16d678367a68fb7ea', 'ee6b32a58c7d4efff8401d975edf7008e648b4bc']"
212,2,2,0.5,0.5,0.5,0.5,0.38685280723454163,"['8a99449e92c8b7dd36c8df1b94125ec015fa2080', 'b857a2c8e3ffd6e01b103b1d3773e0f98cea4ae1']","['b857a2c8e3ffd6e01b103b1d3773e0f98cea4ae1', 'ecdf73eaee0f8080b3e300087ec831661e4a725c']"
260,1,1,0.0,0.0,0.0,0.0,0.0,['3955d87b66daef8b004de6be6186ac2a8bd0ecab'],['90c61930a1736fe5427e9a68204d0c29d8d1f005']
305,1,1,1.0,1.0,1.0,1.0,1.0,['0984e6dbfc79041f8d8f06bdca3a875deccc6ca1'],['0984e6dbfc79041f8d8f06bdca3a875deccc6ca1']
397,1,1,1.0,1.0,1.0,1.0,1.0,['d165774e5e3c19a2019c98291fd776db4faaa21d'],['d165774e5e3c19a2019c98291fd776db4faaa21d']
409,2,2,1.0,1.0,1.0,1.0,1.0,"['c503709025b1fd4c0624ecbf77dd96cd2d2d6988', 'e4ed3b2699781e3fef4dc9ae4d78d78b5f92b3de']","['c503709025b1fd4c0624ecbf77dd96cd2d2d6988', 'e4ed3b2699781e3fef4dc9ae4d78d78b5f92b3de']"
410,1,1,1.0,1.0,1.0,1.0,1.0,['e365df69cc3acfbb71b338b6474757689d2916ce'],['e365df69cc3acfbb71b338b6474757689d2916ce']
575,2,0,0.0,0.0,0.0,0.0,0.0,[],"['6c5db2d4dbf6f7cfd40a1785abbb8cb74539a879', 'db7a4c724a2eaa2b2f6ea8841a3e5fdac4911b62']"
765,4,0,0.0,0.0,0.0,0.0,0.0,[],"['4e5805b685d4e900e3ebd91a3220532b312a0f67', 'a2a13c9d0794a281fc12c39ef9b625ed57cfd493', 'd43d345101f7d54ca259853fbd9f5a4f0c1bdf99', 'e30d7dbd2be6294a570581864e7a9d92d1116d2e']"
809,1,1,1.0,1.0,1.0,1.0,1.0,['dd537045e0b55c87526ddc99d136b99d2f8f0c8f'],['dd537045e0b55c87526ddc99d136b99d2f8f0c8f']
831,1,1,1.0,1.0,1.0,1.0,1.0,['e856545c0e71579fee9c67b110cb9d84d7836db9'],['e856545c0e71579fee9c67b110cb9d84d7836db9']
