Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True,Scores
12,2,0,0.0,0.0,0.0,0.0,0.0,[],"['64534963edfb0b24f71581eb3eaebcfba3a51f38', 'eb6801eacebd6acc9e533500da06f75d3209d5e0']",{}
144,5,0,0.0,0.0,0.0,0.0,0.0,[],"['16fe33cda57c76656c7f2d18833a484258b81659', '4ce2aea1273c6154d4d34002dd92635d9f0a9b99', '8027003e65ce37ae5b48390581b0994a3143986e', 'aefa3b88e7eb5fbce7239e44d2b8555e5b571d0e', 'b5862e30b95c3f282a4da3df1d6c2ea06e6e1be7']",{}
296,1,1,1.0,1.0,1.0,1.0,1.0,['dffa75ddd6bae63b5357145d8115f8fb64a40969'],['dffa75ddd6bae63b5357145d8115f8fb64a40969'],{'dffa75ddd6bae63b5357145d8115f8fb64a40969': 0.95}
483,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['db26a73f500995937964889ba813742bf45018d8'],"['9e379d6c533976e4b69bd1ae23e4b11c37b0bbde', 'b474e905df9b28904c11e3cd4111510be4af12d2', 'db26a73f500995937964889ba813742bf45018d8']",{'db26a73f500995937964889ba813742bf45018d8': 0.97}
586,1,0,0.0,0.0,0.0,0.0,0.0,[],['395b05d4388545ebc9095fb4647522cc4afe700e'],{}
641,1,0,0.0,0.0,0.0,0.0,0.0,[],['dccd996bc0da68930edee734426ee35e65dbbaf0'],{}
789,4,1,1.0,0.25,0.4,1.0,0.3903800499921017,['c0fc07eca031c47a75faf36e23a296bb897fd80d'],"['15ec2af142f4e0424f15a6fd5985f11f9ae3cedc', '4a9c28bcbf5172dd7602a592835713baf3e674fb', 'af88f5c66c9f885c72878fc537b10ca4b2c0a048', 'c0fc07eca031c47a75faf36e23a296bb897fd80d']","{'c0fc07eca031c47a75faf36e23a296bb897fd80d': 0.96, '64534963edfb0b24f71581eb3eaebcfba3a51f38': 0.15, 'bcf0d223c5d1d921eaa84fda8816486773197d51': 0.1}"
863,1,0,0.0,0.0,0.0,0.0,0.0,[],['ba83a0340343ed23c768f7dea18059698fa21a9f'],{}
946,1,1,1.0,1.0,1.0,1.0,1.0,['52a2b721df03551e2adc40e6bbcc37ac98fb2013'],['52a2b721df03551e2adc40e6bbcc37ac98fb2013'],"{'2f19fd401a7f9b3b261180b2e9b3f6c5bd84ac94': 0.4, '52a2b721df03551e2adc40e6bbcc37ac98fb2013': 1.0}"
1031,1,0,0.0,0.0,0.0,0.0,0.0,[],['2eea1e6129de680d574ba0a7438ca3037fccfff5'],{}
1086,1,1,1.0,1.0,1.0,1.0,1.0,['1bb54389d02672c13802154d53a4871ccf2195ae'],['1bb54389d02672c13802154d53a4871ccf2195ae'],{'1bb54389d02672c13802154d53a4871ccf2195ae': 0.95}
1371,4,2,1.0,0.5,0.6666666666666666,1.0,0.6366824387328317,"['a95d46cdb044c3f64f17c2bcd903281f8558b280', 'c023b6cbf68e3c644a650b8e29ff822233769597']","['59b6d8206af761a55a4b0e0d87fbd26051083a94', '61d241cd6fe21d9d6f00de033d7539205ecf4fe9', 'a95d46cdb044c3f64f17c2bcd903281f8558b280', 'c023b6cbf68e3c644a650b8e29ff822233769597']","{'c023b6cbf68e3c644a650b8e29ff822233769597': 0.95, 'a95d46cdb044c3f64f17c2bcd903281f8558b280': 0.9, '0925da65953926ab6bdf251cb12b7ba1bc3a8b4e': 0.3, 'eaaf5486ba1f9d031f66af772ec033f82e667a0a': 0.2}"
1381,2,0,0.0,0.0,0.0,0.0,0.0,[],"['0fd4354289f61b990fea1c9a578e1c667df47d5f', '6dc878868b8f70b956aabab9e7bb94fd6483251d']",{}
1631,5,0,0.0,0.0,0.0,0.0,0.0,[],"['3e9caed73186e98f0db011b51c3fd6a96367f2c8', '3f1f3f97343d2ab7eb522cac7330f6b7478bd4da', '5ce4a4adbfb8e9a83984ca8a9da4b147b93c215b', '7b578dd68ef576b4b9bb254f11669e1dd69d7931', 'bd705d38ce11a0ca1547f709f29f80a02b3dd894']",{}
1764,1,1,1.0,1.0,1.0,1.0,1.0,['7b29b5dc650c54ccb94fbdda3892fa73771c021b'],['7b29b5dc650c54ccb94fbdda3892fa73771c021b'],{'7b29b5dc650c54ccb94fbdda3892fa73771c021b': 0.9}
1849,4,0,0.0,0.0,0.0,0.0,0.0,[],"['01e9ccf955f39efd178ef3df8d285f88c9a92459', '30d2b480ab379c47a9387748abd901ef142fd9e4', 'c7b74103bb7aa62216d2ca6e4f0f3b81c0149170', 'fe5e23388031610d1f45cbb0b0d00f9f2e876b74']",{}
1950,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['b714ccea5d7703bf44b414328f6314201357edbe'],"['125e0ff65fe0d97bc8a66920a96466799df6d763', '7b66c5d6a304d266864ac55b6c2dda23c3b352a9', 'b714ccea5d7703bf44b414328f6314201357edbe']",{'b714ccea5d7703bf44b414328f6314201357edbe': 1.0}
2025,1,0,0.0,0.0,0.0,0.0,0.0,[],['c346efd60621967f08e002893959e5a4ae81d52a'],{}
2061,1,1,1.0,1.0,1.0,1.0,1.0,['462781e390e706817c250c44362e97b8f4a04ef6'],['462781e390e706817c250c44362e97b8f4a04ef6'],{'462781e390e706817c250c44362e97b8f4a04ef6': 0.95}
2174,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['222406276d5defe7a03faa55037d99fc2fdaf072'],"['222406276d5defe7a03faa55037d99fc2fdaf072', '863b91f72a19c75081f922f82b50ef595bd31587']",{'222406276d5defe7a03faa55037d99fc2fdaf072': 1.0}
2421,3,0,0.0,0.0,0.0,0.0,0.0,[],"['cf37ec0fce1c30260ff87a91b618951236452e1a', 'd17b84f3a30b6af5f220ef8fc77fe20b9c083627', 'de07bf83b6fd3470cdb0e08d9d0a15f7dee1ce59']",{}
2563,1,1,1.0,1.0,1.0,1.0,1.0,['767efdeb2f2832a69304a31f98ffbeab02d868a9'],['767efdeb2f2832a69304a31f98ffbeab02d868a9'],{'767efdeb2f2832a69304a31f98ffbeab02d868a9': 0.95}
2809,1,1,1.0,1.0,1.0,1.0,1.0,['1115c6686aee0d33e1b286555f5b5f64c48fbe57'],['1115c6686aee0d33e1b286555f5b5f64c48fbe57'],{'1115c6686aee0d33e1b286555f5b5f64c48fbe57': 0.95}
2830,1,0,0.0,0.0,0.0,0.0,0.0,[],['5d9bb445b4d8dc32aed0b13e6083e3453d9e5f9f'],{}
3103,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['ca06d2f83920ffd4fe250f0249c285e838450c5e'],"['4713e2174fc48a25c0d35da36413fd1a17ef4086', 'ca06d2f83920ffd4fe250f0249c285e838450c5e']",{'ca06d2f83920ffd4fe250f0249c285e838450c5e': 0.9}
3129,1,2,0.0,0.0,0.0,0.0,0.0,"['4ce2aea1273c6154d4d34002dd92635d9f0a9b99', '4e044ebe5bef11b717d12361b0a81ff48b4262ea']",['44a02485e0cee040d6be795273c7f69d99c9ce1d'],"{'4ce2aea1273c6154d4d34002dd92635d9f0a9b99': 0.6, '4e044ebe5bef11b717d12361b0a81ff48b4262ea': 0.8}"
3303,2,0,0.0,0.0,0.0,0.0,0.0,[],"['1b0cde3af276b410d127b36065a8cffcab18275e', 'b104e262f9e6f55027ece375082287954adca5e2']",{}
3628,1,0,0.0,0.0,0.0,0.0,0.0,[],['efe4885a206df672f793db4b275d8c71ce697d8c'],{}
3751,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['bf6c887a6ccc3c0b5ca9e3aa63a362eb027ce0bb'],"['454c9e151599d1795b2a2c28669d403c8a26b10c', 'bf6c887a6ccc3c0b5ca9e3aa63a362eb027ce0bb']","{'bf6c887a6ccc3c0b5ca9e3aa63a362eb027ce0bb': 0.96, '6b10d12acc0058e0008b4a52f6dbe2ef6c87a150': 0.35, 'd819614bd426973eb14c3aba2e0379708c2e9d2a': 0.15, 'd7ce004652571ddfa575cf3934f5b99e032c7b51': 0.1}"
3813,7,0,0.0,0.0,0.0,0.0,0.0,[],"['09ef89ca791f8a4a6ae254e8526fc17c9a8b3efb', '0d6697907934963698dba74705606d18908b229b', '219bff17419856f8eb9c44b3ccc2e3e1687c0153', '4ecd06662b42bc292e6fd4340d068a93f8bea9c9', '60213282ee4bafadfd1fb95e7669d2fef88f4e75', '85aa767983c4dea49f2ee2c09b1510cc7ba85c2f', '9c7694f314ab8324482f9e561d002f6fe8849309']",{}
4170,1,1,1.0,1.0,1.0,1.0,1.0,['cc6aa59094b4e0a463b39baf7dea73d2669633c9'],['cc6aa59094b4e0a463b39baf7dea73d2669633c9'],"{'cc6aa59094b4e0a463b39baf7dea73d2669633c9': 0.9, '7dd856bad87af26d318fd990319630b6ec94a0de': 0.15, '4a9c28bcbf5172dd7602a592835713baf3e674fb': 0.15, 'af88f5c66c9f885c72878fc537b10ca4b2c0a048': 0.05}"
4217,2,2,1.0,1.0,1.0,1.0,1.0,"['382a35103506b072749343a82f0fae4846e11cf5', '3f084c5e48b74116b1ac722b397ebb27ecba9a0a']","['382a35103506b072749343a82f0fae4846e11cf5', '3f084c5e48b74116b1ac722b397ebb27ecba9a0a']","{'3f084c5e48b74116b1ac722b397ebb27ecba9a0a': 0.95, '382a35103506b072749343a82f0fae4846e11cf5': 0.65, '7255d32b0fa73aa222fe22b719418c6d173f3fee': 0.4, 'eaaf5486ba1f9d031f66af772ec033f82e667a0a': 0.15}"
4376,1,0,0.0,0.0,0.0,0.0,0.0,[],['4bd612187e6a9e91bb1a404fe2d56105baad799b'],{}
4507,3,2,1.0,0.6666666666666666,0.8,1.0,0.7653606369886217,"['123156a896f1c974f2eb44efb09b330c44ff9704', 'd4882230052d14432fd34e0aa2f5fc0f73977352']","['123156a896f1c974f2eb44efb09b330c44ff9704', 'd3c3a952d30abc86b300a3deb507d1184c4d892a', 'd4882230052d14432fd34e0aa2f5fc0f73977352']","{'d4882230052d14432fd34e0aa2f5fc0f73977352': 0.8, '04876ad8e0cca1e5a4b23337a5159559a2169d84': 0.45, '123156a896f1c974f2eb44efb09b330c44ff9704': 0.95}"
4562,1,1,1.0,1.0,1.0,1.0,1.0,['aabc8ddbb8a60a326e14cb53099a147e765f50fb'],['aabc8ddbb8a60a326e14cb53099a147e765f50fb'],"{'aabc8ddbb8a60a326e14cb53099a147e765f50fb': 0.95, 'e710a477faca6ef836efbbd236513c0a87c67dea': 0.15, 'ad2199173bde79f90dbb552280d88bfe662210d0': 0.1}"
4682,1,0,0.0,0.0,0.0,0.0,0.0,[],['456d423ea0206c3c092748a4cf8928b852df7811'],{}
5039,2,2,1.0,1.0,1.0,1.0,1.0,"['6df739c1a3dc3a35a08a8b1f6a828a6e3f727862', 'bef713ba4315415423acb283d1b33ed46cac2ec3']","['6df739c1a3dc3a35a08a8b1f6a828a6e3f727862', 'bef713ba4315415423acb283d1b33ed46cac2ec3']","{'bef713ba4315415423acb283d1b33ed46cac2ec3': 0.95, '6df739c1a3dc3a35a08a8b1f6a828a6e3f727862': 0.9}"
5041,1,1,0.0,0.0,0.0,0.0,0.0,['1c803edb4e4b0533f27075ab0515d552472f816f'],['0fca31c086436818de4ec70c3e574b7ec69c825b'],"{'1c803edb4e4b0533f27075ab0515d552472f816f': 0.96, '9ad96b2b172fd6bf64e45d9117e82521415033a2': 0.2, 'a43eec9c2208780947ff8c188c9259a2548609cc': 0.15, '0fca31c086436818de4ec70c3e574b7ec69c825b': 0.3}"
5047,1,1,0.0,0.0,0.0,0.0,0.0,['b104e262f9e6f55027ece375082287954adca5e2'],['27371b20333ae0b9f4dece368c6310a74d9f942a'],"{'b104e262f9e6f55027ece375082287954adca5e2': 0.95, '24d5206755c338ef4f1d2cb6e0460e4e0930bd25': 0.35}"
5218,2,0,0.0,0.0,0.0,0.0,0.0,[],"['20602b1645105b5a8693097994bc033be7d4161f', 'c49213136f11ba71951e98b3e8546342843f6cc9']",{}
5369,1,1,1.0,1.0,1.0,1.0,1.0,['8f8606badd608dad7f9973f6b02eca5e49d233bf'],['8f8606badd608dad7f9973f6b02eca5e49d233bf'],{'8f8606badd608dad7f9973f6b02eca5e49d233bf': 0.9}
5671,1,1,1.0,1.0,1.0,1.0,1.0,['69cdea6c82182cf83073e8a7656cd3092429781c'],['69cdea6c82182cf83073e8a7656cd3092429781c'],{'69cdea6c82182cf83073e8a7656cd3092429781c': 0.95}
5985,3,0,0.0,0.0,0.0,0.0,0.0,[],"['0222a2617a07a8a3bbd41ec9800ce08fe2c03af2', '085fdae6ee967f3e6861a20ce8c60dd381022194', 'eef1c241d5537de5df4a680436a568a0615f1344']",{}
6184,1,0,0.0,0.0,0.0,0.0,0.0,[],['cee3b836f9919c49754a763dd5725a44c3a5ff07'],{}
6975,1,1,1.0,1.0,1.0,1.0,1.0,['5485287bb491537e35480b2aebfac11d9dc2556e'],['5485287bb491537e35480b2aebfac11d9dc2556e'],{'5485287bb491537e35480b2aebfac11d9dc2556e': 1.0}
7014,3,0,0.0,0.0,0.0,0.0,0.0,[],"['2b9149320e6d53cd6fb4485ade797e97191231c9', '835f5ba82bebd0eee489768273b8d8866cb6587d', '8dd2996563e04d1ade203809d80266457c7033d9']",{}
7175,1,0,0.0,0.0,0.0,0.0,0.0,[],['4a33bd6eb2778e76425e7a79ee145fd7192455fa'],{}
7221,6,1,1.0,0.16666666666666666,0.2857142857142857,1.0,0.30260241349881345,['d3865ac0f5562c06a643511701f1588368152cdc'],"['0266a153a1f71ba45be1d1f15dda5008bf3750df', '21751594c484e7c891209321ab2fbcd792e13265', '35d8fb53a22bc931f04c7c386fa6610d26ec598e', 'c89c56839305241c83cf7217899b36cbce8e6f85', 'd3865ac0f5562c06a643511701f1588368152cdc', 'e710a477faca6ef836efbbd236513c0a87c67dea']",{'d3865ac0f5562c06a643511701f1588368152cdc': 1.0}
7222,3,0,0.0,0.0,0.0,0.0,0.0,[],"['33f969dc29255daaa8bde2640529c2bc6de4cf78', '58e989cb2652b0fbd168bc863214d1f42b709ab3', '7b34c9ea0c6b214ef372bdb03fb4273caeff220f']",{}
7435,1,0,0.0,0.0,0.0,0.0,0.0,[],['5da0e135489e70a8b506056aa2a5f60c5616c41a'],{}
7705,2,0,0.0,0.0,0.0,0.0,0.0,[],"['db3aab10a4f95aedcc4ceec774c88b527b7bdf63', 'e860e39f173f673536341d5ce8ce11dd4fe254ff']",{}
7805,1,1,1.0,1.0,1.0,1.0,1.0,['b5a9dd728deeaf7977a3757afb2f9693652c0a4b'],['b5a9dd728deeaf7977a3757afb2f9693652c0a4b'],{'b5a9dd728deeaf7977a3757afb2f9693652c0a4b': 1.0}
7956,2,0,0.0,0.0,0.0,0.0,0.0,[],"['36da6db32f40dc1ce16537874f9209ae372f4db5', 'c285b3626a7a4dcbbddfba1a6b217a64a3f3f3be']",{}
7993,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['990fcc7dc656376ed458ef5e11cc94983d352692'],"['8523705f020fb6fa420b0344776a2ca2a68b83e6', '98b541c4c5420b1976677d672ca9ce6f4483a3cd', '990fcc7dc656376ed458ef5e11cc94983d352692']",{'990fcc7dc656376ed458ef5e11cc94983d352692': 0.95}
7999,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['9374310a8f1d81e0d184d2bcef9ca8b0716d61f9'],"['2c00b6017f4e7785a6ea7b65597c399c56488708', '9374310a8f1d81e0d184d2bcef9ca8b0716d61f9', 'd499a3aba9abd9727b6ab96cd0c178cf2f9dc151']",{'9374310a8f1d81e0d184d2bcef9ca8b0716d61f9': 0.95}
8426,1,1,1.0,1.0,1.0,1.0,1.0,['a4d3271abed06d67b82c0d0270c7c6a21a410a4b'],['a4d3271abed06d67b82c0d0270c7c6a21a410a4b'],"{'a4d3271abed06d67b82c0d0270c7c6a21a410a4b': 0.95, '5d7e43244da33c2afda6360fddcdd56ad4e31cb8': 0.4}"
