Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
68,2,0,0.0,0.0,0.0,0.0,0.0,[],"['1aad61a60f24dff897669893219bb252b7bcf58d', 'ab83217afac2f66b54b28fb30164aeaebefbeb98']"
127,3,0,0.0,0.0,0.0,0.0,0.0,[],"['394e31591342b21dcebf8bb7e8260dad2991dcc5', '3d37977fc3a985362b7d0d51b502d4fc60580b0f', 'c45200e6aa0fe4b2feaf82682348eeaa77caf930']"
520,1,1,0.0,0.0,0.0,0.0,0.0,['d4e0be0d345b36a8ad49ef62973b23a59b114c2c'],['aa6ae2594561f06c38f99af9d17d701e070084db']
596,4,4,0.25,0.25,0.25,0.5,0.24630238874073,"['14c927a0ec496213e62267de7182b580ed2f7c11', '9b0dc87267354a685b2655c62b8362d0ef31768f', 'ab83217afac2f66b54b28fb30164aeaebefbeb98', 'e474fd6cbc21c295d2ae2f95e862ca16e5f5060e']","['7d7b63558eb9e02e74b3c6b78340031e630ad8ef', '968168ae7087adbc72e95873706e5aac4e634693', '9b0dc87267354a685b2655c62b8362d0ef31768f', 'a819568949c9f11dbcfe94586c14b65566760076']"
654,3,0,0.0,0.0,0.0,0.0,0.0,[],"['72089c9c36c6b880c695baf732cd04329d72c098', '75aeb16e05157d04160a8a07e865741fb752e5c8', 'cf2f158fec6210c10f4529dc8e197c30248ea5f7']"
940,1,1,1.0,1.0,1.0,1.0,1.0,['094bf2212d08bff0521ecd69e606851ff271388f'],['094bf2212d08bff0521ecd69e606851ff271388f']
964,5,0,0.0,0.0,0.0,0.0,0.0,[],"['0a81e917970e72fc3c092c768cdbcda2bbc2f605', '3d16fefc7cd27149944d30b2aac1fb4ced566b0e', '8676e15190d07cacf3390839cc6c057182c79529', 'bcf0d223c5d1d921eaa84fda8816486773197d51', 'd82a94ca4839c5e51f7ddfa08b5d8db5991d6753']"
1099,4,4,0.75,0.75,0.75,1.0,0.8048099750039491,"['7dd856bad87af26d318fd990319630b6ec94a0de', '840cd7dc600e95b059f45103e6c5e5311d6f091b', 'd8d7200cc531b6d021a8492ca176f3828c79e951', 'fa3ec703ca6be73f380d89d08964c24d38d3b20c']","['840cd7dc600e95b059f45103e6c5e5311d6f091b', 'd7aaa07142972e0ea19e52fe5dc4238fb9476b06', 'd8d7200cc531b6d021a8492ca176f3828c79e951', 'fa3ec703ca6be73f380d89d08964c24d38d3b20c']"
1541,1,1,1.0,1.0,1.0,1.0,1.0,['287c64146239e591fcc9148569828d9ae07bb335'],['287c64146239e591fcc9148569828d9ae07bb335']
1623,1,1,1.0,1.0,1.0,1.0,1.0,['fe78480ffdc18eb5fdd66b961086a12ffb65f2c3'],['fe78480ffdc18eb5fdd66b961086a12ffb65f2c3']
1724,2,2,0.5,0.5,0.5,1.0,0.6131471927654584,"['ca06d2f83920ffd4fe250f0249c285e838450c5e', 'd92f2fd6e574cec4a72754f48cab686357449719']","['20955b2b466d54ed59db93eaf09eb425eccdee3f', 'd92f2fd6e574cec4a72754f48cab686357449719']"
1883,7,0,0.0,0.0,0.0,0.0,0.0,[],"['452ec69014a46836cea5dd5366cf066c933e462b', '5bf8e5decb755d0fcf5204153bb7f07614e25121', '7dd856bad87af26d318fd990319630b6ec94a0de', '94a58ab3671736d3cdf84d7e0db8f6eb6a493dda', 'ba7e471c428ef425b2cb1be86f5069eb25e5460f', 'c2e448896bfac217f0523cceb05a7cc83314f714', 'fac43a184a8888ebbe29c11fc45bb4a06ccb5d1a']"
2009,1,1,1.0,1.0,1.0,1.0,1.0,['1c2fd61490731492c35f98cf8a07209483215135'],['1c2fd61490731492c35f98cf8a07209483215135']
2460,1,1,1.0,1.0,1.0,1.0,1.0,['24c43757d9fbc0398ffcbb9b04b0d7732c8d3900'],['24c43757d9fbc0398ffcbb9b04b0d7732c8d3900']
2612,3,0,0.0,0.0,0.0,0.0,0.0,[],"['1971a97b2d8135f33988e79e1ac143be50264a60', '1bd22cbb3e6141e6057bfc8025dd612b4fe572dd', '1c803edb4e4b0533f27075ab0515d552472f816f']"
