Issue,Precision,Recall,F1
3,1.0,0.3333333333333333,0.5
101,1.0,0.06666666666666667,0.125
144,0.0,0.0,0.0
153,1.0,1.0,1.0
163,1.0,1.0,1.0
253,1.0,1.0,1.0
296,0.3333333333333333,1.0,0.5
306,0.3333333333333333,0.1,0.15384615384615385
323,0.5,0.3333333333333333,0.4
626,0.1111111111111111,0.5,0.18181818181818182
786,0.2,1.0,0.3333333333333333
789,1.0,0.5,0.6666666666666666
940,1.0,1.0,1.0
946,1.0,1.0,1.0
1099,1.0,0.75,0.8571428571428571
1371,0.5,0.5,0.5
1381,0.0,0.0,0.0
1450,0.0,0.0,0.0
1455,0.5,1.0,0.6666666666666666
1764,0.0,0.0,0.0
1774,1.0,0.21428571428571427,0.35294117647058826
1922,0.5,1.0,0.6666666666666666
2303,1.0,0.3333333333333333,0.5
2348,0.0,0.0,0.0
2612,0.3333333333333333,0.3333333333333333,0.3333333333333333
2669,0.0,0.0,0.0
2809,0.0,0.0,0.0
2830,1.0,1.0,1.0
3009,0.5,1.0,0.6666666666666666
3046,0.5,1.0,0.6666666666666666
3195,0.0,0.0,0.0
3233,1.0,0.3333333333333333,0.5
3630,1.0,1.0,1.0
3813,1.0,0.14285714285714285,0.25
4154,0.09523809523809523,0.5,0.16
4217,1.0,0.5,0.6666666666666666
4368,1.0,1.0,1.0
4472,0.0,0.0,0.0
4507,0.0,0.0,0.0
4965,1.0,0.5,0.6666666666666666
5062,0.16666666666666666,0.3333333333333333,0.2222222222222222
5490,1.0,1.0,1.0
5556,1.0,0.14285714285714285,0.25
6168,0.0,0.0,0.0
6180,0.0,0.0,0.0
6184,0.0,0.0,0.0
6877,1.0,1.0,1.0
6879,0.2,1.0,0.3333333333333333
6932,0.0,0.0,0.0
7186,0.5,1.0,0.6666666666666666
7222,1.0,0.3333333333333333,0.5
7255,0.0,0.0,0.0
7274,1.0,1.0,1.0
7278,0.05555555555555555,0.3333333333333333,0.09523809523809523
7332,0.0,0.0,0.0
8307,0.0,0.0,0.0
8485,0.3,0.6,0.4
63874,1.0,1.0,1.0
72610,0.0,0.0,0.0
82275,1.0,0.5,0.6666666666666666
125841,0.0,0.0,0.0
152385,0.0,0.0,0.0
