Issue,Precision,Recall,F1
3,0.1111111111111111,0.3333333333333333,0.16666666666666666
101,1.0,0.06666666666666667,0.125
144,0.0,0.0,0.0
153,0.0,0.0,0.0
163,0.16666666666666666,1.0,0.2857142857142857
253,0.125,1.0,0.2222222222222222
296,0.0,0.0,0.0
306,0.2727272727272727,0.3,0.2857142857142857
323,0.0,0.0,0.0
626,0.2,0.5,0.2857142857142857
786,0.3333333333333333,1.0,0.5
789,0.1875,0.75,0.3
940,1.0,1.0,1.0
946,0.3333333333333333,1.0,0.5
1099,0.4444444444444444,1.0,0.6153846153846154
1371,0.375,0.75,0.5
1381,0.0,0.0,0.0
1450,0.0,0.0,0.0
1455,0.0,0.0,0.0
1764,0.0,0.0,0.0
1774,0.42857142857142855,0.42857142857142855,0.42857142857142855
1922,0.0,0.0,0.0
2303,0.0,0.0,0.0
2348,0.0,0.0,0.0
2612,0.0,0.0,0.0
2669,0.0,0.0,0.0
2809,0.1,1.0,0.18181818181818182
2830,0.08333333333333333,1.0,0.15384615384615385
3009,0.09090909090909091,1.0,0.16666666666666666
3046,0.16666666666666666,1.0,0.2857142857142857
3195,0.0,0.0,0.0
3233,0.3333333333333333,0.6666666666666666,0.4444444444444444
3630,0.0,0.0,0.0
3813,0.5,0.7142857142857143,0.5882352941176471
4154,0.25,0.25,0.25
4217,0.0,0.0,0.0
4368,0.6666666666666666,1.0,0.8
4472,0.2,1.0,0.3333333333333333
4507,0.0,0.0,0.0
4965,0.5,1.0,0.6666666666666666
5062,0.0,0.0,0.0
5490,0.0,0.0,0.0
5556,0.75,0.42857142857142855,0.5454545454545454
6168,0.0,0.0,0.0
6180,0.0,0.0,0.0
6184,0.0,0.0,0.0
6877,0.2,1.0,0.3333333333333333
6879,0.07142857142857142,1.0,0.13333333333333333
6932,0.5,1.0,0.6666666666666666
7186,0.0,0.0,0.0
7222,0.6,1.0,0.75
7255,0.3333333333333333,1.0,0.5
7274,0.2,1.0,0.3333333333333333
7278,0.3333333333333333,0.6666666666666666,0.4444444444444444
7332,0.16666666666666666,1.0,0.2857142857142857
8307,0.0,0.0,0.0
8485,0.0,0.0,0.0
63874,0.3333333333333333,1.0,0.5
72610,0.0,0.0,0.0
82275,0.5454545454545454,1.0,0.7058823529411765
125841,0.5,1.0,0.6666666666666666
152385,0.0,0.0,0.0
