Issue,Precision,Recall,F1
3,0.0,0.0,0.0
101,1.0,0.06666666666666667,0.125
144,0.0,0.0,0.0
153,0.0,0.0,0.0
163,0.2,1.0,0.3333333333333333
253,0.2,1.0,0.3333333333333333
296,0.0,0.0,0.0
306,0.42857142857142855,0.3,0.35294117647058826
323,0.0,0.0,0.0
626,0.5,0.5,0.5
786,0.5,1.0,0.6666666666666666
789,0.2,0.5,0.2857142857142857
940,1.0,1.0,1.0
946,0.0,0.0,0.0
1099,0.6666666666666666,1.0,0.8
1371,0.6,0.75,0.6666666666666666
1381,0.0,0.0,0.0
1450,0.0,0.0,0.0
1455,0.0,0.0,0.0
1764,0.0,0.0,0.0
1774,0.6666666666666666,0.42857142857142855,0.5217391304347826
1922,0.0,0.0,0.0
2303,0.0,0.0,0.0
2348,0.0,0.0,0.0
2612,0.0,0.0,0.0
2669,0.0,0.0,0.0
2809,0.16666666666666666,1.0,0.2857142857142857
2830,0.125,1.0,0.2222222222222222
3009,0.0,0.0,0.0
3046,0.2222222222222222,1.0,0.36363636363636365
3195,0.0,0.0,0.0
3233,0.4,0.6666666666666666,0.5
3630,0.0,0.0,0.0
3813,0.6,0.42857142857142855,0.5
4154,0.3333333333333333,0.25,0.2857142857142857
4217,0.0,0.0,0.0
4368,0.6666666666666666,1.0,0.8
4472,0.5,1.0,0.6666666666666666
4507,0.0,0.0,0.0
4965,1.0,1.0,1.0
5062,0.0,0.0,0.0
5490,0.0,0.0,0.0
5556,0.75,0.42857142857142855,0.5454545454545454
6168,0.0,0.0,0.0
6180,0.0,0.0,0.0
6184,0.0,0.0,0.0
6877,0.0,0.0,0.0
6879,0.09090909090909091,1.0,0.16666666666666666
6932,0.5,1.0,0.6666666666666666
7186,0.0,0.0,0.0
7222,0.75,1.0,0.8571428571428571
7255,0.25,0.5,0.3333333333333333
7274,0.3333333333333333,1.0,0.5
7278,0.5,0.6666666666666666,0.5714285714285714
7332,0.16666666666666666,1.0,0.2857142857142857
8307,0.0,0.0,0.0
8485,0.0,0.0,0.0
63874,0.5,1.0,0.6666666666666666
72610,0.0,0.0,0.0
82275,0.75,1.0,0.8571428571428571
125841,0.0,0.0,0.0
152385,0.0,0.0,0.0
