Issue,Precision,Recall,F1
3,0.0,0.0,0.0
101,0.0,0.0,0.0
144,0.0,0.0,0.0
153,0.0,0.0,0.0
163,1.0,1.0,1.0
253,1.0,1.0,1.0
296,0.0,0.0,0.0
306,0.9090909090909091,1.0,0.9523809523809523
323,1.0,0.6666666666666666,0.8
626,0.18181818181818182,1.0,0.3076923076923077
786,0.0,0.0,0.0
789,0.0,0.0,0.0
940,0.25,1.0,0.4
946,1.0,1.0,1.0
1099,0.0,0.0,0.0
1371,0.5714285714285714,1.0,0.7272727272727273
1381,0.0,0.0,0.0
1450,0.5,0.5,0.5
1455,0.3333333333333333,1.0,0.5
1764,0.0,0.0,0.0
1774,1.0,0.07142857142857142,0.13333333333333333
1922,0.3333333333333333,1.0,0.5
2303,1.0,0.6666666666666666,0.8
2348,0.0,0.0,0.0
2612,0.375,1.0,0.5454545454545454
2669,1.0,1.0,1.0
2809,0.0,0.0,0.0
2830,0.0,0.0,0.0
3009,0.2,1.0,0.3333333333333333
3046,1.0,1.0,1.0
3195,0.0,0.0,0.0
3233,0.0,0.0,0.0
3630,0.2,1.0,0.3333333333333333
3813,0.08333333333333333,0.14285714285714285,0.10526315789473684
4154,0.0,0.0,0.0
4217,0.0,0.0,0.0
4368,1.0,1.0,1.0
4472,1.0,1.0,1.0
4507,0.2,0.3333333333333333,0.25
4965,0.0,0.0,0.0
5062,0.5,1.0,0.6666666666666666
5490,1.0,1.0,1.0
5556,1.0,0.7142857142857143,0.8333333333333334
6168,1.0,1.0,1.0
6180,0.0,0.0,0.0
6184,0.09090909090909091,1.0,0.16666666666666666
6877,0.5,1.0,0.6666666666666666
6879,0.0,0.0,0.0
6932,0.0,0.0,0.0
7186,0.0,0.0,0.0
7222,0.0,0.0,0.0
7255,0.0,0.0,0.0
7274,0.0,0.0,0.0
7278,0.0,0.0,0.0
7332,0.0,0.0,0.0
8307,1.0,1.0,1.0
8485,0.0,0.0,0.0
63874,0.0,0.0,0.0
72610,1.0,1.0,1.0
82275,1.0,1.0,1.0
125841,1.0,1.0,1.0
152385,0.0,0.0,0.0
