Issue,Precision,Recall,F1
3,1.0,0.3333333333333333,0.5
101,0.5,0.06666666666666667,0.11764705882352941
144,0.0,0.0,0.0
153,1.0,1.0,1.0
163,1.0,1.0,1.0
253,0.5,1.0,0.6666666666666666
296,0.3333333333333333,1.0,0.5
306,1.0,0.2,0.3333333333333333
323,1.0,0.3333333333333333,0.5
626,1.0,0.5,0.6666666666666666
786,0.2,1.0,0.3333333333333333
789,1.0,0.75,0.8571428571428571
940,1.0,1.0,1.0
946,1.0,1.0,1.0
1099,1.0,1.0,1.0
1371,0.6666666666666666,0.5,0.5714285714285714
1381,0.0,0.0,0.0
1450,0.0,0.0,0.0
1455,1.0,1.0,1.0
1764,0.25,1.0,0.4
1774,1.0,0.35714285714285715,0.5263157894736842
1922,0.3333333333333333,1.0,0.5
2303,1.0,0.6666666666666666,0.8
2348,1.0,1.0,1.0
2612,0.75,1.0,0.8571428571428571
2669,0.0,0.0,0.0
2809,1.0,1.0,1.0
2830,0.0,0.0,0.0
3009,0.5,1.0,0.6666666666666666
3046,0.6666666666666666,1.0,0.8
3195,0.25,1.0,0.4
3233,0.5,0.3333333333333333,0.4
3630,1.0,1.0,1.0
3813,1.0,0.42857142857142855,0.6
4154,0.0,0.0,0.0
4217,1.0,1.0,1.0
4368,1.0,1.0,1.0
4472,0.5,1.0,0.6666666666666666
4507,1.0,0.6666666666666666,0.8
4965,1.0,0.5,0.6666666666666666
5062,1.0,0.3333333333333333,0.5
5490,1.0,1.0,1.0
5556,1.0,0.5714285714285714,0.7272727272727273
6168,0.5,0.5,0.5
6180,0.0,0.0,0.0
6184,0.3333333333333333,1.0,0.5
6877,0.5,1.0,0.6666666666666666
6879,0.16666666666666666,1.0,0.2857142857142857
6932,0.3333333333333333,1.0,0.5
7186,0.25,1.0,0.4
7222,1.0,0.3333333333333333,0.5
7255,1.0,1.0,1.0
7274,1.0,1.0,1.0
7278,0.0,0.0,0.0
7332,0.0,0.0,0.0
8307,0.1111111111111111,1.0,0.2
8485,0.6666666666666666,0.8,0.7272727272727273
63874,1.0,1.0,1.0
72610,1.0,1.0,1.0
82275,1.0,0.8333333333333334,0.9090909090909091
125841,1.0,1.0,1.0
152385,0.0,0.0,0.0
