Issue,Precision,Recall,F1
3,1.0,0.3333333333333333,0.5
101,1.0,0.06666666666666667,0.125
144,0.0,0.0,0.0
153,1.0,1.0,1.0
163,1.0,1.0,1.0
253,1.0,1.0,1.0
296,0.3333333333333333,1.0,0.5
306,1.0,0.3,0.46153846153846156
323,1.0,0.3333333333333333,0.5
626,1.0,0.5,0.6666666666666666
786,0.0625,1.0,0.11764705882352941
789,1.0,1.0,1.0
940,1.0,1.0,1.0
946,1.0,1.0,1.0
1099,1.0,1.0,1.0
1371,0.5,0.75,0.6
1381,0.0,0.0,0.0
1450,0.0,0.0,0.0
1455,1.0,1.0,1.0
1764,0.2,1.0,0.3333333333333333
1774,1.0,0.5,0.6666666666666666
1922,0.2,1.0,0.3333333333333333
2303,1.0,0.6666666666666666,0.8
2348,0.0,0.0,0.0
2612,0.5,1.0,0.6666666666666666
2669,0.0,0.0,0.0
2809,1.0,1.0,1.0
2830,0.0,0.0,0.0
3009,0.5,1.0,0.6666666666666666
3046,0.6666666666666666,1.0,0.8
3195,0.07142857142857142,1.0,0.13333333333333333
3233,0.5,0.3333333333333333,0.4
3630,1.0,1.0,1.0
3813,1.0,0.5714285714285714,0.7272727272727273
4154,0.0,0.0,0.0
4217,1.0,1.0,1.0
4368,1.0,1.0,1.0
4472,1.0,1.0,1.0
4507,0.6666666666666666,0.6666666666666666,0.6666666666666666
4965,1.0,0.5,0.6666666666666666
5062,1.0,0.3333333333333333,0.5
5490,1.0,1.0,1.0
5556,1.0,0.5714285714285714,0.7272727272727273
6168,1.0,0.5,0.6666666666666666
6180,0.0,0.0,0.0
6184,0.1,1.0,0.18181818181818182
6877,1.0,1.0,1.0
6879,0.1,1.0,0.18181818181818182
6932,0.1111111111111111,1.0,0.2
7186,0.07692307692307693,1.0,0.14285714285714285
7222,1.0,0.3333333333333333,0.5
7255,1.0,1.0,1.0
7274,1.0,1.0,1.0
7278,0.08333333333333333,0.6666666666666666,0.14814814814814814
7332,0.0,0.0,0.0
8307,0.08333333333333333,1.0,0.15384615384615385
8485,0.3333333333333333,0.6,0.42857142857142855
63874,1.0,1.0,1.0
72610,1.0,1.0,1.0
82275,1.0,0.8333333333333334,0.9090909090909091
125841,1.0,1.0,1.0
152385,0.0,0.0,0.0
