Issue,Precision,Recall,F1
3,1.0,0.3333333333333333,0.5
101,1.0,0.06666666666666667,0.125
144,0.0,0.0,0.0
153,0.3333333333333333,1.0,0.5
163,1.0,1.0,1.0
253,0.3333333333333333,1.0,0.5
296,0.0,0.0,0.0
306,0.125,0.1,0.1111111111111111
323,0.3333333333333333,0.3333333333333333,0.3333333333333333
626,0.5,0.5,0.5
786,1.0,1.0,1.0
789,0.26666666666666666,1.0,0.42105263157894735
940,1.0,1.0,1.0
946,1.0,1.0,1.0
1099,0.8,1.0,0.8888888888888888
1371,0.4,0.5,0.4444444444444444
1381,0.0,0.0,0.0
1450,0.0,0.0,0.0
1455,0.0,0.0,0.0
1764,0.0,0.0,0.0
1774,0.8333333333333334,0.35714285714285715,0.5
1922,1.0,1.0,1.0
2303,0.5,0.6666666666666666,0.5714285714285714
2348,0.0,0.0,0.0
2612,0.16666666666666666,0.3333333333333333,0.2222222222222222
2669,0.0,0.0,0.0
2809,0.16666666666666666,1.0,0.2857142857142857
2830,0.3333333333333333,1.0,0.5
3009,0.14285714285714285,1.0,0.25
3046,0.25,1.0,0.4
3195,0.0,0.0,0.0
3233,0.4,0.6666666666666666,0.5
3630,0.25,1.0,0.4
3813,1.0,0.42857142857142855,0.6
4154,0.25,0.125,0.16666666666666666
4217,0.0,0.0,0.0
4368,0.6666666666666666,1.0,0.8
4472,0.5,1.0,0.6666666666666666
4507,0.0,0.0,0.0
4965,1.0,0.5,0.6666666666666666
5062,0.14285714285714285,0.3333333333333333,0.2
5490,1.0,1.0,1.0
5556,1.0,0.14285714285714285,0.25
6168,0.0,0.0,0.0
6180,0.0,0.0,0.0
6184,0.0,0.0,0.0
6877,1.0,1.0,1.0
6879,0.09090909090909091,1.0,0.16666666666666666
6932,1.0,1.0,1.0
7186,0.3333333333333333,1.0,0.5
7222,1.0,1.0,1.0
7255,0.5,1.0,0.6666666666666666
7274,1.0,1.0,1.0
7278,0.0,0.0,0.0
7332,0.0,0.0,0.0
8307,0.0,0.0,0.0
8485,0.0,0.0,0.0
63874,1.0,1.0,1.0
72610,0.0,0.0,0.0
82275,0.7142857142857143,0.8333333333333334,0.7692307692307693
125841,1.0,1.0,1.0
152385,0.0,0.0,0.0
