Issue,K,Predicted,Inter,Precision,Recall,F1
3,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
101,15,15,7,0.4666666666666667,0.4666666666666667,0.4666666666666667
144,5,5,0,0.0,0.0,0.0
153,1,1,1,1.0,1.0,1.0
163,1,1,1,1.0,1.0,1.0
253,1,1,1,1.0,1.0,1.0
296,1,1,1,1.0,1.0,1.0
306,10,10,1,0.1,0.1,0.1
323,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
626,2,2,1,0.5,0.5,0.5
786,1,1,1,1.0,1.0,1.0
789,4,4,1,0.25,0.25,0.25
940,1,1,1,1.0,1.0,1.0
946,1,1,1,1.0,1.0,1.0
1099,4,4,4,1.0,1.0,1.0
1371,4,4,2,0.5,0.5,0.5
1381,2,2,0,0.0,0.0,0.0
1450,2,2,0,0.0,0.0,0.0
1455,1,1,0,0.0,0.0,0.0
1764,1,1,0,0.0,0.0,0.0
1774,14,14,13,0.9285714285714286,0.9285714285714286,0.9285714285714286
1922,1,1,0,0.0,0.0,0.0
2303,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
2348,1,1,0,0.0,0.0,0.0
2612,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
2669,1,1,0,0.0,0.0,0.0
2809,1,1,0,0.0,0.0,0.0
2830,1,1,0,0.0,0.0,0.0
3009,1,1,1,1.0,1.0,1.0
3046,2,2,2,1.0,1.0,1.0
3195,2,2,0,0.0,0.0,0.0
3233,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
3630,1,1,1,1.0,1.0,1.0
3813,7,7,3,0.42857142857142855,0.42857142857142855,0.42857142857142855
4154,8,8,2,0.25,0.25,0.25
4217,2,2,2,1.0,1.0,1.0
4368,2,2,2,1.0,1.0,1.0
4472,1,1,0,0.0,0.0,0.0
4507,3,3,0,0.0,0.0,0.0
4965,2,2,2,1.0,1.0,1.0
5062,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
5490,1,1,1,1.0,1.0,1.0
5556,7,7,2,0.2857142857142857,0.2857142857142857,0.2857142857142857
6168,2,2,0,0.0,0.0,0.0
6180,1,1,1,1.0,1.0,1.0
6184,1,1,0,0.0,0.0,0.0
6877,1,1,1,1.0,1.0,1.0
6879,1,1,1,1.0,1.0,1.0
6932,1,1,1,1.0,1.0,1.0
7186,1,1,1,1.0,1.0,1.0
7222,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
7255,2,2,0,0.0,0.0,0.0
7274,1,1,1,1.0,1.0,1.0
7278,3,3,0,0.0,0.0,0.0
7332,1,1,0,0.0,0.0,0.0
8307,1,1,0,0.0,0.0,0.0
8485,5,5,1,0.2,0.2,0.2
63874,1,1,1,1.0,1.0,1.0
72610,1,1,0,0.0,0.0,0.0
82275,6,6,5,0.8333333333333334,0.8333333333333334,0.8333333333333334
125841,1,1,1,1.0,1.0,1.0
152385,1,1,0,0.0,0.0,0.0
