Issue,Precision,Recall,F1
3,1.0,0.6666666666666666,0.8
101,0.0,0.0,0.0
144,0.0,0.0,0.0
153,1.0,1.0,1.0
163,1.0,1.0,1.0
253,1.0,1.0,1.0
296,0.5,1.0,0.6666666666666666
306,1.0,0.2,0.3333333333333333
323,1.0,0.6666666666666666,0.8
626,1.0,0.5,0.6666666666666666
786,1.0,1.0,1.0
789,1.0,1.0,1.0
940,1.0,1.0,1.0
946,1.0,1.0,1.0
1099,1.0,1.0,1.0
1371,0.6,0.75,0.6666666666666666
1381,0.0,0.0,0.0
1450,0.0,0.0,0.0
1455,1.0,1.0,1.0
1764,0.0,0.0,0.0
1774,1.0,0.35714285714285715,0.5263157894736842
1922,1.0,1.0,1.0
2303,1.0,0.6666666666666666,0.8
2348,0.0,0.0,0.0
2612,1.0,0.3333333333333333,0.5
2669,0.0,0.0,0.0
2809,1.0,1.0,1.0
2830,0.5,1.0,0.6666666666666666
3009,1.0,1.0,1.0
3046,1.0,1.0,1.0
3195,0.0,0.0,0.0
3233,0.5,0.3333333333333333,0.4
3630,1.0,1.0,1.0
3813,1.0,0.42857142857142855,0.6
4154,0.0,0.0,0.0
4217,1.0,0.5,0.6666666666666666
4368,1.0,1.0,1.0
4472,1.0,1.0,1.0
4507,1.0,0.3333333333333333,0.5
4965,1.0,0.5,0.6666666666666666
5062,1.0,0.3333333333333333,0.5
5490,1.0,1.0,1.0
5556,1.0,0.42857142857142855,0.6
6168,0.0,0.0,0.0
6180,0.0,0.0,0.0
6184,1.0,1.0,1.0
6877,1.0,1.0,1.0
6879,0.2,1.0,0.3333333333333333
6932,1.0,1.0,1.0
7186,0.25,1.0,0.4
7222,1.0,0.3333333333333333,0.5
7255,1.0,0.5,0.6666666666666666
7274,1.0,1.0,1.0
7278,0.0,0.0,0.0
7332,0.0,0.0,0.0
8307,1.0,1.0,1.0
8485,0.0,0.0,0.0
63874,1.0,1.0,1.0
72610,1.0,1.0,1.0
82275,1.0,0.8333333333333334,0.9090909090909091
125841,1.0,1.0,1.0
152385,1.0,1.0,1.0
