Issue,Precision,Recall,F1
3,1.0,0.3333333333333333,0.5
101,0.0,0.0,0.0
144,0.0,0.0,0.0
153,1.0,1.0,1.0
163,1.0,1.0,1.0
253,1.0,1.0,1.0
296,0.14285714285714285,1.0,0.25
306,1.0,0.1,0.18181818181818182
323,1.0,0.3333333333333333,0.5
626,1.0,0.5,0.6666666666666666
786,0.1111111111111111,1.0,0.2
789,1.0,0.25,0.4
940,1.0,1.0,1.0
946,1.0,1.0,1.0
1099,1.0,1.0,1.0
1371,1.0,0.5,0.6666666666666666
1381,0.0,0.0,0.0
1450,0.0,0.0,0.0
1455,1.0,1.0,1.0
1764,0.0,0.0,0.0
1774,1.0,0.42857142857142855,0.6
1922,1.0,1.0,1.0
2303,1.0,0.6666666666666666,0.8
2348,0.0,0.0,0.0
2612,1.0,0.3333333333333333,0.5
2669,0.0,0.0,0.0
2809,1.0,1.0,1.0
2830,0.0,0.0,0.0
3009,1.0,1.0,1.0
3046,1.0,1.0,1.0
3195,0.16666666666666666,1.0,0.2857142857142857
3233,1.0,0.3333333333333333,0.5
3630,1.0,1.0,1.0
3813,1.0,0.14285714285714285,0.25
4154,0.0,0.0,0.0
4217,1.0,1.0,1.0
4368,1.0,1.0,1.0
4472,1.0,1.0,1.0
4507,1.0,0.6666666666666666,0.8
4965,1.0,0.5,0.6666666666666666
5062,1.0,0.3333333333333333,0.5
5490,1.0,1.0,1.0
5556,1.0,0.42857142857142855,0.6
6168,1.0,1.0,1.0
6180,0.0,0.0,0.0
6184,0.25,1.0,0.4
6877,1.0,1.0,1.0
6879,0.5,1.0,0.6666666666666666
6932,1.0,1.0,1.0
7186,0.125,1.0,0.2222222222222222
7222,1.0,0.3333333333333333,0.5
7255,1.0,1.0,1.0
7274,1.0,1.0,1.0
7278,0.08333333333333333,0.3333333333333333,0.13333333333333333
7332,0.0,0.0,0.0
8307,0.125,1.0,0.2222222222222222
8485,0.6666666666666666,0.4,0.5
63874,1.0,1.0,1.0
72610,1.0,1.0,1.0
82275,1.0,0.6666666666666666,0.8
125841,1.0,1.0,1.0
152385,0.0,0.0,0.0
