Issue,Precision,Recall,F1
3,0.0,0.0,0.0
101,0.0,0.0,0.0
144,0.3333333333333333,0.2,0.25
153,1.0,1.0,1.0
163,1.0,1.0,1.0
253,1.0,1.0,1.0
296,0.0,0.0,0.0
306,1.0,0.4,0.5714285714285714
323,1.0,0.6666666666666666,0.8
626,1.0,1.0,1.0
786,0.25,1.0,0.4
789,1.0,1.0,1.0
940,1.0,1.0,1.0
946,0.3333333333333333,1.0,0.5
1099,1.0,1.0,1.0
1371,0.5,1.0,0.6666666666666666
1381,0.0,0.0,0.0
1450,0.3333333333333333,0.5,0.4
1455,0.5,1.0,0.6666666666666666
1764,0.0,0.0,0.0
1774,0.7142857142857143,0.35714285714285715,0.47619047619047616
1922,0.3333333333333333,1.0,0.5
2303,1.0,0.6666666666666666,0.8
2348,0.0,0.0,0.0
2612,0.6666666666666666,0.6666666666666666,0.6666666666666666
2669,0.0,0.0,0.0
2809,0.3333333333333333,1.0,0.5
2830,0.25,1.0,0.4
3009,1.0,1.0,1.0
3046,1.0,1.0,1.0
3195,0.0,0.0,0.0
3233,0.25,0.3333333333333333,0.2857142857142857
3630,0.5,1.0,0.6666666666666666
3813,0.8333333333333334,0.7142857142857143,0.7692307692307693
4154,0.0,0.0,0.0
4217,0.0,0.0,0.0
4368,0.6666666666666666,1.0,0.8
4472,0.5,1.0,0.6666666666666666
4507,1.0,0.3333333333333333,0.5
4965,0.5,0.5,0.5
5062,0.5,0.6666666666666666,0.5714285714285714
5490,1.0,1.0,1.0
5556,1.0,1.0,1.0
6168,0.0,0.0,0.0
6180,0.0,0.0,0.0
6184,1.0,1.0,1.0
6877,1.0,1.0,1.0
6879,0.25,1.0,0.4
6932,1.0,1.0,1.0
7186,0.3333333333333333,1.0,0.5
7222,0.5,1.0,0.6666666666666666
7255,1.0,1.0,1.0
7274,0.5,1.0,0.6666666666666666
7278,0.3333333333333333,0.6666666666666666,0.4444444444444444
7332,0.25,1.0,0.4
8307,0.25,1.0,0.4
8485,0.0,0.0,0.0
63874,1.0,1.0,1.0
72610,1.0,1.0,1.0
82275,1.0,1.0,1.0
125841,1.0,1.0,1.0
152385,1.0,1.0,1.0
