Issue,Precision,Recall,F1
3,1.0,0.6666666666666666,0.8
101,0.0,0.0,0.0
144,1.0,0.2,0.3333333333333333
153,0.5,1.0,0.6666666666666666
163,1.0,1.0,1.0
253,1.0,1.0,1.0
296,0.5,1.0,0.6666666666666666
306,1.0,0.3,0.46153846153846156
323,1.0,0.3333333333333333,0.5
626,1.0,0.5,0.6666666666666666
786,0.3333333333333333,1.0,0.5
789,1.0,0.25,0.4
940,1.0,1.0,1.0
946,1.0,1.0,1.0
1099,1.0,1.0,1.0
1371,0.75,0.75,0.75
1381,0.0,0.0,0.0
1450,0.2,0.5,0.2857142857142857
1455,1.0,1.0,1.0
1764,0.25,1.0,0.4
1774,1.0,0.5,0.6666666666666666
1922,1.0,1.0,1.0
2303,1.0,0.6666666666666666,0.8
2348,0.0,0.0,0.0
2612,1.0,0.6666666666666666,0.8
2669,0.25,1.0,0.4
2809,1.0,1.0,1.0
2830,0.5,1.0,0.6666666666666666
3009,1.0,1.0,1.0
3046,1.0,1.0,1.0
3195,0.3333333333333333,0.5,0.4
3233,0.6666666666666666,0.6666666666666666,0.6666666666666666
3630,1.0,1.0,1.0
3813,0.5,0.14285714285714285,0.2222222222222222
4154,0.0,0.0,0.0
4217,0.6666666666666666,1.0,0.8
4368,1.0,1.0,1.0
4472,1.0,1.0,1.0
4507,0.6666666666666666,0.6666666666666666,0.6666666666666666
4965,1.0,0.5,0.6666666666666666
5062,1.0,0.3333333333333333,0.5
5490,1.0,1.0,1.0
5556,1.0,0.7142857142857143,0.8333333333333334
6168,0.2857142857142857,1.0,0.4444444444444444
6180,0.0,0.0,0.0
6184,1.0,1.0,1.0
6877,1.0,1.0,1.0
6879,0.5,1.0,0.6666666666666666
6932,1.0,1.0,1.0
7186,0.5,1.0,0.6666666666666666
7222,1.0,1.0,1.0
7255,1.0,1.0,1.0
7274,1.0,1.0,1.0
7278,0.0,0.0,0.0
7332,0.0,0.0,0.0
8307,1.0,1.0,1.0
8485,0.0,0.0,0.0
63874,1.0,1.0,1.0
72610,1.0,1.0,1.0
82275,1.0,1.0,1.0
125841,1.0,1.0,1.0
152385,1.0,1.0,1.0
