issue_id,K,n_candidates,known_k_f1,abs_mm_f1,rel_f1,mrr,ndcg_at_k,p_at_k
1089,2,99,0.0,33.33333333333333,33.33333333333333,25.0,0.0,0.0
1283,3,99,66.66666666666666,66.66666666666666,80.0,100.0,76.53606369886216,66.66666666666666
1641,1,128,100.0,100.0,100.0,100.0,100.0,100.0
1681,1,131,0.0,2.0,1.8691588785046727,1.0309278350515463,0.0,0.0
1698,2,131,0.0,18.18181818181818,22.222222222222225,20.0,0.0,0.0
1983,7,139,42.857142857142854,54.54545454545454,54.54545454545454,50.0,42.92486164007478,42.857142857142854
2423,2,158,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
2424,1,158,100.0,100.0,100.0,100.0,100.0,100.0
2446,2,158,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
2558,1,166,100.0,100.0,100.0,100.0,100.0,100.0
2762,1,154,100.0,100.0,100.0,100.0,100.0,100.0
2777,1,153,100.0,100.0,100.0,100.0,100.0,100.0
2850,1,156,100.0,100.0,100.0,100.0,100.0,100.0
3237,3,172,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
3367,2,179,0.0,22.222222222222225,22.222222222222225,25.0,0.0,0.0
3514,1,164,0.0,1.3793103448275863,1.3513513513513513,0.6944444444444444,0.0,0.0
3537,1,163,100.0,100.0,100.0,100.0,100.0,100.0
3555,4,162,0.0,4.9079754601226995,4.316546762589928,1.5151515151515151,0.0,0.0
3625,1,165,0.0,5.882352941176471,5.882352941176471,3.7037037037037033,0.0,0.0
3629,3,165,0.0,3.726708074534161,3.75,1.7241379310344827,0.0,0.0
3669,5,163,0.0,10.0,9.876543209876543,7.6923076923076925,0.0,0.0
3682,1,160,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
3804,1,166,0.0,66.66666666666666,50.0,50.0,0.0,0.0
3903,1,165,100.0,100.0,100.0,100.0,100.0,100.0
4007,1,169,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
4309,1,156,100.0,100.0,100.0,100.0,100.0,100.0
4340,1,155,0.0,9.09090909090909,12.5,6.666666666666667,0.0,0.0
4694,1,148,100.0,100.0,100.0,100.0,100.0,100.0
4788,1,147,100.0,40.0,40.0,100.0,100.0,100.0
4982,1,146,0.0,16.666666666666668,16.666666666666668,10.0,0.0,0.0
5076,1,140,0.0,2.5,2.631578947368421,1.3333333333333335,0.0,0.0
5118,2,132,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
5130,1,135,0.0,33.333333333333336,25.0,20.0,0.0,0.0
5200,2,132,100.0,100.0,100.0,100.0,100.0,100.0
5237,1,130,100.0,100.0,100.0,100.0,100.0,100.0
5500,2,124,0.0,6.0606060606060606,5.9701492537313445,1.694915254237288,0.0,0.0
