issue_id,K,n_candidates,known_k_f1,abs_mm_f1,rel_f1,mrr,ndcg_at_k,p_at_k
38,2,94,100.0,100.0,100.0,100.0,100.0,100.0
58,1,96,100.0,100.0,100.0,100.0,100.0,100.0
161,2,96,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
167,1,98,100.0,100.0,100.0,100.0,100.0,100.0
173,1,100,0.0,33.333333333333336,33.333333333333336,20.0,0.0,0.0
575,2,180,0.0,9.090909090909092,13.333333333333336,8.333333333333332,0.0,0.0
809,1,225,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
915,2,232,50.0,50.0,50.0,100.0,61.31471927654584,50.0
1056,3,243,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
1231,4,206,25.0,40.0,40.0,100.0,39.038004999210166,25.0
1269,1,194,100.0,100.0,100.0,100.0,100.0,100.0
1304,6,189,16.666666666666664,28.57142857142857,28.57142857142857,100.0,30.260241349881344,16.666666666666664
1319,2,183,50.0,50.0,50.0,100.0,61.31471927654584,50.0
1428,3,155,0.0,15.384615384615383,13.333333333333334,11.11111111111111,0.0,0.0
1434,3,154,0.0,9.523809523809526,10.0,6.666666666666667,0.0,0.0
1595,1,124,100.0,100.0,100.0,100.0,100.0,100.0
1661,5,131,0.0,16.000000000000004,20.0,10.0,0.0,0.0
1680,6,134,16.666666666666664,30.769230769230766,30.769230769230766,100.0,30.260241349881344,16.666666666666664
1791,6,122,50.0,60.0,61.53846153846153,100.0,62.384704558811876,50.0
1855,3,117,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
2226,1,121,0.0,50.0,50.0,33.33333333333333,0.0,0.0
2318,1,143,0.0,50.0,50.0,33.33333333333333,0.0,0.0
2423,1,163,0.0,40.0,40.0,33.33333333333333,0.0,0.0
2482,3,161,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
2546,5,172,20.000000000000004,33.333333333333336,33.333333333333336,100.0,33.91602052736161,20.0
2587,2,175,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
2590,5,175,60.0,60.0,60.0,100.0,68.43515475204856,60.0
3108,1,188,100.0,100.0,100.0,100.0,100.0,100.0
3112,1,188,100.0,100.0,100.0,100.0,100.0,100.0
3187,2,201,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
3281,7,203,14.285714285714285,18.181818181818183,15.384615384615383,25.0,11.838279295536292,14.285714285714285
3285,1,203,100.0,100.0,100.0,100.0,100.0,100.0
3355,1,199,100.0,100.0,100.0,100.0,100.0,100.0
3582,2,182,50.0,50.0,50.0,100.0,61.31471927654584,50.0
3628,2,189,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
3634,1,189,100.0,100.0,100.0,100.0,100.0,100.0
3874,5,189,20.000000000000004,33.333333333333336,33.333333333333336,100.0,33.91602052736161,20.0
4026,1,173,100.0,100.0,100.0,100.0,100.0,100.0
4282,1,169,100.0,100.0,100.0,100.0,100.0,100.0
4615,5,181,0.0,13.559322033898304,13.559322033898304,1.9607843137254901,0.0,0.0
4794,3,202,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
5791,1,264,0.0,18.181818181818183,18.181818181818183,12.5,0.0,0.0
6124,2,266,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
6833,4,316,25.0,40.0,40.0,100.0,39.038004999210166,25.0
6911,3,308,0.0,2.7149321266968327,3.076923076923077,1.694915254237288,0.0,0.0
7023,1,302,0.0,28.57142857142857,28.57142857142857,20.0,0.0,0.0
7118,3,296,66.66666666666666,80.0,80.0,100.0,76.53606369886216,66.66666666666666
7174,3,292,66.66666666666666,57.14285714285715,57.14285714285715,100.0,70.39180890341346,66.66666666666666
7189,7,292,14.285714285714285,25.0,25.0,100.0,27.487633291429088,14.285714285714285
7250,4,281,50.0,66.66666666666666,66.66666666666666,100.0,63.66824387328317,50.0
7371,1,274,100.0,100.0,100.0,100.0,100.0,100.0
7533,4,243,25.0,28.571428571428577,28.571428571428577,33.33333333333333,19.519002499605083,25.0
7633,1,237,100.0,100.0,100.0,100.0,100.0,100.0
7821,1,215,100.0,100.0,100.0,100.0,100.0,100.0
7971,1,212,100.0,100.0,100.0,100.0,100.0,100.0
7974,2,212,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
8200,1,198,100.0,100.0,100.0,100.0,100.0,100.0
8201,2,198,0.0,3.571428571428572,3.571428571428572,1.9230769230769231,0.0,0.0
8444,1,184,100.0,100.0,100.0,100.0,100.0,100.0
8764,1,172,0.0,3.389830508474576,3.125,1.7241379310344827,0.0,0.0
8855,1,173,100.0,100.0,100.0,100.0,100.0,100.0
8864,1,173,100.0,100.0,100.0,100.0,100.0,100.0
9088,5,177,100.0,88.8888888888889,100.0,100.0,100.0,100.0
9127,4,171,0.0,18.181818181818183,18.75,4.761904761904762,0.0,0.0
9336,3,141,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
9522,1,136,100.0,100.0,100.0,100.0,100.0,100.0
10022,1,155,100.0,100.0,100.0,100.0,100.0,100.0
10213,3,168,33.33333333333333,40.0,40.0,100.0,46.92787260227564,33.33333333333333
10247,1,169,100.0,100.0,100.0,100.0,100.0,100.0
10534,1,179,100.0,100.0,100.0,100.0,100.0,100.0
10599,1,184,100.0,100.0,100.0,100.0,100.0,100.0
10636,1,195,100.0,100.0,100.0,100.0,100.0,100.0
10685,1,204,100.0,50.0,50.0,100.0,100.0,100.0
10822,1,208,100.0,100.0,100.0,100.0,100.0,100.0
10993,1,232,100.0,100.0,100.0,100.0,100.0,100.0
11026,1,228,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
11118,4,238,75.0,60.0,60.0,100.0,75.369761125927,75.0
11134,1,240,100.0,100.0,100.0,100.0,100.0,100.0
11176,6,241,50.0,60.0,60.0,100.0,58.42273861585908,50.0
11648,6,264,33.33333333333333,50.0,50.0,100.0,49.35232796777481,33.33333333333333
11777,2,267,50.0,80.0,80.0,100.0,61.31471927654584,50.0
11814,7,266,14.285714285714285,22.222222222222225,25.0,100.0,27.487633291429088,14.285714285714285
11945,1,271,0.0,7.6923076923076925,10.0,5.555555555555555,0.0,0.0
12087,1,279,100.0,100.0,100.0,100.0,100.0,100.0
12113,5,283,20.000000000000004,35.294117647058826,33.333333333333336,100.0,33.91602052736161,20.0
12131,4,284,25.0,40.0,40.0,100.0,39.038004999210166,25.0
12870,2,299,50.0,28.571428571428577,28.571428571428577,100.0,61.31471927654584,50.0
12926,4,293,0.0,7.6923076923076925,7.6923076923076925,5.263157894736842,0.0,0.0
13131,2,283,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
13133,1,283,100.0,100.0,100.0,100.0,100.0,100.0
13442,7,242,71.42857142857143,66.66666666666666,71.42857142857143,100.0,78.99917627398735,71.42857142857143
13444,2,242,100.0,100.0,100.0,100.0,100.0,100.0
13606,1,221,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
13630,1,220,100.0,100.0,100.0,100.0,100.0,100.0
13696,5,217,20.000000000000004,33.333333333333336,33.333333333333336,100.0,33.91602052736161,20.0
13733,2,210,100.0,100.0,100.0,100.0,100.0,100.0
13738,1,210,100.0,100.0,100.0,100.0,100.0,100.0
13968,1,180,100.0,100.0,100.0,100.0,100.0,100.0
14067,2,171,0.0,2.515723270440252,1.7699115044247788,0.9900990099009901,0.0,0.0
14162,3,167,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
14403,1,138,0.0,40.0,50.0,50.0,0.0,0.0
14892,1,103,0.0,33.333333333333336,33.333333333333336,25.0,0.0,0.0
15050,6,90,33.33333333333333,30.769230769230766,33.33333333333333,100.0,41.039156802332435,33.33333333333333
15294,2,65,100.0,100.0,100.0,100.0,100.0,100.0
15378,2,62,100.0,80.0,80.0,100.0,100.0,100.0
15462,2,60,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
15493,1,56,100.0,100.0,100.0,100.0,100.0,100.0
15755,1,10,100.0,100.0,100.0,100.0,100.0,100.0
