issue_id,K,n_candidates,known_k_f1,abs_mm_f1,rel_f1,mrr,ndcg_at_k,p_at_k
10453,3,330,0.0,2.73972602739726,2.8169014084507045,1.694915254237288,0.0,0.0
10838,4,339,0.0,12.5,12.5,9.090909090909092,0.0,0.0
10873,6,340,33.33333333333333,44.44444444444444,44.44444444444444,100.0,45.39036202482202,33.33333333333333
10977,1,344,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
11,1,41,100.0,100.0,100.0,100.0,100.0,100.0
11141,2,371,0.0,9.523809523809526,9.523809523809526,6.666666666666667,0.0,0.0
11601,1,389,100.0,100.0,100.0,100.0,100.0,100.0
11688,1,389,100.0,100.0,100.0,100.0,100.0,100.0
11693,1,389,100.0,100.0,100.0,100.0,100.0,100.0
11772,1,389,0.0,5.882352941176471,5.405405405405405,3.3333333333333335,0.0,0.0
11859,5,393,0.0,2.7906976744186047,2.8328611898017,1.1494252873563218,0.0,0.0
12036,1,402,0.0,5.555555555555556,5.714285714285714,3.125,0.0,0.0
12089,1,407,100.0,100.0,100.0,100.0,100.0,100.0
12745,3,450,33.33333333333333,40.0,40.0,50.0,29.608191096586523,33.33333333333333
12778,1,450,0.0,14.285714285714288,22.22222222222222,14.285714285714285,0.0,0.0
12787,4,452,0.0,2.17983651226158,2.013422818791946,0.6097560975609756,0.0,0.0
12807,2,452,50.0,50.0,50.0,50.0,38.68528072345416,50.0
12939,1,454,100.0,100.0,100.0,100.0,100.0,100.0
12947,1,454,100.0,100.0,100.0,100.0,100.0,100.0
13220,3,467,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
13238,1,469,100.0,100.0,100.0,100.0,100.0,100.0
13300,7,471,0.0,3.131991051454139,2.8268551236749118,1.0416666666666665,0.0,0.0
13484,2,485,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
13710,1,513,0.0,3.8461538461538463,3.571428571428572,2.083333333333333,0.0,0.0
13760,1,509,0.0,1.923076923076923,1.9417475728155342,1.1363636363636365,0.0,0.0
13839,3,522,0.0,1.5,1.5267175572519085,0.3115264797507788,0.0,0.0
13956,1,547,0.0,40.0,40.0,33.33333333333333,0.0,0.0
13976,1,552,0.0,5.555555555555556,5.128205128205128,3.571428571428571,0.0,0.0
13998,3,552,0.0,10.526315789473683,10.526315789473683,10.0,0.0,0.0
14026,5,552,0.0,5.88235294117647,5.88235294117647,3.571428571428571,0.0,0.0
14037,1,552,100.0,100.0,100.0,100.0,100.0,100.0
14117,1,552,100.0,100.0,100.0,100.0,100.0,100.0
14304,1,555,0.0,7.6923076923076925,7.142857142857142,5.0,0.0,0.0
14396,6,557,0.0,14.285714285714288,12.5,12.5,0.0,0.0
14875,7,559,28.57142857142857,40.0,40.0,100.0,41.23144993714363,28.57142857142857
15025,4,571,100.0,100.0,100.0,100.0,100.0,100.0
15152,4,577,25.0,40.0,40.0,100.0,39.038004999210166,25.0
15375,2,580,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
15535,2,585,0.0,5.88235294117647,5.405405405405405,3.8461538461538463,0.0,0.0
15555,2,593,0.0,3.225806451612903,3.1746031746031744,1.8867924528301887,0.0,0.0
15569,1,596,100.0,20.0,20.0,100.0,100.0,100.0
15652,1,597,0.0,6.89655172413793,7.4074074074074066,4.0,0.0,0.0
15670,1,601,0.0,2.985074626865672,2.5,1.5384615384615385,0.0,0.0
15703,7,607,0.0,2.333333333333333,1.7582417582417582,0.9009009009009009,0.0,0.0
15716,5,607,0.0,5.357142857142858,5.263157894736843,1.9607843137254901,0.0,0.0
15916,7,606,14.285714285714285,18.181818181818183,20.0,33.33333333333333,13.743816645714544,14.285714285714285
16068,1,627,0.0,3.076923076923077,3.508771929824561,1.9607843137254901,0.0,0.0
16349,4,617,25.0,40.0,40.0,100.0,39.038004999210166,25.0
16642,5,611,0.0,18.18181818181818,18.18181818181818,14.285714285714285,0.0,0.0
16833,1,601,0.0,7.6923076923076925,8.333333333333332,4.761904761904762,0.0,0.0
17056,4,574,25.0,40.0,40.0,100.0,39.038004999210166,25.0
17058,6,573,16.666666666666664,25.0,25.0,50.0,19.092086617893468,16.666666666666664
17104,3,573,66.66666666666666,80.0,80.0,100.0,76.53606369886216,66.66666666666666
17299,1,547,100.0,66.66666666666666,66.66666666666666,100.0,100.0,100.0
17338,2,546,50.0,40.0,40.0,100.0,61.31471927654584,50.0
17352,2,546,50.0,28.571428571428577,40.0,100.0,61.31471927654584,50.0
17669,1,535,0.0,2.1052631578947367,2.2988505747126435,1.25,0.0,0.0
17787,1,521,0.0,11.76470588235294,13.333333333333334,7.142857142857142,0.0,0.0
18372,1,487,100.0,100.0,100.0,100.0,100.0,100.0
18400,2,473,0.0,25.0,33.33333333333333,25.0,0.0,0.0
18414,4,473,25.0,40.0,40.0,100.0,39.038004999210166,25.0
18725,1,441,100.0,100.0,100.0,100.0,100.0,100.0
18843,2,431,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
19595,1,352,0.0,4.347826086956522,5.882352941176471,3.0303030303030303,0.0,0.0
20411,3,172,0.0,14.285714285714288,14.285714285714288,14.285714285714285,0.0,0.0
20731,3,80,66.66666666666666,80.0,80.0,100.0,76.53606369886216,66.66666666666666
20963,2,47,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
3542,1,48,0.0,5.0,5.0,2.631578947368421,0.0,0.0
3595,2,49,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
6603,3,122,0.0,20.0,18.181818181818183,12.5,0.0,0.0
723,1,27,0.0,40.0,40.0,25.0,0.0,0.0
7293,2,142,0.0,10.0,9.090909090909092,5.88235294117647,0.0,0.0
8283,1,170,100.0,100.0,100.0,100.0,100.0,100.0
8866,1,217,100.0,66.66666666666666,100.0,100.0,100.0,100.0
