issue_id,K,n_candidates,known_k_f1,abs_mm_f1,rel_f1,mrr,ndcg_at_k,p_at_k
60,1,186,0.0,66.66666666666666,66.66666666666666,50.0,0.0,0.0
127,3,505,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
163,1,216,100.0,100.0,100.0,100.0,100.0,100.0
218,3,238,0.0,16.666666666666664,22.22222222222222,20.0,0.0,0.0
917,4,353,0.0,10.810810810810812,10.810810810810812,3.8461538461538463,0.0,0.0
964,5,364,20.000000000000004,33.333333333333336,33.333333333333336,100.0,33.91602052736161,20.0
1031,1,370,0.0,1.1764705882352942,1.25,0.7692307692307693,0.0,0.0
1101,3,372,66.66666666666666,80.0,80.0,100.0,76.53606369886216,66.66666666666666
1188,2,402,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
1267,1,410,100.0,100.0,100.0,100.0,100.0,100.0
1297,1,417,0.0,33.333333333333336,33.333333333333336,20.0,0.0,0.0
1450,2,428,0.0,1.36986301369863,1.3157894736842104,0.7194244604316548,0.0,0.0
1541,1,441,100.0,100.0,100.0,100.0,100.0,100.0
1972,5,556,0.0,5.405405405405405,6.122448979591836,1.694915254237288,0.0,0.0
2563,1,556,0.0,5.128205128205128,6.0606060606060606,3.8461538461538463,0.0,0.0
2616,1,556,100.0,66.66666666666666,100.0,100.0,100.0,100.0
2717,2,556,0.0,3.7037037037037033,2.9850746268656723,2.2222222222222223,0.0,0.0
2790,2,556,0.0,0.8097165991902834,0.7843137254901961,0.4329004329004329,0.0,0.0
2830,1,556,0.0,16.666666666666668,11.11111111111111,12.5,0.0,0.0
2935,2,555,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
3009,1,555,0.0,18.181818181818183,22.22222222222222,14.285714285714285,0.0,0.0
3035,3,555,0.0,2.272727272727273,2.272727272727273,1.2987012987012987,0.0,0.0
3051,1,555,0.0,15.384615384615385,18.181818181818183,10.0,0.0,0.0
3103,2,555,50.0,50.0,50.0,100.0,61.31471927654584,50.0
3129,1,554,0.0,2.1276595744680855,2.150537634408602,1.1904761904761905,0.0,0.0
3131,2,554,0.0,18.18181818181818,25.0,16.666666666666664,0.0,0.0
3295,1,553,100.0,100.0,100.0,100.0,100.0,100.0
3883,2,538,0.0,5.555555555555555,5.714285714285714,3.125,0.0,0.0
4017,1,538,0.0,2.3809523809523814,2.3809523809523814,1.4492753623188406,0.0,0.0
4152,1,538,0.0,25.0,18.181818181818183,14.285714285714285,0.0,0.0
4213,1,538,0.0,4.255319148936169,4.166666666666667,3.225806451612903,0.0,0.0
4348,1,535,0.0,6.0606060606060606,6.89655172413793,4.545454545454546,0.0,0.0
4497,3,532,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
4549,1,532,0.0,5.882352941176471,5.882352941176471,4.761904761904762,0.0,0.0
4682,1,532,100.0,100.0,100.0,100.0,100.0,100.0
4965,2,509,50.0,66.66666666666666,66.66666666666666,100.0,61.31471927654584,50.0
4990,2,509,0.0,0.9708737864077669,0.9302325581395346,0.390625,0.0,0.0
5091,1,505,0.0,0.9216589861751152,0.900900900900901,0.5649717514124294,0.0,0.0
5229,4,505,50.0,50.0,50.0,100.0,55.85075862632192,50.0
5504,3,499,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
5556,7,496,14.285714285714285,25.0,25.0,100.0,27.487633291429088,14.285714285714285
5671,1,494,0.0,6.666666666666667,8.695652173913045,5.0,0.0,0.0
6168,2,480,0.0,15.384615384615385,16.666666666666668,16.666666666666664,0.0,0.0
6184,1,480,0.0,7.999999999999999,7.6923076923076925,5.263157894736842,0.0,0.0
6299,3,480,33.33333333333333,50.0,50.0,100.0,46.92787260227564,33.33333333333333
6400,1,474,100.0,100.0,100.0,100.0,100.0,100.0
6472,3,474,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,23.46393630113782,33.33333333333333
7150,1,464,100.0,100.0,100.0,100.0,100.0,100.0
7186,1,463,100.0,100.0,100.0,100.0,100.0,100.0
7274,1,460,0.0,18.181818181818183,15.384615384615385,10.0,0.0,0.0
7857,3,453,0.0,15.384615384615383,15.384615384615383,11.11111111111111,0.0,0.0
7995,4,448,25.0,40.0,40.0,100.0,39.038004999210166,25.0
8420,1,438,0.0,5.128205128205128,7.4074074074074066,3.8461538461538463,0.0,0.0
8659,6,431,50.0,60.0,60.0,100.0,64.4824486427155,50.0
8693,1,430,100.0,100.0,100.0,100.0,100.0,100.0
52788,1,20,0.0,18.181818181818183,18.181818181818183,10.0,0.0,0.0
56162,7,20,0.0,46.15384615384615,10.526315789473685,8.333333333333332,0.0,0.0
63874,1,24,100.0,100.0,100.0,100.0,100.0,100.0
165471,1,4,100.0,100.0,100.0,100.0,100.0,100.0
