Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
1144,2,2,0.0,0.0,0.0,0.0,0.0,"['cd60bd80a8224dfb756cb4457c6a92c757e032d4', 'e8d78e81765137be6fd7258e84cdcd62fdddd907']","['a707477ca725a9608f3561f40895c959c203d72c', 'c424d4477ceae2babd6e900dfa5ecb3ee37717f9']"
11080,6,0,0.0,0.0,0.0,0.0,0.0,[],"['1e3675b7bcc097f0ae2f4d0714bc33d61ab855cf', '288a3c10fea82147faa438938bb2a6169d0c873b', '47e785a2ef8cf3a57fe19bcf34e6d13f34981bf0', '680e7fa42edc6a959dd1e8d057cc858ebdf750fc', '8d07d08b88f83074743adcafe4e67fd749de28b4', '8d9dda092e30ff46cb35482cdef6703a9293e5ff']"
13384,1,1,1.0,1.0,1.0,1.0,1.0,['830736c0deaa9fae50da5321cc87e39c7f039406'],['830736c0deaa9fae50da5321cc87e39c7f039406']
13711,6,0,0.0,0.0,0.0,0.0,0.0,[],"['1064aa06d3e27831d79ee01246cb1eddfe6d493b', '23089aa4c3b618e55b62c7ce549213987cbf2561', '7ef87e973a06c333cf315f9b82a106f05abacd4b', '810977cdf5a27b7b87f229dc9683c963dfdec302', '8323c48ec53963b570116e43186a49b19d44144b', 'cb24d4aed78e4672de1fcd13e9ca591591e9adf3']"
14958,1,1,1.0,1.0,1.0,1.0,1.0,['e524a53331908e400cefe8c80bf87e9578bbc4b0'],['e524a53331908e400cefe8c80bf87e9578bbc4b0']
15389,3,0,0.0,0.0,0.0,0.0,0.0,[],"['000d7795512991b05416c5d3fbfed0b5e37c019c', '0d1c6e1d2f5586d6e2314bafa3c0f3d0fd5f69d1', '5ade5663877162094aa723295aeca3da84af7813']"
15458,4,0,0.0,0.0,0.0,0.0,0.0,[],"['0dc0d5431a22c68d47d272d73faa0a4832f7937d', '102c809068b15fa84ef98349565c658de14954a7', '2f07061a282d1821df0a0394b306b060073fa7d7', 'd0c8e5cb637b35d24e1d718972cfc0a73dae200c']"
15582,4,0,0.0,0.0,0.0,0.0,0.0,[],"['1452333cf0933d4d8da032af68bc5a3a05c62483', '292ac29b068e106212d6bfd040b706131cf42325', '6e8385e887d62bed6b89a084791982c7305c24bc', '881917a56be39c280ab2a4077997a70fdf9752ab']"
15755,1,1,1.0,1.0,1.0,1.0,1.0,['f97334c9a2045f4eb996396aa474ab33444dbda0'],['f97334c9a2045f4eb996396aa474ab33444dbda0']
15758,6,0,0.0,0.0,0.0,0.0,0.0,[],"['16e8b1d828e576fdc71e36978784eaf7fcd5e0df', '48f694362ce46d3db387b6aa67f30d0730c1f9ba', '53426b08e2e3be5ff172a9911d26406a9cce7e2f', 'a66873bb7e6de67e5cb3b7772b7ada5955dc362b', 'd88f2a97219a75d22b513776446c818aa17db7c4', 'fe32e1f9e37b9923d888cf7234db72f96534c9cb']"
15777,3,0,0.0,0.0,0.0,0.0,0.0,[],"['311afb96da76ce6797c546786c2c9093c583563f', '6a78fbdb232be26b94e6204214b5d9cad83be778', '8122d985ca1d51c062fb2d70e5e25efecbe6ae7a']"
15789,1,1,1.0,1.0,1.0,1.0,1.0,['23987c009f3474cb8c368a5b7e52e73995d145b4'],['23987c009f3474cb8c368a5b7e52e73995d145b4']
15877,1,1,1.0,1.0,1.0,1.0,1.0,['3717fc3c6651f534ac257cd1b449be4634fad856'],['3717fc3c6651f534ac257cd1b449be4634fad856']
15930,2,2,1.0,1.0,1.0,1.0,1.0,"['2a789fb4ab0029ff3f4f3d9d1e0fe5354ebd5c7b', '3ee71fe401848bdd84666766f157dec91aef4cda']","['2a789fb4ab0029ff3f4f3d9d1e0fe5354ebd5c7b', '3ee71fe401848bdd84666766f157dec91aef4cda']"
15934,1,1,1.0,1.0,1.0,1.0,1.0,['d21fe3ade51f4e52f9ed7a58baa0d8a0df51229f'],['d21fe3ade51f4e52f9ed7a58baa0d8a0df51229f']
15949,3,0,0.0,0.0,0.0,0.0,0.0,[],"['24879b5e4dce3aebfa13ba52cbeed1b41ee166f2', '4b6122ea97a74959628427428fac4f5077198b8b', '827db8600d4167f752696005584a07f9c88d51d1']"
15967,3,0,0.0,0.0,0.0,0.0,0.0,[],"['a1f784ae65a3a616d393e524788f3c6d8d389b46', 'c2573452bde82711bafd52852b055a60e6fcc3de', 'e3fcaf2efe14fbe947ceae4c0b7898b48472cf86']"
16008,1,1,1.0,1.0,1.0,1.0,1.0,['f4d7d52401b5c5a764541ca81969aae51acbfd0a'],['f4d7d52401b5c5a764541ca81969aae51acbfd0a']
16017,2,0,0.0,0.0,0.0,0.0,0.0,[],"['27282d9114cce20689898b3bdae87a89c4ae2cf1', '9d982315534be619e61d8b9022ccea33ed255ad4']"
16021,5,5,0.4,0.4,0.4000000000000001,1.0,0.48522855511632257,"['90cd37ccf8c534781eb1aa115ddbcf327e9e039e', '9b6768ff7622ab77a0d4c3cb4ec95c95d8f77046', 'a21de1317c715d0c8213eabf4e5ede1f13ccf591', 'b38b4b9d8410c3379f27f2134b01b4b747ada8c8', 'd29e28e56fec8bddab2d9bb4b6df6a78ac15d647']","['08aaf9963caa383e460ddf23aaaf1df5bd7ef44a', '90cd37ccf8c534781eb1aa115ddbcf327e9e039e', '9fa77de86963dbe5d4bc37e4e6a26962d8ef0457', 'a21de1317c715d0c8213eabf4e5ede1f13ccf591', 'f26705c75c37eca43bd40777e558d2a1f2e7959e']"
16028,7,0,0.0,0.0,0.0,0.0,0.0,[],"['1204db1bfd0d48780f6b53b6c76a8077644aa822', '25a9bc14aa8d5336a6904a0aaa8e933932619c83', '51ab0ebd9ea1f9cc8e93e807595867d278aa0c54', '666de6abe3bea475f6301322b81284ac249a2e6d', '8dd33180295ae1f4de893cdad4df20e15327d43d', 'bf04c9a7b6f42c77013413037ae48b9a42da00aa', 'ca290c63d8cccb3341aa792bae8390a70d87eeea']"
16040,1,1,1.0,1.0,1.0,1.0,1.0,['c0e489cb1842727495623313f64130fc0aa45a4d'],['c0e489cb1842727495623313f64130fc0aa45a4d']
16056,2,2,0.5,0.5,0.5,1.0,0.6131471927654584,"['26b769066734a0d44a53f8e2af2b2f3fc29a9ed0', '6dadb45e8de5cb4dcedbe203f94de20da3fd6c75']","['26b769066734a0d44a53f8e2af2b2f3fc29a9ed0', '6437b56f2d666e8bfea19f3aa027a2d515a3c1ce']"
16088,4,0,0.0,0.0,0.0,0.0,0.0,[],"['1b276cc15683d5b199ead4f5970c4e9c9cb0542b', '21db4d5b0cb56c026d311b47d3fa4f7b3341f041', '9c7a78eb9ee6a0fdbbad981b1c05c45b7a34c1ff', 'fe745cdd7b4f3d787716e6679c3fd07b6b7c13fa']"
16090,4,0,0.0,0.0,0.0,0.0,0.0,[],"['6972cf01b74b357635f92ab75629c3a7603a6ceb', '741265654cd5cdef9fed7e1df15e225a776d11d0', 'e5e2d29f588546dc311da35d6d3ebd5d07ebf748', 'f1c14f8ca0f0b1ee72532359ef59140b1edc1f6e']"
16140,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,"['3a68280a4b051e45d7d94bc5282564235cbf9bfe', '7605e1f5f429a67f85c21f3b5a882073c49b3243', 'dc509c3bb560554228da6fc21c085a767765ed71']","['220722448f36d223e3d3bdf1ef08d99529096990', '3a68280a4b051e45d7d94bc5282564235cbf9bfe', '7605e1f5f429a67f85c21f3b5a882073c49b3243']"
16202,3,0,0.0,0.0,0.0,0.0,0.0,[],"['1e9b3422a333656367d5ebf8d4cd2af6533532f2', 'd598750b775141733bc50aa4f01c5e7ed3cc7090', 'fe6f5b14b4d2073b9f5ad91c3009f2270ca79c3a']"
16254,2,0,0.0,0.0,0.0,0.0,0.0,[],"['3eb725e2c8d02d4c1d9e52eca088c209e8cb9733', 'cd49e6f8ff56129f5f13bef2ca62f601172fe353']"
16272,5,0,0.0,0.0,0.0,0.0,0.0,[],"['06c4289b94f9c7550d90cbe83f42e317feec080e', '19be279ee9303bcb3afc8453fbba83d753fcfaa8', '33f510b8fc4b79ea931690968487c6ce7269a3cf', '408ec03a27def00ef1f01cc695d1942980a1fe5d', 'e027e6849f7db8dfab2843c42086e5ca68d3e566']"
16273,2,0,0.0,0.0,0.0,0.0,0.0,[],"['35ff2ed6b50c6a3d59e44f302df87a568022b16e', 'ca5dec0b79384ebc28705d427a05d98737a601e1']"
