Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True,Scores
12574,3,0,0.0,0.0,0.0,0.0,0.0,[],"['15c33df19bdf79329db72168ee11f696794a0ed5', '2862c0ac10f1eb82b308f67d0422f4b85f2e193e', '9d6c45a26aabde931be58c9bb4606fc377f304df']",{}
13513,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['1a240463e27193e38e33bf8113c487b3740da3e6'],"['1a240463e27193e38e33bf8113c487b3740da3e6', '485a5053f4750b8b83dd6c5a9a47dbfb7b5b3c3a', '58a67fe4cf54c2e26fe2e043a39e18f5b1fb18d1']",{'1a240463e27193e38e33bf8113c487b3740da3e6': 0.95}
13754,1,1,1.0,1.0,1.0,1.0,1.0,['b2a10466eb66dfc0ec56e5b5e77946b5ddaa2c15'],['b2a10466eb66dfc0ec56e5b5e77946b5ddaa2c15'],"{'b2a10466eb66dfc0ec56e5b5e77946b5ddaa2c15': 0.98, '878fbe6a09897c00e206ac7bfe9bcb325ec6ca5b': 0.35, 'f6e88944830202f5ce04705c9d872dd2b9a75bd0': 0.3, '8e067d5f34bad4d98c11a51ca9566ea75d68e6ad': 0.3, '33fa5330b0bcb6ae53b74035f704a8d2d305cabf': 0.25}"
14141,1,0,0.0,0.0,0.0,0.0,0.0,[],['95805f0a9955154a90228b4866818ca02913d2f5'],{}
14562,3,0,0.0,0.0,0.0,0.0,0.0,[],"['140e667bf4484c66842bb62404d751338fe7932a', '356ab999006886dce21158c2ea62aabe9fefc692', 'e4b17cb74b54dc658be7e272c26a1b9d77c1224c']",{}
15114,7,0,0.0,0.0,0.0,0.0,0.0,[],"['40a717b0fd5ea0d11dfbf9cfa579a1276afc6156', '5911f088467236293410b197aa0a054dd069bf0c', '5964d8286c6d318d04ad7a75c5d3f9753f4ba54e', '5989ee8e4b089aff8aad2c7e0defce6cc9cdf06e', '5b3cad1cb258c9108936897b5c1db0ae07765b59', 'a62d0d61e05462cd7e4d2973843ae2506042b5ae', 'a89fb7f77dd55138aa70d8d4216a44ab80b52b6a']",{}
15492,3,0,0.0,0.0,0.0,0.0,0.0,[],"['1c16bf88e8f13ec92951aa7103c6b5514bc2165c', '71e6d87fa25e7c1a360725a42106ae6df79b31df', 'e23344205b698e22be11796af355f0a4a34abe1f']",{}
15524,3,0,0.0,0.0,0.0,0.0,0.0,[],"['131f7ddff1a49a651fdcb7d7ba172b08795ce9dc', '1f85927a808945755f489818111c44244a6e6ceb', '7073295d0ff7a7fdfe6ad695b073cb3229b343ef']",{}
15629,5,1,1.0,0.2,0.33333333333333337,1.0,0.3391602052736161,['4ebe1d8f1a5f4775ec614ac8ea3095d79df42d33'],"['2fa8c1d0cd54de07000f1830c097bc1021d06408', '4ebe1d8f1a5f4775ec614ac8ea3095d79df42d33', '59a90da815d770506315416656e9990bffefec9c', '915b661b85e9640d78568ab627112a50b1469823', 'be1e4e3694b1f9ef6aba7a0e6b826310342915e2']","{'4ebe1d8f1a5f4775ec614ac8ea3095d79df42d33': 0.99, '915b661b85e9640d78568ab627112a50b1469823': 0.2}"
15686,6,0,0.0,0.0,0.0,0.0,0.0,[],"['103658770af7acb825981ccf4b7dbfa5ebf0ab98', '619688bceccf52c58cfb86b87260a3dd0d10de8f', '73007f34714ba5ebba949ec64963c2eceb83ac61', 'c6c813b39bf2766762ceca5c4590603bfac7d5cc', 'c72a47877be59a791908c50f8ecb219d80e6fb2e', 'f238eb16f27572c07f41025541361e73106196cc']",{}
15688,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['1c85b8bdd06e559c1fcde480d6967a23bbd8e189'],"['155eb3120b4011d22dbdcf00f6f8d6d71e0e9691', '1c85b8bdd06e559c1fcde480d6967a23bbd8e189']","{'1c85b8bdd06e559c1fcde480d6967a23bbd8e189': 0.97, '86efa989f9c3265c717f1828f200dc2d88f58c14': 0.25}"
15689,3,0,0.0,0.0,0.0,0.0,0.0,[],"['ab25831aaf67b4f1c41a4db4b8ac492b5cf8f908', 'df1db6afa8083b15f516c4ecde550fe855076c94', 'f1bbb1d636650c7f28f52dc507f36e64d71e1aa8']",{}
15705,1,1,1.0,1.0,1.0,1.0,1.0,['596f1316e2e04127672df87f5039f43d5b65daeb'],['596f1316e2e04127672df87f5039f43d5b65daeb'],{'596f1316e2e04127672df87f5039f43d5b65daeb': 0.96}
15804,3,0,0.0,0.0,0.0,0.0,0.0,[],"['0effc9544b3972b0d0e1020f13add702b4056d6b', '730a9c30aecf8379fd86bbf667c2eca910910371', 'f4c3f1ce079351c15b72151c1cbb935113f8a7c1']",{}
15830,2,2,1.0,1.0,1.0,1.0,1.0,"['33cfa99e7fb3b303613d41cb5bf3200dddf17d25', '698254b79231e33107c810e7b426cafd82b8ce32']","['33cfa99e7fb3b303613d41cb5bf3200dddf17d25', '698254b79231e33107c810e7b426cafd82b8ce32']","{'33cfa99e7fb3b303613d41cb5bf3200dddf17d25': 0.9, '698254b79231e33107c810e7b426cafd82b8ce32': 1.0}"
15860,1,0,0.0,0.0,0.0,0.0,0.0,[],['8d0a255b2667aa399cf616078cef36509129355c'],{}
15927,1,0,0.0,0.0,0.0,0.0,0.0,[],['68819171b0b8153f15ff4ba931a0a7be22a8e488'],{}
16000,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['7178a63f1a2bfb36206fa8a105d923f06f89efdf'],"['7178a63f1a2bfb36206fa8a105d923f06f89efdf', 'e0088bc6b21ebc75955176a5bea0378a3b2a6a13']",{'7178a63f1a2bfb36206fa8a105d923f06f89efdf': 0.95}
16130,6,3,1.0,0.5,0.6666666666666666,1.0,0.644824486427155,"['732ad576bfb73ebe4fab443b498e0501a6721c57', '8b190b6694058f66d1db0bc3d2dd4dfa2e0cf4ba', 'f929847bde64aeb215e1ec389bcfbb9ddbb8b2b1']","['0f77d3534621acd0ea33ce810282ef2fa122b387', '319f4130e0c9f4df702919459269abed094938ba', '732ad576bfb73ebe4fab443b498e0501a6721c57', '8b190b6694058f66d1db0bc3d2dd4dfa2e0cf4ba', '9ce876cdc9f0a730bf510515f0239b1c17a54ddf', 'f929847bde64aeb215e1ec389bcfbb9ddbb8b2b1']","{'732ad576bfb73ebe4fab443b498e0501a6721c57': 0.95, 'f929847bde64aeb215e1ec389bcfbb9ddbb8b2b1': 0.9, '8b190b6694058f66d1db0bc3d2dd4dfa2e0cf4ba': 0.8}"
16146,4,0,0.0,0.0,0.0,0.0,0.0,[],"['0aedc58bf7221530674220584ebe7136b11f64ca', '790c6e95960f4c6acc9796d2bc1d38914f14a199', 'a4283ab8d7a3b110f54c6dfe3f74d0dfd2ec5627', 'f39da9621ee4bc0c2100f5e4502c1e91cd00d71d']",{}
16163,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['386404384eeaabac7117f205e637d9ba619059a4'],"['386404384eeaabac7117f205e637d9ba619059a4', '861f59e57a5fbb549b864cedfef6e70907f88ec7']",{'386404384eeaabac7117f205e637d9ba619059a4': 0.96}
16187,2,0,0.0,0.0,0.0,0.0,0.0,[],"['3b538242fa0858cf3fcbc624be4f97ba7bfe3d30', '48fa1cc0f63c2d29e61b977e46f0036653c1eb18']",{}
16370,1,1,1.0,1.0,1.0,1.0,1.0,['9ca3bb87bb3928458a095794d63c2d28a939c396'],['9ca3bb87bb3928458a095794d63c2d28a939c396'],"{'9ca3bb87bb3928458a095794d63c2d28a939c396': 0.97, '3461f9b8c3aa32eca3e0f4d7f8244ceef297c6e1': 0.35}"
16402,5,0,0.0,0.0,0.0,0.0,0.0,[],"['06226a912a2fdb55ae20a5fb640a5927e28b4025', '2b26c9f18111f1c78136caf74935d0dae9a19004', '552e630ca6a00f188634a75890a7147ca8a50755', '9228991c3eb4775df48f57b953628f2f19b73008', 'f4ef59273c4162bf22917a406a1ec73b51334641']",{}
16442,1,0,0.0,0.0,0.0,0.0,0.0,[],['bfc294307a77b8d06047a4c705a0ad29bbc2ff95'],{}
16464,4,0,0.0,0.0,0.0,0.0,0.0,[],"['0516b2c360be51b86ab19bef9bf1c0a0d244811e', '33925acde19b27909d4dd7347ad917d7d70041dc', 'ea466cf62644efb9776b549332ccffa51f970d81', 'f3ead24ee6da114ffea02169ad9fa220e3a9a263']",{}
16493,3,0,0.0,0.0,0.0,0.0,0.0,[],"['6c585141634c42e78573c91000ae252145cbabb5', 'a21179d457f6c00ffc1019c5144e1f006121e35b', 'f8525f190cfd0c10d4d49abbae77d7c6ef850b4c']",{}
16518,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['cc41c85c70c65934bea38355247957093b748802'],"['45e4517fbedb6416338df8ee6708414be7e7e851', 'cc41c85c70c65934bea38355247957093b748802']",{'cc41c85c70c65934bea38355247957093b748802': 0.98}
16545,5,2,1.0,0.4,0.5714285714285715,1.0,0.5531464700081437,"['d03e5d6ad193e5d08885d029b78ae08d26146783', 'd63b3e7ae18ed76d724954697527fbb04d57f8a1']","['4c1b0e2c2f0856b244ca89855ac34401b2876c81', 'ab34cacac19df7fcea113bbbeab73297a5a7ee07', 'd03e5d6ad193e5d08885d029b78ae08d26146783', 'd63b3e7ae18ed76d724954697527fbb04d57f8a1', 'fa28c6df0df1fee476a62cece4340f5807f00cbc']","{'d03e5d6ad193e5d08885d029b78ae08d26146783': 0.95, 'd63b3e7ae18ed76d724954697527fbb04d57f8a1': 0.8}"
16612,5,0,0.0,0.0,0.0,0.0,0.0,[],"['0f945af45ca622f383954c749b40d732b48b6251', '878fbe6a09897c00e206ac7bfe9bcb325ec6ca5b', 'b95b121313ad535f77f7264e44800238cbb121cc', 'c4e89631bd4c35ff50ace10c3fbb3a2b2e0bb881', 'eb16a1331cea4671228c964cd728f7f8e058d87c']",{}
16626,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['ca80cbc1aea6ea1e9fbfb5d001a20f0d76741b41'],"['48df7bcf0639ecd19ba4d4aca056cb40e23c1cf7', 'ca80cbc1aea6ea1e9fbfb5d001a20f0d76741b41']",{'ca80cbc1aea6ea1e9fbfb5d001a20f0d76741b41': 0.95}
16721,1,1,1.0,1.0,1.0,1.0,1.0,['f44e7ad032b16f14e6e8b89e30354bc321fd1002'],['f44e7ad032b16f14e6e8b89e30354bc321fd1002'],{'f44e7ad032b16f14e6e8b89e30354bc321fd1002': 0.98}
16729,3,0,0.0,0.0,0.0,0.0,0.0,[],"['5cda900feacd63831ec78436ddbe9e3fa0ce5598', '7ffd8e9c5684440146323ca62eb1c4177073793c', 'e18b1a30e6a94103f832a65975f50757a3f6d1c0']",{}
16746,3,2,1.0,0.6666666666666666,0.8,1.0,0.7653606369886217,"['1e0a2a696e151cf9c09eea10de48665382140a2c', '557360cf9310de4cb71af22b666c3f96f4fbc53e']","['1e0a2a696e151cf9c09eea10de48665382140a2c', '557360cf9310de4cb71af22b666c3f96f4fbc53e', '6bbfd5490b68b60b6bc337c9c1f4334420f088b8']","{'1e0a2a696e151cf9c09eea10de48665382140a2c': 1.0, '557360cf9310de4cb71af22b666c3f96f4fbc53e': 0.9}"
16760,2,0,0.0,0.0,0.0,0.0,0.0,[],"['09d2670ca7a995abe85640b279821f964c91e4a3', '19b6ce42bf44f18d8b836ff631b7b9a61848fb78']",{}
16772,1,1,1.0,1.0,1.0,1.0,1.0,['0521f3ba00f672aaa2639229b608c43104e29d98'],['0521f3ba00f672aaa2639229b608c43104e29d98'],"{'a1c78f57907b8385a4699fe36eb64a1022169f33': 0.2, '1cd4ee22b0394e0dae9cb74c7531e633ac484674': 0.4, '0521f3ba00f672aaa2639229b608c43104e29d98': 0.95, '000886360d7ce71faf94d82d9aed885ecea8f97c': 0.1, 'a4bbb71d4e20013d10b83e898d4ec3836028e403': 0.2}"
16784,5,4,0.75,0.6,0.6666666666666665,1.0,0.7227265726449519,"['0c70580573b19bc04d479e6c1792360a59b9370b', '4cf2221f4d6f3ec1d11f7bff49c0b905bd4d10d1', 'f5f1f64319265af48dba9e44a68c767dad11c599', 'fc56dc8a151fda35741c75ac35202447ed111a95']","['0c70580573b19bc04d479e6c1792360a59b9370b', '4cf2221f4d6f3ec1d11f7bff49c0b905bd4d10d1', '73efe85cd75271056b9136563d17a823d440b1ee', '9432ce8d41013adbc58a8b7db4748409022819df', 'fc56dc8a151fda35741c75ac35202447ed111a95']","{'0c70580573b19bc04d479e6c1792360a59b9370b': 1.0, '4cf2221f4d6f3ec1d11f7bff49c0b905bd4d10d1': 0.9, 'fc56dc8a151fda35741c75ac35202447ed111a95': 0.8, 'f5f1f64319265af48dba9e44a68c767dad11c599': 0.6}"
16820,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['b55f636535e6a91c5d5d4b273e171e3852c8494f'],"['5c1cf36c1b0119d18a4909a750e06c4b4897b818', 'b55f636535e6a91c5d5d4b273e171e3852c8494f']",{'b55f636535e6a91c5d5d4b273e171e3852c8494f': 0.96}
16867,4,0,0.0,0.0,0.0,0.0,0.0,[],"['6b3458deca30248600638c3ed8acaa1876189b46', 'd7bafde241b4a6e237e60322a3349246614975ef', 'e773953ac1f2844c0ea5bb34a6b093359243c410', 'edfff87a537312778f5feee562622416b8d98e34']",{}
17035,2,0,0.0,0.0,0.0,0.0,0.0,[],"['193cf185ba81d16a0c5c91ac20841364f3bbd091', 'da8080ddd493f9bd8a28d75e789b3119daf999b6']",{}
17055,4,2,1.0,0.5,0.6666666666666666,1.0,0.6366824387328317,"['74fa5af2678a44df28f890fd0250b3d539a66b0d', 'da71aa0309d93fd5e1535be01e7af1e86e8fc1ff']","['3329cbee741105bee145c885bd331ce80d769900', '74fa5af2678a44df28f890fd0250b3d539a66b0d', 'b89361ca5f43a559585075aabab4236765fa6a76', 'da71aa0309d93fd5e1535be01e7af1e86e8fc1ff']","{'74fa5af2678a44df28f890fd0250b3d539a66b0d': 0.97, 'da71aa0309d93fd5e1535be01e7af1e86e8fc1ff': 0.85}"
17111,2,2,1.0,1.0,1.0,1.0,1.0,"['23ace54e407cf0988e2b73afa9010e8ead3c3988', 'a082f59d7db83179943f48ca883268813e154cd4']","['23ace54e407cf0988e2b73afa9010e8ead3c3988', 'a082f59d7db83179943f48ca883268813e154cd4']","{'23ace54e407cf0988e2b73afa9010e8ead3c3988': 1.0, 'a082f59d7db83179943f48ca883268813e154cd4': 0.8}"
17207,1,0,0.0,0.0,0.0,0.0,0.0,[],['b1234016b7bdad70a593291592e19d1386befb5b'],{}
17225,7,0,0.0,0.0,0.0,0.0,0.0,[],"['0eec20d90e10978c48d47c19b4b2b0f48c1178f4', '1bb7b887048d0f5ff6963e54613d3ddf876bfc1a', '65192ca788e6d10e4fd64f8d8e0403f4562d0ed8', '669fd5974301521750ed4e02431c6eb83a928b19', 'cf4f805add5c8fc438d0c06f1d6b0e0bf5e90184', 'fc5b988a3333cf36234f09b62ce7d5238bc42555', 'ff123b9601fc725e39b53a056eddfed7b191185c']",{}
17226,1,1,1.0,1.0,1.0,1.0,1.0,['0a30d3ee9e3ae70ad10d80b65dc25731018b6b1c'],['0a30d3ee9e3ae70ad10d80b65dc25731018b6b1c'],{'0a30d3ee9e3ae70ad10d80b65dc25731018b6b1c': 0.95}
17227,1,0,0.0,0.0,0.0,0.0,0.0,[],['738b58fd4e0c0744b65ac23b37a351b200a63016'],{}
17263,3,2,0.5,0.3333333333333333,0.4,1.0,0.46927872602275644,"['426500f3a5be3b8e8e201a5f8a5621a6f68b2d31', 'b2aca22264795ff10012938a8319f585f585e1a3']","['426500f3a5be3b8e8e201a5f8a5621a6f68b2d31', '4b32dbb6938ef5d7435e6ff230800a90d482b801', '533a88985035248b3848284429224ef1aab3f09f']","{'b2aca22264795ff10012938a8319f585f585e1a3': 0.6, '426500f3a5be3b8e8e201a5f8a5621a6f68b2d31': 1.0}"
17292,3,0,0.0,0.0,0.0,0.0,0.0,[],"['2673d4b8a28a0082e106c7cc9780526ca643d996', '8cafb4af59be3fcf99923b6106fd20e845a01a72', '8de33ddca9be4885bac3c747a859d96a20d6d06f']",{}
