Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
13742,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['e6b9e1861aa4e048bba1852be729a9f44fce71b9'],"['13c4200872a80575b0a4f8d8635cac8057a5a4c7', '8fd22420d2c11d4102e690a79cf63e78a970eaed', 'e6b9e1861aa4e048bba1852be729a9f44fce71b9']"
13907,3,2,1.0,0.6666666666666666,0.8,1.0,0.7653606369886217,"['3cfa8cd54c0e64afdd04e5b64ac646c2ebbafece', 'e6f18d05c26417701d0a1914af966ac5571ad19d']","['3cfa8cd54c0e64afdd04e5b64ac646c2ebbafece', '6c2fd5d86c20ec88ba8e8c8f19111a18fdb13997', 'e6f18d05c26417701d0a1914af966ac5571ad19d']"
13987,4,0,0.0,0.0,0.0,0.0,0.0,[],"['1bc52e9b0dea65616009d335bcc8a31329be9cfc', '41cba6fefafb389566ee6334565d6def66b8ba30', 'b0a9bf59519d6fecfce8165ba495ab59f25dcf9d', 'b9e43f3ef85cdda9a96630afb0faeb7ef3e4e62d']"
14452,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['f8eec6b519e884825e60183f048e63102879c556'],"['0c5205844292ab489d07f1e81b2a6ff8b1b9c49f', 'f8eec6b519e884825e60183f048e63102879c556']"
14884,4,0,0.0,0.0,0.0,0.0,0.0,[],"['10a002420c68dc377e51e960a60864496231a563', '3f27e32b06c1d359cf71bd48a411a8b2783d6471', '7d6ff58a69dd55d1c9286e78bb6db3777452b35c', 'a656dde9d38164170c4c4602b6a33b24e9d0b7eb']"
14969,4,0,0.0,0.0,0.0,0.0,0.0,[],"['87dbe0b995583dc8da2180ec0ea5e86ee00fd3e0', 'bb14498f9a0d48690caa19e79cd36e49e9e9a634', 'c7d2c79c39ef5885c07bd6415df26faddba806f1', 'f4253b37f22dc8ece2dc6c1d5002463ff131c957']"
15231,6,1,1.0,0.16666666666666666,0.2857142857142857,1.0,0.30260241349881345,['acecca10c23dff823c6d84d92b90cbcde81c3b2d'],"['2a99dda0b625b3338b9830e6c72aa888e9591c46', '2b9bece571419a1770c0a1e70cd48865d9b1c817', '7eb5a3522096b81f82369a5fac589958b2cdf19d', 'acecca10c23dff823c6d84d92b90cbcde81c3b2d', 'c42c8c1bfd27bdc79e0adce83e482c0a5cf6c67b', 'de7a5585a150a25754f879ed79003fe1ea63a1bd']"
15387,1,1,1.0,1.0,1.0,1.0,1.0,['115c8a263b86c4da7d562a9e52181cee36ada6f0'],['115c8a263b86c4da7d562a9e52181cee36ada6f0']
15715,3,2,1.0,0.6666666666666666,0.8,1.0,0.7653606369886217,"['8248ca504128375599165f60b1bca5f78d25d63c', 'd30b624c806b2b07eeff2bc34911d6df964ed340']","['8248ca504128375599165f60b1bca5f78d25d63c', 'd30b624c806b2b07eeff2bc34911d6df964ed340', 'f5092b64c16eae79409adbc1ac90fbdf06a0a6d5']"
15718,4,1,1.0,0.25,0.4,1.0,0.3903800499921017,['20dc7ed69fd98d54f2dfbdaf37dbacbac24c1502'],"['20dc7ed69fd98d54f2dfbdaf37dbacbac24c1502', '240bbbd9889604ad86a235deb95920426abe9ae0', '871886961949ac34c3fe46adbf26bdfc65fa205f', 'f6a31eae97bafe750f2ae44edfcf5562a956591d']"
