Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
309,5,5,0.4,0.4,0.4000000000000001,0.5,0.36005461457723403,"['0a4d112bbd72', '34686f38505b', '46e6a89bddd0', 'c807261a4a75', 'ceb737cf9cca']","['0663f003483e', '34686f38505b', '43fafd188be6', '46e6a89bddd0', '958a132b3df8']"
3368,1,1,1.0,1.0,1.0,1.0,1.0,['cb604dfa9db7'],['cb604dfa9db7']
3553,2,2,0.5,0.5,0.5,0.5,0.38685280723454163,"['2b28ca1c0c72', 'e0ab194da921']","['2b28ca1c0c72', '971ef7aa6185']"
3595,2,2,0.5,0.5,0.5,1.0,0.6131471927654584,"['d2646f0ec8e6', 'f8f52ab619e4']","['7bb4f9e250f6', 'd2646f0ec8e6']"
4284,4,0,0.0,0.0,0.0,0.0,0.0,[],"['2e361d0f64d8', '6eaab5e83a04', '74b5df56e719', '7c08f6695c28']"
4584,1,1,0.0,0.0,0.0,0.0,0.0,['d31feb86c8df'],['8490c5607853']
5685,3,3,1.0,1.0,1.0,1.0,1.0,"['2f14d740c17f', 'd1f267d93d6c', 'd31feb86c8df']","['2f14d740c17f', 'd1f267d93d6c', 'd31feb86c8df']"
9176,6,0,0.0,0.0,0.0,0.0,0.0,[],"['1beacdf44269', '4e0a1644ac10', '6d5caa8900db', '9d0392030b2d', 'afc4e7c2e2eb', 'c139e4474b29']"
9511,2,0,0.0,0.0,0.0,0.0,0.0,[],"['444282828c11', '6427ef0d7641']"
9604,1,1,1.0,1.0,1.0,1.0,1.0,['97b0c3efc090'],['97b0c3efc090']
9838,1,0,0.0,0.0,0.0,0.0,0.0,[],['3ea3970236da']
9847,2,0,0.0,0.0,0.0,0.0,0.0,[],"['45cd7d6f36d9', 'ffb767bd74fa']"
9865,7,0,0.0,0.0,0.0,0.0,0.0,[],"['1840de940a85', '37b505567f22', '47663a6f2c0a', '4afea4f4a700', '879d2b9bff41', 'a2da541bf6fa', 'eaa1af6638b6']"
