Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True,Scores
751,1,1,1.0,1.0,1.0,1.0,1.0,['4724fd105d34'],['4724fd105d34'],{'4724fd105d34': 0.7}
2392,1,1,1.0,1.0,1.0,1.0,1.0,['bb8b2c56b63f'],['bb8b2c56b63f'],"{'bb8b2c56b63f': 0.95, '24cdb0deffe3': 0.45, 'c807261a4a75': 0.3}"
8159,5,2,1.0,0.4,0.5714285714285715,1.0,0.5531464700081437,"['b536b41d6c33', 'f8f52ab619e4']","['b536b41d6c33', 'b6fe754cbbd8', 'ce6e4a4352a4', 'e1bfa55c1cce', 'f8f52ab619e4']","{'b536b41d6c33': 0.95, 'f8f52ab619e4': 0.95}"
8283,1,0,0.0,0.0,0.0,0.0,0.0,[],['0fdd5f0a58d7'],{}
8524,7,0,0.0,0.0,0.0,0.0,0.0,[],"['29aee5e5f892', '8d269d8ad540', '96acfd42371a', '9e1592992844', 'be08c7faa75d', 'c308b0da0fa3', 'd6e5d38d5234']",{}
9611,4,0,0.0,0.0,0.0,0.0,0.0,[],"['0269b5ab39d0', 'b290d7e3c637', 'c7b9d1a02846', 'fc665801a95b']",{}
9655,6,0,0.0,0.0,0.0,0.0,0.0,[],"['1d257877f59f', '24b65053cd36', '3a47252b59b7', '3c2a89447101', '72b086fa4691', 'b1ce824be7bb']",{}
9997,1,0,0.0,0.0,0.0,0.0,0.0,[],['ca620d4e2740'],{}
10146,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['c73685b992d6'],"['c73685b992d6', 'f3baca4c45fd']","{'c73685b992d6': 0.96, '29aee5e5f892': 0.35, '98c1c66910b2': 0.15}"
10856,1,0,0.0,0.0,0.0,0.0,0.0,[],['39e9a710b674'],{}
10870,1,0,0.0,0.0,0.0,0.0,0.0,[],['23288c26c20a'],{}
10873,6,0,0.0,0.0,0.0,0.0,0.0,[],"['05cab3046f15', '1adf2e04bf63', '3a0cfd603bd2', 'a936850ca6eb', 'f97163a57a36', 'f9bce649607e']",{}
11352,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['ff4d41a14df5'],"['8b94e323681b', 'ff4d41a14df5']","{'ff4d41a14df5': 0.98, '4abfaf9bc389': 0.35}"
11688,1,0,0.0,0.0,0.0,0.0,0.0,[],['b631ad27f9b3'],{}
11699,1,0,0.0,0.0,0.0,0.0,0.0,[],['33771560b965'],{}
12036,1,3,0.3333333333333333,1.0,0.5,1.0,1.0,"['22abf4db5db0', '2a6b134a7192', 'ec06b3fdb263']",['2a6b134a7192'],"{'2a6b134a7192': 0.96, '22abf4db5db0': 0.55, 'ec06b3fdb263': 0.78}"
12089,1,0,0.0,0.0,0.0,0.0,0.0,[],['5dfbd648fcf6'],{}
12406,1,1,1.0,1.0,1.0,1.0,1.0,['5d25440c0c68'],['5d25440c0c68'],{'5d25440c0c68': 1.0}
12807,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['07d6c82f5cc5'],"['07d6c82f5cc5', '45aaa501738a']","{'c280e0c4c2fb': 0.25, '07d6c82f5cc5': 0.96}"
12885,1,0,0.0,0.0,0.0,0.0,0.0,[],['4e73b1f6ef85'],{}
12970,5,3,1.0,0.6,0.7499999999999999,1.0,0.7227265726449519,"['673dcbd7df54', '70b29e6a3066', 'd5ca1ddda2d0']","['18919e671a2c', '673dcbd7df54', '70b29e6a3066', '7d1accd5c230', 'd5ca1ddda2d0']","{'70b29e6a3066': 0.6, 'd5ca1ddda2d0': 0.8, '673dcbd7df54': 0.7, '7d1accd5c230': 0.4}"
13320,4,0,0.0,0.0,0.0,0.0,0.0,[],"['0e6e0d12a417', '58e5bdaf24da', '9cd3b2458b8a', 'dd1d734d2441']",{}
13446,7,0,0.0,0.0,0.0,0.0,0.0,[],"['5f25b853f432', '645ce340bc23', '85cd5886515f', 'c634cbe1c0b2', 'e8ee60873094', 'f029c2accd0d', 'fd95789f68cd']",{}
13449,1,1,1.0,1.0,1.0,1.0,1.0,['3f8e4723d3ed'],['3f8e4723d3ed'],{'3f8e4723d3ed': 0.9}
13484,2,0,0.0,0.0,0.0,0.0,0.0,[],"['5919d65d1512', '958fd1a250cf']",{}
