Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
12,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['eb6801eacebd6acc9e533500da06f75d3209d5e0'],"['64534963edfb0b24f71581eb3eaebcfba3a51f38', 'eb6801eacebd6acc9e533500da06f75d3209d5e0']"
144,5,1,1.0,0.2,0.33333333333333337,1.0,0.3391602052736161,['aefa3b88e7eb5fbce7239e44d2b8555e5b571d0e'],"['16fe33cda57c76656c7f2d18833a484258b81659', '4ce2aea1273c6154d4d34002dd92635d9f0a9b99', '8027003e65ce37ae5b48390581b0994a3143986e', 'aefa3b88e7eb5fbce7239e44d2b8555e5b571d0e', 'b5862e30b95c3f282a4da3df1d6c2ea06e6e1be7']"
296,1,1,1.0,1.0,1.0,1.0,1.0,['dffa75ddd6bae63b5357145d8115f8fb64a40969'],['dffa75ddd6bae63b5357145d8115f8fb64a40969']
483,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['db26a73f500995937964889ba813742bf45018d8'],"['9e379d6c533976e4b69bd1ae23e4b11c37b0bbde', 'b474e905df9b28904c11e3cd4111510be4af12d2', 'db26a73f500995937964889ba813742bf45018d8']"
586,1,1,1.0,1.0,1.0,1.0,1.0,['395b05d4388545ebc9095fb4647522cc4afe700e'],['395b05d4388545ebc9095fb4647522cc4afe700e']
641,1,1,1.0,1.0,1.0,1.0,1.0,['dccd996bc0da68930edee734426ee35e65dbbaf0'],['dccd996bc0da68930edee734426ee35e65dbbaf0']
789,4,1,1.0,0.25,0.4,1.0,0.3903800499921017,['c0fc07eca031c47a75faf36e23a296bb897fd80d'],"['15ec2af142f4e0424f15a6fd5985f11f9ae3cedc', '4a9c28bcbf5172dd7602a592835713baf3e674fb', 'af88f5c66c9f885c72878fc537b10ca4b2c0a048', 'c0fc07eca031c47a75faf36e23a296bb897fd80d']"
863,1,2,0.5,1.0,0.6666666666666666,0.5,0.0,"['aefa3b88e7eb5fbce7239e44d2b8555e5b571d0e', 'ba83a0340343ed23c768f7dea18059698fa21a9f']",['ba83a0340343ed23c768f7dea18059698fa21a9f']
946,1,1,1.0,1.0,1.0,1.0,1.0,['52a2b721df03551e2adc40e6bbcc37ac98fb2013'],['52a2b721df03551e2adc40e6bbcc37ac98fb2013']
1031,1,1,1.0,1.0,1.0,1.0,1.0,['2eea1e6129de680d574ba0a7438ca3037fccfff5'],['2eea1e6129de680d574ba0a7438ca3037fccfff5']
1086,1,1,1.0,1.0,1.0,1.0,1.0,['1bb54389d02672c13802154d53a4871ccf2195ae'],['1bb54389d02672c13802154d53a4871ccf2195ae']
1371,4,2,1.0,0.5,0.6666666666666666,1.0,0.6366824387328317,"['a95d46cdb044c3f64f17c2bcd903281f8558b280', 'c023b6cbf68e3c644a650b8e29ff822233769597']","['59b6d8206af761a55a4b0e0d87fbd26051083a94', '61d241cd6fe21d9d6f00de033d7539205ecf4fe9', 'a95d46cdb044c3f64f17c2bcd903281f8558b280', 'c023b6cbf68e3c644a650b8e29ff822233769597']"
1381,2,0,0.0,0.0,0.0,0.0,0.0,[],"['0fd4354289f61b990fea1c9a578e1c667df47d5f', '6dc878868b8f70b956aabab9e7bb94fd6483251d']"
1631,5,0,0.0,0.0,0.0,0.0,0.0,[],"['3e9caed73186e98f0db011b51c3fd6a96367f2c8', '3f1f3f97343d2ab7eb522cac7330f6b7478bd4da', '5ce4a4adbfb8e9a83984ca8a9da4b147b93c215b', '7b578dd68ef576b4b9bb254f11669e1dd69d7931', 'bd705d38ce11a0ca1547f709f29f80a02b3dd894']"
1764,1,1,1.0,1.0,1.0,1.0,1.0,['7b29b5dc650c54ccb94fbdda3892fa73771c021b'],['7b29b5dc650c54ccb94fbdda3892fa73771c021b']
1849,4,2,1.0,0.5,0.6666666666666666,1.0,0.6366824387328317,"['30d2b480ab379c47a9387748abd901ef142fd9e4', 'fe5e23388031610d1f45cbb0b0d00f9f2e876b74']","['01e9ccf955f39efd178ef3df8d285f88c9a92459', '30d2b480ab379c47a9387748abd901ef142fd9e4', 'c7b74103bb7aa62216d2ca6e4f0f3b81c0149170', 'fe5e23388031610d1f45cbb0b0d00f9f2e876b74']"
1950,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['b714ccea5d7703bf44b414328f6314201357edbe'],"['125e0ff65fe0d97bc8a66920a96466799df6d763', '7b66c5d6a304d266864ac55b6c2dda23c3b352a9', 'b714ccea5d7703bf44b414328f6314201357edbe']"
2025,1,1,0.0,0.0,0.0,0.0,0.0,['0266a153a1f71ba45be1d1f15dda5008bf3750df'],['c346efd60621967f08e002893959e5a4ae81d52a']
2061,1,1,1.0,1.0,1.0,1.0,1.0,['462781e390e706817c250c44362e97b8f4a04ef6'],['462781e390e706817c250c44362e97b8f4a04ef6']
2174,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['222406276d5defe7a03faa55037d99fc2fdaf072'],"['222406276d5defe7a03faa55037d99fc2fdaf072', '863b91f72a19c75081f922f82b50ef595bd31587']"
2421,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['de07bf83b6fd3470cdb0e08d9d0a15f7dee1ce59'],"['cf37ec0fce1c30260ff87a91b618951236452e1a', 'd17b84f3a30b6af5f220ef8fc77fe20b9c083627', 'de07bf83b6fd3470cdb0e08d9d0a15f7dee1ce59']"
2563,1,1,1.0,1.0,1.0,1.0,1.0,['767efdeb2f2832a69304a31f98ffbeab02d868a9'],['767efdeb2f2832a69304a31f98ffbeab02d868a9']
2809,1,1,1.0,1.0,1.0,1.0,1.0,['1115c6686aee0d33e1b286555f5b5f64c48fbe57'],['1115c6686aee0d33e1b286555f5b5f64c48fbe57']
2830,1,1,1.0,1.0,1.0,1.0,1.0,['5d9bb445b4d8dc32aed0b13e6083e3453d9e5f9f'],['5d9bb445b4d8dc32aed0b13e6083e3453d9e5f9f']
3103,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['ca06d2f83920ffd4fe250f0249c285e838450c5e'],"['4713e2174fc48a25c0d35da36413fd1a17ef4086', 'ca06d2f83920ffd4fe250f0249c285e838450c5e']"
3129,1,1,0.0,0.0,0.0,0.0,0.0,['4e044ebe5bef11b717d12361b0a81ff48b4262ea'],['44a02485e0cee040d6be795273c7f69d99c9ce1d']
3303,2,0,0.0,0.0,0.0,0.0,0.0,[],"['1b0cde3af276b410d127b36065a8cffcab18275e', 'b104e262f9e6f55027ece375082287954adca5e2']"
3628,1,0,0.0,0.0,0.0,0.0,0.0,[],['efe4885a206df672f793db4b275d8c71ce697d8c']
