Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True,Scores
122,1,0,0.0,0.0,0.0,0.0,0.0,[],['b2902e605e8c84fd21f0149b1272fe7d92e8c003'],{}
484,1,1,1.0,1.0,1.0,1.0,1.0,['8e6b9bf0141e54d988514b28763ae6cba122809c'],['8e6b9bf0141e54d988514b28763ae6cba122809c'],"{'99c4955ef445050fb05cebd9fd5dde47174cf77d': 0.35, '29b199f5493c6b4b8a8bc53879c00867648afdc9': 0.25, 'b104e262f9e6f55027ece375082287954adca5e2': 0.2, '8e6b9bf0141e54d988514b28763ae6cba122809c': 0.96}"
554,1,0,0.0,0.0,0.0,0.0,0.0,[],['4383fbb6172e97b27131af33950499a7f704bd59'],{}
599,1,0,0.0,0.0,0.0,0.0,0.0,[],['fc0977d2cf38a31c5cc38c18cc04250e89e0d225'],{}
773,1,1,1.0,1.0,1.0,1.0,1.0,['ae86be0b421b2c4003b00bd670d829f0a5959bf7'],['ae86be0b421b2c4003b00bd670d829f0a5959bf7'],{'ae86be0b421b2c4003b00bd670d829f0a5959bf7': 0.95}
838,1,3,0.3333333333333333,1.0,0.5,1.0,1.0,"['68720a6d0b95569e0c8fe10a64c76a744cf84ef8', '91e2e0ea546c72454faa55239a1e6902b4aa30b9', 'd4e0be0d345b36a8ad49ef62973b23a59b114c2c']",['91e2e0ea546c72454faa55239a1e6902b4aa30b9'],"{'68720a6d0b95569e0c8fe10a64c76a744cf84ef8': 0.5, 'd4e0be0d345b36a8ad49ef62973b23a59b114c2c': 0.8, '91e2e0ea546c72454faa55239a1e6902b4aa30b9': 0.95}"
921,1,2,0.5,1.0,0.6666666666666666,1.0,1.0,"['6b10d12acc0058e0008b4a52f6dbe2ef6c87a150', 'bb6a63d2ecdb68caea9b6558df5110ec618b825c']",['bb6a63d2ecdb68caea9b6558df5110ec618b825c'],"{'bb6a63d2ecdb68caea9b6558df5110ec618b825c': 0.96, '6b10d12acc0058e0008b4a52f6dbe2ef6c87a150': 0.55}"
1136,1,1,0.0,0.0,0.0,0.0,0.0,['ee143ffc3d283f587d8384ef8a8b26f1445c0e18'],['692c6251fe00e9635e63b2baff98e00065ff7a66'],"{'ee143ffc3d283f587d8384ef8a8b26f1445c0e18': 1.0, '692c6251fe00e9635e63b2baff98e00065ff7a66': 0.4}"
1188,2,0,0.0,0.0,0.0,0.0,0.0,[],"['4b1662f5d242ac86ecea0732f811925431439245', 'e9fcdf108076f1a4d5fe0ee60dbce2f8bf0a0bdb']",{}
1229,4,0,0.0,0.0,0.0,0.0,0.0,[],"['513483d9265e4c4292db943ffb0ac72b970b8efa', 'b89d05e5e2f6c91c1bdea788c4225d183c63bf7e', 'ca2fadf1b491f25d6263214d36f13485d2062f8c', 'e5ec125c1180883fea569c0a485e337ceda2d66a']",{}
1605,1,0,0.0,0.0,0.0,0.0,0.0,[],['62293383214a4928ba010dbd237e8c53de724783'],{}
1768,7,3,1.0,0.42857142857142855,0.6,1.0,0.5857421563596757,"['79753abfde93892cb3ddbc87e4567cd63a0a3241', 'aa32667d4e645da40b4f6f9098f75b20863efe8e', 'bd41e81a673c70f71396d697d32819edfec61c7a']","['07a386c4f1171c8c0c57c6f78b3f2681ded46492', '3ca2317f31f9366db94a6aa9d711387c800effc2', '79753abfde93892cb3ddbc87e4567cd63a0a3241', 'aa32667d4e645da40b4f6f9098f75b20863efe8e', 'bd41e81a673c70f71396d697d32819edfec61c7a', 'd94c4198db3fded2e2b24fc2efc0f8e7bea71f77', 'ef9b7c1ed2bc754657e8cffadb8046ad2005d1d1']","{'bd41e81a673c70f71396d697d32819edfec61c7a': 0.95, 'aa32667d4e645da40b4f6f9098f75b20863efe8e': 0.9, '79753abfde93892cb3ddbc87e4567cd63a0a3241': 0.95}"
2131,1,1,1.0,1.0,1.0,1.0,1.0,['1e38b0bd0bee42fa96e942e8f2c5ea12d2892bfe'],['1e38b0bd0bee42fa96e942e8f2c5ea12d2892bfe'],{'1e38b0bd0bee42fa96e942e8f2c5ea12d2892bfe': 0.85}
2303,3,2,1.0,0.6666666666666666,0.8,1.0,0.7653606369886217,"['4b3a5dd885c041adce452f916a985f65f61452e4', '88b840896e1ad87be8aab353f19e3da04889a4d0']","['1c17a0be8155ca839a0c4a791b18c28851fec87e', '4b3a5dd885c041adce452f916a985f65f61452e4', '88b840896e1ad87be8aab353f19e3da04889a4d0']","{'88b840896e1ad87be8aab353f19e3da04889a4d0': 1.0, '52f3aba103686443ebf342153162e48ab1405cfa': 0.3, '4b3a5dd885c041adce452f916a985f65f61452e4': 0.8, 'c2d69cfc8faaeae5381038f70df31404492f5c33': 0.2}"
2717,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['2f19fd401a7f9b3b261180b2e9b3f6c5bd84ac94'],"['2f19fd401a7f9b3b261180b2e9b3f6c5bd84ac94', 'cc4e6dfb7ca1584fad2f71c866089e3acdfbe6bc']",{'2f19fd401a7f9b3b261180b2e9b3f6c5bd84ac94': 0.95}
