Issue ID,K_true,K_pred,Precision,Recall,F1,MRR,NDCG@K,Predicted,True
60,1,1,1.0,1.0,1.0,1.0,1.0,['412019dbe4998bc56aaa03b30280e65b23a2fe35'],['412019dbe4998bc56aaa03b30280e65b23a2fe35']
124,1,1,1.0,1.0,1.0,1.0,1.0,['59c628803abf982b23f74530fc199f940b462841'],['59c628803abf982b23f74530fc199f940b462841']
206,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['04b41a04eda84243540a758720dd92a5bd5f1cf1'],"['04b41a04eda84243540a758720dd92a5bd5f1cf1', 'cfdb2ef3b8abb2adf71a4b8bbcff06b6a2cc4480']"
219,1,1,1.0,1.0,1.0,1.0,1.0,['d7ce004652571ddfa575cf3934f5b99e032c7b51'],['d7ce004652571ddfa575cf3934f5b99e032c7b51']
323,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['635cfdf7f8afad7d90d6f8e458fbdeaa5d1901dc'],"['635cfdf7f8afad7d90d6f8e458fbdeaa5d1901dc', 'b363259b87df35833c94056f2fba4e01ae2897a9', 'ed650535df3b23d0b88c7f393d6fd7136e3c37f7']"
365,1,1,1.0,1.0,1.0,1.0,1.0,['4b808568f36339c54845de9e9961f73abcce4a65'],['4b808568f36339c54845de9e9961f73abcce4a65']
531,1,1,1.0,1.0,1.0,1.0,1.0,['588a760ba2f1665a5f88aa4ee36d47cdf078fed5'],['588a760ba2f1665a5f88aa4ee36d47cdf078fed5']
626,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['52f3aba103686443ebf342153162e48ab1405cfa'],"['52f3aba103686443ebf342153162e48ab1405cfa', 'ab12cf150eb20049b576da2bd8a5472568de320b']"
657,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['3417b2390a75621c468582c08cd5cf140c4c9b27'],"['3417b2390a75621c468582c08cd5cf140c4c9b27', '678b204a436c04628bbbb63880d695a02b63a062', '75ebc7d88cdb3477c988b1058e56ba53f57e4fba']"
786,1,1,1.0,1.0,1.0,1.0,1.0,['6213b0a28828ee6c67903e401ea0b09b9d7b46f0'],['6213b0a28828ee6c67903e401ea0b09b9d7b46f0']
917,4,0,0.0,0.0,0.0,0.0,0.0,[],"['183e11649979c2be69300df5be13d46c3e316846', 'bc2a7086bc7e1792ae2d6bac256307b2dd23fd84', 'bd57c7c5b65be0c9c6db9f1bf3189fed6ca13154', 'be80b1264a95857373991b9eeb1d283d7ae9695c']"
1101,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5307212739772434,"['1c2fd61490731492c35f98cf8a07209483215135', '3b6b0d887a68258b236d3166c0cd9c5f64010e6b', '4f42db3ae1837c8ca6dc0955e012e9e8010fd5b7']","['1372c2da2661da48f7ec849bc1df7d23543fb06e', '3b6b0d887a68258b236d3166c0cd9c5f64010e6b', '4f42db3ae1837c8ca6dc0955e012e9e8010fd5b7']"
1428,1,2,0.5,1.0,0.6666666666666666,1.0,1.0,"['35ef5748432824fc7bf1e6fa14419cd4b403bd1d', '7d7b63558eb9e02e74b3c6b78340031e630ad8ef']",['35ef5748432824fc7bf1e6fa14419cd4b403bd1d']
1450,2,0,0.0,0.0,0.0,0.0,0.0,[],"['7af2d5c1f4fdff28436ef057269d5c15a1a9e1ee', '87e7fce0a14529353d7ae49f41be214da6f0eee5']"
1455,1,1,1.0,1.0,1.0,1.0,1.0,['c5b72099d371c181c49acfa4d251ebfc92d51d0e'],['c5b72099d371c181c49acfa4d251ebfc92d51d0e']
1549,5,0,0.0,0.0,0.0,0.0,0.0,[],"['0925da65953926ab6bdf251cb12b7ba1bc3a8b4e', '1549ccdcdf8981e280bf477c96006479599fde07', '1941539b77e5890a0dcca795b6ca50519f5cee53', '1e0fa8ff7b2b2aff8eed0f85da3f897e4be63156', '7e0a691de618b3233781db6dc56d93233e7e7ad4']"
1922,1,1,1.0,1.0,1.0,1.0,1.0,['11d6bdae4623987627591b8914e72e6b4561e571'],['11d6bdae4623987627591b8914e72e6b4561e571']
1928,1,1,1.0,1.0,1.0,1.0,1.0,['48bf576d8d00c4f9b6252477df32d4956dbd0781'],['48bf576d8d00c4f9b6252477df32d4956dbd0781']
1972,5,1,1.0,0.2,0.33333333333333337,1.0,0.3391602052736161,['890d82061da7207b7e4108ebdc16259c9d8e381e'],"['47f2fe6e12fa556c365a69da8892c04c2d59fba0', '4ef799b4b56f4bedde03637a48401a15f8a078e1', '7d9ac870bd32b70f0c3d728d21ceae94f5c9049b', '890d82061da7207b7e4108ebdc16259c9d8e381e', 'b2782289a30a7dc64d993603e1f792c37dc6dfe9']"
2002,1,1,1.0,1.0,1.0,1.0,1.0,['9ebcdb56f2691f911f00b74f2ee4cdc460a9aa58'],['9ebcdb56f2691f911f00b74f2ee4cdc460a9aa58']
2517,3,2,1.0,0.6666666666666666,0.8,1.0,0.7653606369886217,"['5a4eb60e22d4174cc3f31e0266fda0f4b4541014', 'e474fd6cbc21c295d2ae2f95e862ca16e5f5060e']","['5a4eb60e22d4174cc3f31e0266fda0f4b4541014', 'a37bb036a014163a1f3b5d7bb71f63b82f95a490', 'e474fd6cbc21c295d2ae2f95e862ca16e5f5060e']"
2553,3,2,1.0,0.6666666666666666,0.8,1.0,0.7653606369886217,"['7d034b210785b7cc296cacef6795c80565894d76', 'ce4c441278833bc1569bd8a584b281f373987b0d']","['21c0101cf45d33979db5d9d03eb653299f51c96c', '7d034b210785b7cc296cacef6795c80565894d76', 'ce4c441278833bc1569bd8a584b281f373987b0d']"
2790,2,1,0.0,0.0,0.0,0.0,0.0,['5e4e0f3ac8ff9bd00aff5ca57203db55521f0125'],"['1929f9c3c77ef7219baaeb1c4eca6265b04233db', 'b1b05400352502f1b4179f328714c1ddb0f0f046']"
2935,2,1,1.0,0.5,0.6666666666666666,1.0,0.6131471927654584,['29b199f5493c6b4b8a8bc53879c00867648afdc9'],"['29b199f5493c6b4b8a8bc53879c00867648afdc9', 'd889a956c4219da70ba7b592e91adec75f054742']"
2992,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['a43eec9c2208780947ff8c188c9259a2548609cc'],"['463102c44f0d0e40d82ef34dfb22656147c90721', '57b966fc5b56528c1163da67d01dcad5f4929361', 'a43eec9c2208780947ff8c188c9259a2548609cc']"
3035,3,0,0.0,0.0,0.0,0.0,0.0,[],"['5f4cad4cbd6a52d02489d7d60c66f90a51fd60d6', '870db656316794bbfd2db8a64fcdac0a7b205e5e', 'c23cfdcf9ea507f62f99df98462ce79a444e5d1b']"
3233,3,1,1.0,0.3333333333333333,0.5,1.0,0.46927872602275644,['781de59a330cda597fa31d65be69e51b9dd4ee51'],"['781de59a330cda597fa31d65be69e51b9dd4ee51', 'c9833800eaa9bb563f96754a0a734fce9ee8a5f1', 'eadb453931f947005a643a0e915fdff92fefd290']"
