Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
21811,1.0,1.0,1.0,1,1,2,2
26354,0.0,0.0,0.0,0,0,3,4
26369,1.0,1.0,1.0,1,1,1,1
27401,1.0,1.0,1.0,1,1,1,1
27470,0.0,0.0,0.0,0,0,10,1
27533,1.0,1.0,1.0,1,1,1,1
27558,0.5,0.3333333333333333,0.4,0,0,2,3
27560,0.3333333333333333,1.0,0.5,0,1,3,1
27602,1.0,0.7142857142857143,0.8333333333333334,0,1,5,7
27666,1.0,1.0,1.0,1,1,1,1
27926,0.0,0.0,0.0,0,0,17,2
27944,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
27972,1.0,1.0,1.0,1,1,1,1
28030,0.42857142857142855,1.0,0.6,0,1,7,3
28092,1.0,1.0,1.0,1,1,1,1
28176,1.0,1.0,1.0,1,1,2,2
28341,1.0,0.14285714285714285,0.25,0,0,1,7
28612,1.0,1.0,1.0,1,1,1,1
28629,0.5,1.0,0.6666666666666666,0,1,2,1
28793,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,3,3
28859,0.25,0.2,0.2222222222222222,0,0,4,5
28898,0.25,1.0,0.4,0,1,4,1
28936,1.0,1.0,1.0,1,1,5,5
29000,1.0,0.5,0.6666666666666666,0,1,1,2
29054,1.0,1.0,1.0,1,1,1,1
29147,1.0,1.0,1.0,1,1,1,1
29174,1.0,1.0,1.0,1,1,1,1
29196,0.5,1.0,0.6666666666666666,0,1,4,2
29214,0.0,0.0,0.0,0,0,8,1
29405,1.0,1.0,1.0,1,1,1,1
29535,1.0,1.0,1.0,1,1,1,1
29638,0.25,1.0,0.4,0,1,4,1
29760,1.0,1.0,1.0,1,1,2,2
29797,1.0,0.5,0.6666666666666666,0,1,1,2
29884,1.0,0.16666666666666666,0.2857142857142857,0,0,1,6
29939,1.0,1.0,1.0,1,1,1,1
29985,1.0,0.25,0.4,0,0,1,4
30031,0.5,1.0,0.6666666666666666,0,1,6,3
30060,1.0,1.0,1.0,1,1,1,1
30095,0.75,0.42857142857142855,0.5454545454545454,0,0,4,7
30131,1.0,1.0,1.0,1,1,1,1
30166,1.0,1.0,1.0,1,1,1,1
30297,0.3333333333333333,1.0,0.5,0,1,3,1
30402,1.0,0.3333333333333333,0.5,0,0,1,3
30469,0.23529411764705882,1.0,0.38095238095238093,0,1,17,4
30477,1.0,1.0,1.0,1,1,1,1
30483,1.0,1.0,1.0,1,1,1,1
30502,1.0,1.0,1.0,1,1,1,1
30505,0.0,0.0,0.0,0,0,1,2
30528,0.1111111111111111,1.0,0.2,0,1,9,1
30621,1.0,1.0,1.0,1,1,1,1
30644,0.0,0.0,0.0,0,0,3,1
30810,1.0,0.5,0.6666666666666666,0,1,1,2
31218,1.0,0.5,0.6666666666666666,0,1,2,4
31287,0.5,0.6666666666666666,0.5714285714285714,0,1,4,3
31354,0.05,0.5,0.09090909090909091,0,1,20,2
31357,0.0,0.0,0.0,0,0,10,1
31385,1.0,1.0,1.0,1,1,2,2
31411,1.0,1.0,1.0,1,1,1,1
31414,0.5,1.0,0.6666666666666666,0,1,2,1
31430,1.0,0.25,0.4,0,0,1,4
31441,1.0,1.0,1.0,1,1,3,3
31622,1.0,0.5,0.6666666666666666,0,1,2,4
31640,1.0,0.3333333333333333,0.5,0,0,1,3
31703,0.09090909090909091,1.0,0.16666666666666666,0,1,11,1
31718,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
31737,0.034482758620689655,1.0,0.06666666666666667,0,1,29,1
31839,0.14285714285714285,1.0,0.25,0,1,7,1
31927,1.0,0.3333333333333333,0.5,0,0,1,3
31954,0.0,0.0,0.0,0,0,14,1
31995,1.0,1.0,1.0,1,1,1,1
32005,1.0,0.3333333333333333,0.5,0,0,1,3
32121,0.3333333333333333,0.5,0.4,0,1,3,2
32227,1.0,0.5,0.6666666666666666,0,1,1,2
32361,1.0,1.0,1.0,1,1,4,4
32473,0.0,0.0,0.0,0,0,11,5
32675,0.5,0.2,0.2857142857142857,0,0,2,5
32729,1.0,0.5,0.6666666666666666,0,1,1,2
32809,1.0,0.5,0.6666666666666666,0,1,1,2
32847,1.0,0.5,0.6666666666666666,0,1,1,2
32873,1.0,1.0,1.0,1,1,2,2
32949,0.0,0.0,0.0,0,0,5,2
32965,1.0,1.0,1.0,1,1,1,1
32968,1.0,0.16666666666666666,0.2857142857142857,0,0,1,6
33197,1.0,0.3333333333333333,0.5,0,0,2,6
33279,1.0,1.0,1.0,1,1,1,1
33343,0.25,0.6666666666666666,0.36363636363636365,0,1,8,3
33435,0.09090909090909091,1.0,0.16666666666666666,0,1,11,1
33513,1.0,0.14285714285714285,0.25,0,0,1,7
33588,1.0,0.2,0.3333333333333333,0,0,1,5
33720,0.0,0.0,0.0,0,0,2,4
33748,0.5,1.0,0.6666666666666666,0,1,2,1
33764,0.0,0.0,0.0,0,0,1,2
33928,1.0,1.0,1.0,1,1,1,1
33966,1.0,0.3333333333333333,0.5,0,0,1,3
34074,0.0,0.0,0.0,0,0,9,4
34277,1.0,1.0,1.0,1,1,1,1
34504,1.0,0.5,0.6666666666666666,0,1,1,2
34694,0.0,0.0,0.0,0,0,3,3
34766,0.07692307692307693,1.0,0.14285714285714285,0,1,39,3
34767,1.0,0.2857142857142857,0.4444444444444444,0,0,2,7
34770,1.0,1.0,1.0,1,1,1,1
34817,1.0,1.0,1.0,1,1,1,1
34834,1.0,0.4,0.5714285714285714,0,0,2,5
34879,1.0,1.0,1.0,1,1,2,2
35062,1.0,0.25,0.4,0,0,1,4
35221,1.0,0.25,0.4,0,0,1,4
35233,0.125,1.0,0.2222222222222222,0,1,24,3
35255,0.5,0.2,0.2857142857142857,0,0,2,5
35295,1.0,0.5,0.6666666666666666,0,1,3,6
35457,1.0,0.3333333333333333,0.5,0,0,1,3
35539,1.0,0.3333333333333333,0.5,0,0,1,3
35685,1.0,1.0,1.0,1,1,1,1
35847,0.5,1.0,0.6666666666666666,0,1,2,1
36013,1.0,0.8333333333333334,0.9090909090909091,0,1,5,6
36053,1.0,0.5,0.6666666666666666,0,1,1,2
36144,0.0,0.0,0.0,0,0,6,1
36145,1.0,0.5,0.6666666666666666,0,1,1,2
36181,1.0,0.2,0.3333333333333333,0,0,1,5
36272,1.0,0.5,0.6666666666666666,0,1,1,2
36438,1.0,0.25,0.4,0,0,1,4
36481,0.0,0.0,0.0,0,0,1,1
36514,0.5,1.0,0.6666666666666666,0,1,2,1
36557,0.5,1.0,0.6666666666666666,0,1,2,1
36587,1.0,1.0,1.0,1,1,2,2
36858,0.0,0.0,0.0,0,0,1,1
36911,0.6666666666666666,1.0,0.8,0,1,3,2
36978,1.0,0.3333333333333333,0.5,0,0,2,6
37181,1.0,1.0,1.0,1,1,1,1
37188,1.0,1.0,1.0,1,1,3,3
37198,0.5,0.3333333333333333,0.4,0,0,2,3
37209,1.0,0.5,0.6666666666666666,0,1,2,4
37279,1.0,1.0,1.0,1,1,2,2
37577,1.0,1.0,1.0,1,1,5,5
37616,0.15384615384615385,1.0,0.26666666666666666,0,1,13,2
37670,0.5,0.5,0.5,0,1,2,2
37777,1.0,1.0,1.0,1,1,1,1
37820,1.0,1.0,1.0,1,1,1,1
