Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
24163,2,2,2,1,1,1.0,1.0,1.0
24789,1,1,0,0,0,0.0,0.0,0.0
25252,1,1,1,1,1,1.0,1.0,1.0
25746,1,1,1,1,1,1.0,1.0,1.0
26234,5,5,3,0,1,0.6,0.6,0.6
26445,7,7,4,0,1,0.5714285714285714,0.5714285714285714,0.5714285714285714
26979,1,1,1,1,1,1.0,1.0,1.0
27283,2,2,1,0,1,0.5,0.5,0.5
27298,4,4,1,0,0,0.25,0.25,0.25
27622,6,6,5,0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
27643,1,1,1,1,1,1.0,1.0,1.0
27854,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
27948,4,4,4,1,1,1.0,1.0,1.0
28008,6,6,5,0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
28047,1,1,0,0,0,0.0,0.0,0.0
28223,2,2,1,0,1,0.5,0.5,0.5
28244,1,1,1,1,1,1.0,1.0,1.0
28256,1,1,0,0,0,0.0,0.0,0.0
28520,1,1,1,1,1,1.0,1.0,1.0
28587,5,5,4,0,1,0.8,0.8,0.8
29185,1,1,1,1,1,1.0,1.0,1.0
29198,1,1,1,1,1,1.0,1.0,1.0
29414,2,2,2,1,1,1.0,1.0,1.0
29461,1,1,1,1,1,1.0,1.0,1.0
29472,1,1,1,1,1,1.0,1.0,1.0
29479,2,2,2,1,1,1.0,1.0,1.0
29489,1,1,1,1,1,1.0,1.0,1.0
29603,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
29605,2,2,2,1,1,1.0,1.0,1.0
29730,5,5,3,0,1,0.6,0.6,0.6
29783,1,1,1,1,1,1.0,1.0,1.0
29972,2,2,0,0,0,0.0,0.0,0.0
30009,1,1,1,1,1,1.0,1.0,1.0
30062,5,5,5,1,1,1.0,1.0,1.0
30257,1,1,1,1,1,1.0,1.0,1.0
30304,1,1,1,1,1,1.0,1.0,1.0
30386,2,2,1,0,1,0.5,0.5,0.5
30498,5,5,3,0,1,0.6,0.6,0.6
30531,4,4,4,1,1,1.0,1.0,1.0
30617,1,1,1,1,1,1.0,1.0,1.0
30657,1,1,0,0,0,0.0,0.0,0.0
30737,1,1,0,0,0,0.0,0.0,0.0
