Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
24163,1.0,0.5,0.6666666666666666,0,1,1,2
24789,0.0,0.0,0.0,0,0,1,1
25252,1.0,1.0,1.0,1,1,1,1
25746,1.0,1.0,1.0,1,1,1,1
26234,1.0,0.2,0.3333333333333333,0,0,1,5
26445,1.0,0.14285714285714285,0.25,0,0,1,7
26979,1.0,1.0,1.0,1,1,1,1
27283,1.0,0.5,0.6666666666666666,0,1,1,2
27298,1.0,0.25,0.4,0,0,1,4
27622,1.0,0.3333333333333333,0.5,0,0,2,6
27643,1.0,1.0,1.0,1,1,1,1
27854,1.0,0.3333333333333333,0.5,0,0,1,3
27948,1.0,0.25,0.4,0,0,1,4
28008,1.0,0.6666666666666666,0.8,0,1,4,6
28047,0.0,0.0,0.0,0,0,1,1
28223,1.0,0.5,0.6666666666666666,0,1,1,2
28244,1.0,1.0,1.0,1,1,1,1
28256,0.0,0.0,0.0,0,0,1,1
28520,1.0,1.0,1.0,1,1,1,1
28587,0.5,0.2,0.2857142857142857,0,0,2,5
29185,1.0,1.0,1.0,1,1,1,1
29198,1.0,1.0,1.0,1,1,1,1
29414,1.0,0.5,0.6666666666666666,0,1,1,2
29461,1.0,1.0,1.0,1,1,1,1
29472,1.0,1.0,1.0,1,1,1,1
29479,1.0,1.0,1.0,1,1,2,2
29489,1.0,1.0,1.0,1,1,1,1
29603,1.0,0.3333333333333333,0.5,0,0,1,3
29605,1.0,0.5,0.6666666666666666,0,1,1,2
29730,1.0,0.2,0.3333333333333333,0,0,1,5
29783,0.5,1.0,0.6666666666666666,0,1,2,1
29972,0.0,0.0,0.0,0,0,1,2
30009,1.0,1.0,1.0,1,1,1,1
30062,1.0,0.2,0.3333333333333333,0,0,1,5
30257,1.0,1.0,1.0,1,1,1,1
30304,1.0,1.0,1.0,1,1,1,1
30386,1.0,0.5,0.6666666666666666,0,1,1,2
30498,0.0,0.0,0.0,0,0,1,5
30531,1.0,0.25,0.4,0,0,1,4
30617,1.0,1.0,1.0,1,1,1,1
30657,0.0,0.0,0.0,0,0,1,1
30737,0.5,1.0,0.6666666666666666,0,1,2,1
30747,1.0,0.5,0.6666666666666666,0,1,1,2
30950,1.0,1.0,1.0,1,1,1,1
31048,1.0,0.5,0.6666666666666666,0,1,1,2
31192,1.0,0.3333333333333333,0.5,0,0,1,3
31372,1.0,1.0,1.0,1,1,2,2
31405,1.0,0.25,0.4,0,0,1,4
31437,1.0,1.0,1.0,1,1,1,1
31524,1.0,1.0,1.0,1,1,1,1
31641,1.0,1.0,1.0,1,1,1,1
31668,1.0,0.25,0.4,0,0,1,4
31712,0.5,0.3333333333333333,0.4,0,0,4,6
31719,0.0,0.0,0.0,0,0,2,4
31725,1.0,1.0,1.0,1,1,1,1
31765,1.0,0.5,0.6666666666666666,0,1,1,2
31797,1.0,0.6666666666666666,0.8,0,1,2,3
31846,0.0,0.0,0.0,0,0,1,1
31851,1.0,0.5,0.6666666666666666,0,1,2,4
31875,1.0,0.3333333333333333,0.5,0,0,1,3
31991,1.0,1.0,1.0,1,1,1,1
32030,1.0,0.5,0.6666666666666666,0,1,1,2
32054,0.5,1.0,0.6666666666666666,0,1,2,1
32064,1.0,1.0,1.0,1,1,1,1
32130,1.0,0.2,0.3333333333333333,0,0,1,5
32161,1.0,0.5,0.6666666666666666,0,1,1,2
32221,1.0,0.6666666666666666,0.8,0,1,2,3
32225,1.0,1.0,1.0,1,1,1,1
32349,1.0,0.16666666666666666,0.2857142857142857,0,0,1,6
32388,1.0,1.0,1.0,1,1,1,1
32498,0.5,0.5,0.5,0,1,2,2
32608,1.0,0.25,0.4,0,0,1,4
32646,1.0,0.3333333333333333,0.5,0,0,1,3
32649,0.6666666666666666,1.0,0.8,0,1,3,2
32714,1.0,0.3333333333333333,0.5,0,0,1,3
32743,1.0,1.0,1.0,1,1,1,1
32758,0.5,1.0,0.6666666666666666,0,1,2,1
32811,1.0,1.0,1.0,1,1,1,1
32820,0.0,0.0,0.0,0,0,1,1
32896,1.0,0.5,0.6666666666666666,0,1,1,2
32901,1.0,1.0,1.0,1,1,1,1
33055,1.0,1.0,1.0,1,1,1,1
33244,1.0,0.6666666666666666,0.8,0,1,2,3
33253,0.0,0.0,0.0,0,0,1,4
33272,1.0,0.5,0.6666666666666666,0,1,1,2
33286,1.0,0.3333333333333333,0.5,0,0,1,3
33314,1.0,0.2,0.3333333333333333,0,0,1,5
33331,1.0,0.25,0.4,0,0,1,4
33407,1.0,0.5,0.6666666666666666,0,1,2,4
33783,1.0,1.0,1.0,1,1,1,1
33836,1.0,1.0,1.0,1,1,1,1
34089,0.5,0.3333333333333333,0.4,0,0,2,3
34101,0.5,0.3333333333333333,0.4,0,0,2,3
34212,0.6666666666666666,0.3333333333333333,0.4444444444444444,0,0,3,6
34240,1.0,1.0,1.0,1,1,1,1
34397,0.0,0.0,0.0,0,0,1,1
34474,1.0,1.0,1.0,1,1,1,1
34561,1.0,1.0,1.0,1,1,1,1
34648,1.0,1.0,1.0,1,1,1,1
34822,1.0,1.0,1.0,1,1,1,1
34855,0.3333333333333333,0.5,0.4,0,1,3,2
34914,1.0,0.6666666666666666,0.8,0,1,2,3
35090,1.0,1.0,1.0,1,1,2,2
