Issue,K,MRR,NDCG_at_K,P_at_K
24163,2,1.0,1.0,1.0
24789,1,0.5,0.0,0.0
25252,1,1.0,1.0,1.0
25746,1,1.0,1.0,1.0
26234,5,1.0,0.5531464700081437,0.4
26445,7,1.0,0.7041249493150387,0.5714285714285714
26979,1,1.0,1.0,1.0
27283,2,1.0,0.6131471927654584,0.5
27298,4,1.0,0.5585075862632192,0.5
27622,6,1.0,0.8696762340896295,0.8333333333333334
27643,1,1.0,1.0,1.0
27854,3,1.0,0.7653606369886217,0.6666666666666666
27948,4,1.0,0.8048099750039491,0.75
28008,6,1.0,0.7751482523375255,0.6666666666666666
28047,1,0.16666666666666666,0.0,0.0
28223,2,1.0,0.6131471927654584,0.5
28244,1,1.0,1.0,1.0
28256,1,0.3333333333333333,0.0,0.0
28520,1,1.0,1.0,1.0
28587,5,1.0,0.6548086577531307,0.6
29185,1,1.0,1.0,1.0
29198,1,1.0,1.0,1.0
29414,2,1.0,1.0,1.0
29461,1,1.0,1.0,1.0
29472,1,1.0,1.0,1.0
29479,2,1.0,1.0,1.0
29489,1,1.0,1.0,1.0
29603,3,1.0,0.7653606369886217,0.6666666666666666
29605,2,1.0,1.0,1.0
29730,5,1.0,0.48522855511632257,0.4
29783,1,1.0,1.0,1.0
29972,2,0.3333333333333333,0.0,0.0
30009,1,1.0,1.0,1.0
30062,5,1.0,1.0,1.0
30257,1,1.0,1.0,1.0
30304,1,1.0,1.0,1.0
30386,2,1.0,0.6131471927654584,0.5
30498,5,0.3333333333333333,0.4468535299918563,0.6
30531,4,1.0,1.0,1.0
30617,1,1.0,1.0,1.0
30657,1,0.25,0.0,0.0
30737,1,0.5,0.0,0.0
30747,2,1.0,0.6131471927654584,0.5
30950,1,1.0,1.0,1.0
31048,2,1.0,0.6131471927654584,0.5
31192,3,1.0,0.46927872602275644,0.3333333333333333
31372,2,1.0,1.0,1.0
31405,4,1.0,0.6366824387328317,0.5
31437,1,1.0,1.0,1.0
31524,1,1.0,1.0,1.0
31641,1,1.0,1.0,1.0
31668,4,1.0,0.6366824387328317,0.5
31712,6,0.5,0.4592846660663049,0.5
31719,4,0.3333333333333333,0.19519002499605084,0.25
31725,1,1.0,1.0,1.0
31765,2,1.0,1.0,1.0
31797,3,1.0,0.7653606369886217,0.6666666666666666
31846,1,0.005494505494505495,0.0,0.0
31851,4,1.0,0.6366824387328317,0.5
31875,3,1.0,0.46927872602275644,0.3333333333333333
31991,1,1.0,1.0,1.0
32030,2,1.0,1.0,1.0
32054,1,1.0,1.0,1.0
32064,1,1.0,1.0,1.0
32130,5,1.0,0.5531464700081437,0.4
32161,2,1.0,0.6131471927654584,0.5
32221,3,1.0,0.7653606369886217,0.6666666666666666
32225,1,1.0,1.0,1.0
32349,6,1.0,0.892210845475489,0.8333333333333334
32388,1,1.0,1.0,1.0
32498,2,1.0,0.6131471927654584,0.5
32608,4,1.0,0.8048099750039491,0.75
32646,3,1.0,0.7653606369886217,0.6666666666666666
32649,2,1.0,0.6131471927654584,0.5
32714,3,1.0,0.46927872602275644,0.3333333333333333
32743,1,1.0,1.0,1.0
32758,1,0.5,0.0,0.0
32811,1,1.0,1.0,1.0
32820,1,0.1111111111111111,0.0,0.0
32896,2,1.0,0.6131471927654584,0.5
32901,1,1.0,1.0,1.0
33055,1,1.0,1.0,1.0
33244,3,1.0,0.7653606369886217,0.6666666666666666
33253,4,0.0026041666666666665,0.0,0.0
33272,2,1.0,0.6131471927654584,0.5
33286,3,1.0,0.46927872602275644,0.3333333333333333
33314,5,1.0,0.3391602052736161,0.2
33331,4,1.0,0.3903800499921017,0.25
33407,4,1.0,0.8318724637288826,0.75
33783,1,1.0,1.0,1.0
33836,1,1.0,1.0,1.0
34089,3,0.5,0.2960819109658652,0.3333333333333333
34101,3,0.5,0.2960819109658652,0.3333333333333333
34212,6,0.5,0.3422220729283414,0.3333333333333333
34240,1,1.0,1.0,1.0
34397,1,0.3333333333333333,0.0,0.0
34474,1,1.0,1.0,1.0
34561,1,1.0,1.0,1.0
34648,1,1.0,1.0,1.0
34822,1,1.0,1.0,1.0
34855,2,1.0,0.6131471927654584,0.5
34914,3,1.0,0.7653606369886217,0.6666666666666666
35090,2,1.0,1.0,1.0
35192,2,1.0,1.0,1.0
35194,3,1.0,0.7653606369886217,0.6666666666666666
35269,3,1.0,0.46927872602275644,0.3333333333333333
35384,2,1.0,1.0,1.0
35392,1,1.0,1.0,1.0
35462,1,1.0,1.0,1.0
35720,2,1.0,1.0,1.0
35760,3,0.03125,0.0,0.0
35771,5,1.0,0.830419897363192,0.8
36039,4,1.0,1.0,1.0
36088,3,1.0,1.0,1.0
36114,1,1.0,1.0,1.0
36179,2,1.0,1.0,1.0
36338,7,1.0,0.9020870746500321,0.8571428571428571
36347,1,1.0,1.0,1.0
36366,3,1.0,1.0,1.0
36609,2,1.0,1.0,1.0
36686,2,0.004694835680751174,0.0,0.0
36702,7,1.0,0.5186511804016661,0.42857142857142855
36836,1,1.0,1.0,1.0
36847,2,1.0,1.0,1.0
37121,1,1.0,1.0,1.0
37136,1,1.0,1.0,1.0
37259,7,1.0,0.510227424721404,0.42857142857142855
37386,1,1.0,1.0,1.0
37618,1,1.0,1.0,1.0
37680,1,1.0,1.0,1.0
37738,2,1.0,1.0,1.0
37994,2,1.0,0.6131471927654584,0.5
