Issue,K,MRR,NDCG_at_K,P_at_K
20937,1,1.0,1.0,1.0
23000,4,1.0,0.75369761125927,0.75
23277,2,0.25,0.0,0.0
26166,3,1.0,0.7653606369886217,0.6666666666666666
27483,3,1.0,1.0,1.0
27488,7,1.0,0.9083745556952364,0.8571428571428571
27692,1,0.2,0.0,0.0
27728,4,1.0,0.8318724637288826,0.75
28129,6,0.5,0.19092086617893467,0.16666666666666666
28149,2,1.0,0.6131471927654584,0.5
28240,1,1.0,1.0,1.0
28241,2,1.0,0.6131471927654584,0.5
28246,1,0.3333333333333333,0.0,0.0
28379,1,1.0,1.0,1.0
28703,1,1.0,1.0,1.0
28710,6,1.0,0.4329261794091841,0.3333333333333333
28811,3,1.0,1.0,1.0
28926,4,1.0,0.3903800499921017,0.25
29039,1,1.0,1.0,1.0
29168,2,1.0,0.6131471927654584,0.5
29424,2,0.5,0.38685280723454163,0.5
29568,2,1.0,0.6131471927654584,0.5
29583,4,1.0,1.0,1.0
29684,1,1.0,1.0,1.0
29762,1,1.0,1.0,1.0
29803,1,1.0,1.0,1.0
29861,1,1.0,1.0,1.0
29875,1,1.0,1.0,1.0
29895,2,1.0,1.0,1.0
30159,1,1.0,1.0,1.0
30238,5,0.5,0.21398626473452756,0.2
30263,1,1.0,1.0,1.0
30353,2,1.0,0.6131471927654584,0.5
30394,1,1.0,1.0,1.0
30437,3,1.0,1.0,1.0
30441,1,1.0,1.0,1.0
30446,3,0.3333333333333333,0.23463936301137822,0.3333333333333333
30447,1,1.0,1.0,1.0
30459,2,1.0,1.0,1.0
30496,1,1.0,1.0,1.0
30506,1,1.0,1.0,1.0
30512,1,0.3333333333333333,0.0,0.0
30523,1,1.0,1.0,1.0
30524,2,0.5,0.38685280723454163,0.5
30599,1,0.5,0.0,0.0
30606,3,0.002531645569620253,0.0,0.0
30613,1,1.0,1.0,1.0
30646,1,1.0,1.0,1.0
30729,5,0.1,0.0,0.0
30903,1,1.0,1.0,1.0
31112,1,1.0,1.0,1.0
31332,1,1.0,1.0,1.0
31338,2,0.1,0.0,0.0
31390,1,1.0,1.0,1.0
31402,7,1.0,0.5186511804016661,0.42857142857142855
31422,1,1.0,1.0,1.0
31462,1,0.06666666666666667,0.0,0.0
31523,3,1.0,0.7653606369886217,0.6666666666666666
31596,2,1.0,1.0,1.0
31624,2,1.0,1.0,1.0
31628,4,0.5,0.6096199500078984,0.75
31705,1,1.0,1.0,1.0
31874,1,1.0,1.0,1.0
31877,7,0.2,0.2958750506849612,0.42857142857142855
31882,1,1.0,1.0,1.0
31901,3,1.0,0.7039180890341347,0.6666666666666666
31919,2,1.0,1.0,1.0
31929,2,1.0,0.6131471927654584,0.5
31968,2,0.009259259259259259,0.0,0.0
32003,1,1.0,1.0,1.0
32032,2,1.0,1.0,1.0
32056,1,0.5,0.0,0.0
32085,3,1.0,0.7039180890341347,0.6666666666666666
32115,7,1.0,0.8816172070446371,0.8571428571428571
32137,1,0.08333333333333333,0.0,0.0
32199,2,1.0,1.0,1.0
32222,5,0.3333333333333333,0.16958010263680806,0.2
32251,1,1.0,1.0,1.0
32324,1,0.006802721088435374,0.0,0.0
32462,5,1.0,1.0,1.0
32794,2,0.2,0.0,0.0
32838,3,1.0,1.0,1.0
32840,4,0.034482758620689655,0.0,0.0
32931,3,0.3333333333333333,0.23463936301137822,0.3333333333333333
32998,6,1.0,1.0,1.0
33003,2,1.0,0.6131471927654584,0.5
33074,1,0.006172839506172839,0.0,0.0
33201,5,0.5,0.5147714448836774,0.6
33226,3,1.0,0.46927872602275644,0.3333333333333333
33344,3,0.2,0.0,0.0
33442,1,1.0,1.0,1.0
33450,3,1.0,0.7653606369886217,0.6666666666666666
33639,4,1.0,0.5855700749881525,0.5
33723,1,0.125,0.0,0.0
33854,1,0.3333333333333333,0.0,0.0
33903,1,1.0,1.0,1.0
34047,2,1.0,1.0,1.0
34207,2,0.2,0.0,0.0
34350,1,1.0,1.0,1.0
34470,5,1.0,1.0,1.0
34554,1,0.1,0.0,0.0
34594,5,1.0,0.7227265726449519,0.6
34646,2,1.0,1.0,1.0
34792,2,1.0,0.6131471927654584,0.5
34829,4,1.0,0.8318724637288826,0.75
34950,3,1.0,0.46927872602275644,0.3333333333333333
34968,4,1.0,1.0,1.0
34989,1,0.014492753623188406,0.0,0.0
35034,2,1.0,1.0,1.0
35082,1,1.0,1.0,1.0
35122,4,1.0,0.5855700749881525,0.5
35190,1,1.0,1.0,1.0
35198,4,0.04,0.0,0.0
35432,3,1.0,0.46927872602275644,0.3333333333333333
35434,6,1.0,1.0,1.0
35514,3,0.021739130434782608,0.0,0.0
35563,7,1.0,0.9083745556952364,0.8571428571428571
35627,5,1.0,0.3391602052736161,0.2
35813,4,1.0,1.0,1.0
35858,1,1.0,1.0,1.0
36086,2,0.16666666666666666,0.0,0.0
36196,1,1.0,1.0,1.0
36222,3,0.16666666666666666,0.0,0.0
36482,1,0.3333333333333333,0.0,0.0
36778,1,1.0,1.0,1.0
36871,1,1.0,1.0,1.0
37015,1,1.0,1.0,1.0
37093,4,1.0,1.0,1.0
37115,2,0.5,0.38685280723454163,0.5
37213,5,1.0,1.0,1.0
37288,6,1.0,0.4935232796777481,0.3333333333333333
37858,2,0.5,0.38685280723454163,0.5
37875,1,1.0,1.0,1.0
38007,3,1.0,1.0,1.0
38012,6,1.0,0.892210845475489,0.8333333333333334
38035,2,1.0,1.0,1.0
38072,1,1.0,1.0,1.0
