Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
5099,1.0,1.0,1.0,1,1,4,4
19857,0.6666666666666666,1.0,0.8,0,1,3,2
23868,0.5,1.0,0.6666666666666666,0,1,2,1
25851,1.0,0.5,0.6666666666666666,0,1,1,2
26173,1.0,0.5,0.6666666666666666,0,1,1,2
26669,1.0,0.25,0.4,0,0,1,4
26958,1.0,0.3333333333333333,0.5,0,0,1,3
27292,0.5,1.0,0.6666666666666666,0,1,2,1
27473,1.0,0.16666666666666666,0.2857142857142857,0,0,1,6
27576,0.5,1.0,0.6666666666666666,0,1,2,1
27584,1.0,1.0,1.0,1,1,1,1
27641,0.0,0.0,0.0,0,0,2,1
27711,1.0,1.0,1.0,1,1,2,2
27790,1.0,1.0,1.0,1,1,1,1
27908,1.0,1.0,1.0,1,1,2,2
27943,0.5,0.25,0.3333333333333333,0,0,2,4
28127,1.0,0.25,0.4,0,0,1,4
28142,0.0,0.0,0.0,0,0,3,1
28145,0.0,0.0,0.0,0,0,2,3
28227,0.0,0.0,0.0,0,0,2,6
28242,0.0,0.0,0.0,0,0,5,1
28249,1.0,1.0,1.0,1,1,1,1
28330,0.5,0.3333333333333333,0.4,0,0,2,3
28378,0.6666666666666666,1.0,0.8,0,1,3,2
28490,1.0,1.0,1.0,1,1,1,1
28705,1.0,1.0,1.0,1,1,1,1
28724,1.0,1.0,1.0,1,1,3,3
28862,1.0,1.0,1.0,1,1,1,1
28981,0.3333333333333333,1.0,0.5,0,1,3,1
29180,0.5,0.5,0.5,0,1,2,2
29195,1.0,1.0,1.0,1,1,1,1
29215,1.0,1.0,1.0,1,1,1,1
29312,1.0,0.5,0.6666666666666666,0,1,1,2
29350,0.3333333333333333,0.5,0.4,0,1,3,2
29386,1.0,0.3333333333333333,0.5,0,0,1,3
29577,0.3333333333333333,1.0,0.5,0,1,3,1
29661,1.0,1.0,1.0,1,1,1,1
29749,1.0,1.0,1.0,1,1,1,1
29825,1.0,1.0,1.0,1,1,1,1
29832,1.0,1.0,1.0,1,1,2,2
29926,0.0,0.0,0.0,0,0,3,1
30098,1.0,0.5,0.6666666666666666,0,1,1,2
30155,1.0,0.3333333333333333,0.5,0,0,1,3
30527,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,3,3
30641,1.0,1.0,1.0,1,1,1,1
30820,1.0,1.0,1.0,1,1,1,1
31006,1.0,1.0,1.0,1,1,1,1
31100,1.0,1.0,1.0,1,1,1,1
31118,1.0,1.0,1.0,1,1,1,1
31152,1.0,1.0,1.0,1,1,1,1
31335,1.0,0.4,0.5714285714285714,0,0,2,5
31336,0.3333333333333333,1.0,0.5,0,1,3,1
31360,1.0,1.0,1.0,1,1,4,4
31606,1.0,0.3333333333333333,0.5,0,0,1,3
31634,0.0,0.0,0.0,0,0,3,1
31649,1.0,1.0,1.0,1,1,1,1
31674,1.0,0.5,0.6666666666666666,0,1,2,4
