Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
22701,4,4,2,0,1,0.5,0.5,0.5
23063,1,1,1,1,1,1.0,1.0,1.0
23881,2,2,2,1,1,1.0,1.0,1.0
25676,2,2,1,0,1,0.5,0.5,0.5
25741,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
26418,1,1,1,1,1,1.0,1.0,1.0
26850,1,1,1,1,1,1.0,1.0,1.0
26914,1,1,1,1,1,1.0,1.0,1.0
27411,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
27523,2,2,0,0,0,0.0,0.0,0.0
27628,7,7,3,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855
27670,1,1,0,0,0,0.0,0.0,0.0
27801,2,2,2,1,1,1.0,1.0,1.0
27906,6,6,5,0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
27925,2,2,2,1,1,1.0,1.0,1.0
27978,2,2,2,1,1,1.0,1.0,1.0
28104,1,1,1,1,1,1.0,1.0,1.0
28152,2,2,2,1,1,1.0,1.0,1.0
28211,1,1,1,1,1,1.0,1.0,1.0
28214,3,3,3,1,1,1.0,1.0,1.0
28236,4,4,1,0,0,0.25,0.25,0.25
28370,1,1,1,1,1,1.0,1.0,1.0
28395,3,3,0,0,0,0.0,0.0,0.0
28410,7,7,3,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855
28709,1,1,0,0,0,0.0,0.0,0.0
28757,5,5,4,0,1,0.8,0.8,0.8
28768,1,1,1,1,1,1.0,1.0,1.0
28852,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
28972,1,1,0,0,0,0.0,0.0,0.0
29028,1,1,1,1,1,1.0,1.0,1.0
29085,1,1,1,1,1,1.0,1.0,1.0
29118,2,2,2,1,1,1.0,1.0,1.0
29146,1,1,1,1,1,1.0,1.0,1.0
29210,1,1,1,1,1,1.0,1.0,1.0
29218,7,7,7,1,1,1.0,1.0,1.0
29220,2,2,2,1,1,1.0,1.0,1.0
29451,1,1,1,1,1,1.0,1.0,1.0
29512,2,2,2,1,1,1.0,1.0,1.0
29515,2,2,0,0,0,0.0,0.0,0.0
29558,1,1,1,1,1,1.0,1.0,1.0
29816,1,1,0,0,0,0.0,0.0,0.0
29966,1,1,1,1,1,1.0,1.0,1.0
30050,1,1,1,1,1,1.0,1.0,1.0
30165,3,3,3,1,1,1.0,1.0,1.0
30169,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
30404,1,1,1,1,1,1.0,1.0,1.0
30507,1,1,1,1,1,1.0,1.0,1.0
30534,1,1,1,1,1,1.0,1.0,1.0
30590,1,1,1,1,1,1.0,1.0,1.0
30643,1,1,1,1,1,1.0,1.0,1.0
30760,2,2,1,0,1,0.5,0.5,0.5
30776,2,2,2,1,1,1.0,1.0,1.0
30787,2,2,1,0,1,0.5,0.5,0.5
30850,4,4,0,0,0,0.0,0.0,0.0
30852,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
30867,2,2,0,0,0,0.0,0.0,0.0
30954,1,1,0,0,0,0.0,0.0,0.0
30981,4,4,4,1,1,1.0,1.0,1.0
31207,1,1,1,1,1,1.0,1.0,1.0
31313,4,4,2,0,1,0.5,0.5,0.5
31346,2,2,0,0,0,0.0,0.0,0.0
31375,5,5,0,0,0,0.0,0.0,0.0
31397,1,1,1,1,1,1.0,1.0,1.0
31418,2,2,0,0,0,0.0,0.0,0.0
31456,1,1,0,0,0,0.0,0.0,0.0
31699,1,1,1,1,1,1.0,1.0,1.0
31854,6,6,4,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
32055,1,1,1,1,1,1.0,1.0,1.0
32069,1,1,1,1,1,1.0,1.0,1.0
32207,1,1,0,0,0,0.0,0.0,0.0
32528,5,5,5,1,1,1.0,1.0,1.0
32603,2,2,0,0,0,0.0,0.0,0.0
32636,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
32696,2,2,1,0,1,0.5,0.5,0.5
32892,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
32929,5,5,2,0,0,0.4,0.4,0.4
33020,6,6,6,1,1,1.0,1.0,1.0
33022,1,1,1,1,1,1.0,1.0,1.0
33054,2,2,1,0,1,0.5,0.5,0.5
33144,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
33292,4,4,1,0,0,0.25,0.25,0.25
33309,1,1,1,1,1,1.0,1.0,1.0
33358,3,3,3,1,1,1.0,1.0,1.0
33449,1,1,1,1,1,1.0,1.0,1.0
33471,1,1,1,1,1,1.0,1.0,1.0
33646,6,6,4,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
33794,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
33859,1,1,0,0,0,0.0,0.0,0.0
33920,2,2,2,1,1,1.0,1.0,1.0
33934,1,1,0,0,0,0.0,0.0,0.0
34117,7,7,2,0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857
34173,1,1,1,1,1,1.0,1.0,1.0
34300,1,1,1,1,1,1.0,1.0,1.0
34314,1,1,1,1,1,1.0,1.0,1.0
34343,1,1,1,1,1,1.0,1.0,1.0
34423,2,2,1,0,1,0.5,0.5,0.5
34435,4,4,4,1,1,1.0,1.0,1.0
34722,2,2,1,0,1,0.5,0.5,0.5
34863,1,1,1,1,1,1.0,1.0,1.0
34941,3,3,3,1,1,1.0,1.0,1.0
34945,1,1,1,1,1,1.0,1.0,1.0
35019,2,2,2,1,1,1.0,1.0,1.0
35026,2,2,2,1,1,1.0,1.0,1.0
35055,1,1,1,1,1,1.0,1.0,1.0
35356,5,5,4,0,1,0.8,0.8,0.8
35401,2,2,2,1,1,1.0,1.0,1.0
35691,1,1,1,1,1,1.0,1.0,1.0
35717,4,4,1,0,0,0.25,0.25,0.25
35773,4,4,4,1,1,1.0,1.0,1.0
35832,4,4,0,0,0,0.0,0.0,0.0
35850,3,3,3,1,1,1.0,1.0,1.0
35869,6,6,6,1,1,1.0,1.0,1.0
