Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
22701,0.3333333333333333,0.5,0.4,0,1,6,4
23063,1.0,1.0,1.0,1,1,1,1
23881,1.0,1.0,1.0,1,1,2,2
25676,1.0,0.5,0.6666666666666666,0,1,1,2
25741,1.0,0.3333333333333333,0.5,0,0,1,3
26418,1.0,1.0,1.0,1,1,1,1
26850,1.0,1.0,1.0,1,1,1,1
26914,1.0,1.0,1.0,1,1,1,1
27411,1.0,0.6666666666666666,0.8,0,1,2,3
27523,0.0,0.0,0.0,0,0,5,2
27628,0.6666666666666666,0.2857142857142857,0.4,0,0,3,7
27670,0.09090909090909091,1.0,0.16666666666666666,0,1,11,1
27801,0.5,1.0,0.6666666666666666,0,1,4,2
27906,1.0,0.5,0.6666666666666666,0,1,3,6
27925,1.0,1.0,1.0,1,1,2,2
27978,1.0,1.0,1.0,1,1,2,2
28104,1.0,1.0,1.0,1,1,1,1
28152,0.6666666666666666,1.0,0.8,0,1,3,2
28211,1.0,1.0,1.0,1,1,1,1
28214,1.0,1.0,1.0,1,1,3,3
28236,0.14285714285714285,0.25,0.18181818181818182,0,0,7,4
28370,1.0,1.0,1.0,1,1,1,1
28395,0.0,0.0,0.0,0,0,1,3
28410,1.0,0.42857142857142855,0.6,0,0,3,7
28709,0.0,0.0,0.0,0,0,32,1
28757,0.2222222222222222,0.8,0.34782608695652173,0,1,18,5
28768,0.05555555555555555,1.0,0.10526315789473684,0,1,18,1
28852,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,3,3
28972,0.0,0.0,0.0,0,0,8,1
29028,1.0,1.0,1.0,1,1,1,1
29085,1.0,1.0,1.0,1,1,1,1
29118,1.0,1.0,1.0,1,1,2,2
29146,0.5,1.0,0.6666666666666666,0,1,2,1
29210,1.0,1.0,1.0,1,1,1,1
29218,1.0,1.0,1.0,1,1,7,7
29220,0.6666666666666666,1.0,0.8,0,1,3,2
29451,1.0,1.0,1.0,1,1,1,1
29512,0.6666666666666666,1.0,0.8,0,1,3,2
29515,0.0,0.0,0.0,0,0,23,2
29558,0.5,1.0,0.6666666666666666,0,1,2,1
29816,0.0,0.0,0.0,0,0,5,1
29966,0.2,1.0,0.3333333333333333,0,1,5,1
30050,1.0,1.0,1.0,1,1,1,1
30165,1.0,1.0,1.0,1,1,3,3
30169,1.0,0.6666666666666666,0.8,0,1,2,3
30404,0.3333333333333333,1.0,0.5,0,1,3,1
30507,0.3333333333333333,1.0,0.5,0,1,3,1
30534,0.5,1.0,0.6666666666666666,0,1,2,1
30590,1.0,1.0,1.0,1,1,1,1
30643,1.0,1.0,1.0,1,1,1,1
30760,0.1,0.5,0.16666666666666666,0,1,10,2
30776,1.0,1.0,1.0,1,1,2,2
30787,1.0,0.5,0.6666666666666666,0,1,1,2
30850,0.0,0.0,0.0,0,0,23,4
30852,0.6,1.0,0.75,0,1,5,3
30867,0.05263157894736842,0.5,0.09523809523809523,0,1,19,2
30954,0.0,0.0,0.0,0,0,1,1
30981,1.0,0.5,0.6666666666666666,0,1,2,4
31207,1.0,1.0,1.0,1,1,1,1
31313,1.0,0.25,0.4,0,0,1,4
31346,0.0,0.0,0.0,0,0,1,2
31375,0.14285714285714285,1.0,0.25,0,1,35,5
31397,1.0,1.0,1.0,1,1,1,1
31418,0.0,0.0,0.0,0,0,32,2
31456,0.0,0.0,0.0,0,0,18,1
31699,0.1111111111111111,1.0,0.2,0,1,9,1
31854,0.2608695652173913,1.0,0.41379310344827586,0,1,23,6
32055,0.3333333333333333,1.0,0.5,0,1,3,1
32069,0.5,1.0,0.6666666666666666,0,1,2,1
32207,0.3333333333333333,1.0,0.5,0,1,3,1
32528,1.0,0.2,0.3333333333333333,0,0,1,5
32603,0.0,0.0,0.0,0,0,11,2
32636,1.0,0.3333333333333333,0.5,0,0,1,3
32696,0.1,0.5,0.16666666666666666,0,1,10,2
32892,1.0,0.6666666666666666,0.8,0,1,2,3
32929,1.0,0.4,0.5714285714285714,0,0,2,5
33020,1.0,0.8333333333333334,0.9090909090909091,0,1,5,6
33022,0.5,1.0,0.6666666666666666,0,1,2,1
33054,0.5,0.5,0.5,0,1,2,2
33144,0.16666666666666666,1.0,0.2857142857142857,0,1,18,3
33292,0.5,0.25,0.3333333333333333,0,0,2,4
33309,1.0,1.0,1.0,1,1,1,1
33358,1.0,0.6666666666666666,0.8,0,1,2,3
33449,1.0,1.0,1.0,1,1,1,1
