Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
12574,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,3,3
13513,1.0,0.3333333333333333,0.5,0,0,1,3
13754,1.0,1.0,1.0,1,1,1,1
14141,1.0,1.0,1.0,1,1,1,1
14562,0.0,0.0,0.0,0,0,3,3
15114,1.0,0.42857142857142855,0.6,0,0,3,7
15492,0.0,0.0,0.0,0,0,1,3
15524,0.0,0.0,0.0,0,0,1,3
15629,1.0,0.2,0.3333333333333333,0,0,1,5
15686,1.0,0.3333333333333333,0.5,0,0,2,6
15688,0.6666666666666666,1.0,0.8,0,1,3,2
15689,1.0,0.3333333333333333,0.5,0,0,1,3
15705,1.0,1.0,1.0,1,1,1,1
15804,0.5,0.3333333333333333,0.4,0,0,2,3
15830,1.0,0.5,0.6666666666666666,0,1,1,2
15860,1.0,1.0,1.0,1,1,1,1
15927,1.0,1.0,1.0,1,1,1,1
16000,1.0,0.5,0.6666666666666666,0,1,1,2
16130,1.0,0.5,0.6666666666666666,0,1,3,6
16146,0.0,0.0,0.0,0,0,1,4
16163,1.0,1.0,1.0,1,1,2,2
16187,0.6666666666666666,1.0,0.8,0,1,3,2
16370,1.0,1.0,1.0,1,1,1,1
16402,0.75,0.6,0.6666666666666666,0,1,4,5
16442,1.0,1.0,1.0,1,1,1,1
16464,0.3333333333333333,0.25,0.2857142857142857,0,0,3,4
16493,0.25,0.3333333333333333,0.2857142857142857,0,0,4,3
16518,0.5,0.5,0.5,0,1,2,2
16545,0.4,0.4,0.4,0,0,5,5
16612,0.6666666666666666,0.8,0.7272727272727273,0,1,6,5
16626,1.0,1.0,1.0,1,1,2,2
16721,1.0,1.0,1.0,1,1,1,1
16729,1.0,0.3333333333333333,0.5,0,0,1,3
16746,1.0,0.3333333333333333,0.5,0,0,1,3
16760,0.6666666666666666,1.0,0.8,0,1,3,2
16772,1.0,1.0,1.0,1,1,1,1
16784,1.0,0.2,0.3333333333333333,0,0,1,5
16820,0.5,0.5,0.5,0,1,2,2
16867,0.25,0.25,0.25,0,0,4,4
17035,1.0,0.5,0.6666666666666666,0,1,1,2
17055,1.0,0.75,0.8571428571428571,0,1,3,4
17111,1.0,1.0,1.0,1,1,2,2
17207,0.0,0.0,0.0,0,0,6,1
17225,1.0,0.42857142857142855,0.6,0,0,3,7
17226,1.0,1.0,1.0,1,1,1,1
17227,1.0,1.0,1.0,1,1,1,1
17263,1.0,0.3333333333333333,0.5,0,0,1,3
17292,1.0,0.6666666666666666,0.8,0,1,2,3
17341,1.0,0.5,0.6666666666666666,0,1,1,2
17346,1.0,1.0,1.0,1,1,1,1
17422,0.5,0.2857142857142857,0.36363636363636365,0,0,4,7
17447,0.6666666666666666,1.0,0.8,0,1,3,2
17453,1.0,1.0,1.0,1,1,2,2
17487,1.0,0.6666666666666666,0.8,0,1,2,3
17496,1.0,0.14285714285714285,0.25,0,0,1,7
17542,1.0,1.0,1.0,1,1,1,1
17569,1.0,1.0,1.0,1,1,1,1
17596,1.0,0.5,0.6666666666666666,0,1,2,4
17617,1.0,0.2,0.3333333333333333,0,0,1,5
17630,0.4,0.6666666666666666,0.5,0,1,5,3
17646,1.0,0.3333333333333333,0.5,0,0,1,3
17692,0.5,0.5,0.5,0,1,2,2
17716,0.5,0.14285714285714285,0.2222222222222222,0,0,2,7
17720,1.0,0.25,0.4,0,0,1,4
17730,1.0,1.0,1.0,1,1,3,3
17887,0.6666666666666666,0.3333333333333333,0.4444444444444444,0,0,3,6
17897,1.0,0.5,0.6666666666666666,0,1,2,4
17942,0.0,0.0,0.0,0,0,3,6
17995,0.5,0.6666666666666666,0.5714285714285714,0,1,8,6
18053,1.0,1.0,1.0,1,1,1,1
18073,1.0,0.75,0.8571428571428571,0,1,3,4
18132,1.0,1.0,1.0,1,1,1,1
18138,0.25,1.0,0.4,0,1,4,1
18214,0.3333333333333333,1.0,0.5,0,1,3,1
18299,1.0,0.25,0.4,0,0,1,4
18334,0.5,0.6666666666666666,0.5714285714285714,0,1,4,3
18337,0.0,0.0,0.0,0,0,2,6
18504,0.1875,0.75,0.3,0,1,16,4
18505,0.05555555555555555,1.0,0.10526315789473684,0,1,18,1
18544,0.058823529411764705,1.0,0.1111111111111111,0,1,17,1
18594,1.0,1.0,1.0,1,1,1,1
18610,0.125,0.3333333333333333,0.18181818181818182,0,0,8,3
18669,1.0,1.0,1.0,1,1,1,1
18671,0.0,0.0,0.0,0,0,3,1
18689,1.0,0.5,0.6666666666666666,0,1,1,2
18717,0.3333333333333333,1.0,0.5,0,1,3,1
18787,0.25,0.2,0.2222222222222222,0,0,4,5
18804,0.4444444444444444,0.8,0.5714285714285714,0,1,9,5
18834,0.25,1.0,0.4,0,1,4,1
18926,1.0,0.5,0.6666666666666666,0,1,2,4
18932,1.0,0.2,0.3333333333333333,0,0,1,5
18947,1.0,1.0,1.0,1,1,2,2
19049,0.2,0.25,0.2222222222222222,0,0,5,4
19085,1.0,1.0,1.0,1,1,1,1
