Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
12574,0.6,1.0,0.75,0,1,5,3
13513,1.0,0.3333333333333333,0.5,0,0,1,3
13754,1.0,1.0,1.0,1,1,1,1
14141,1.0,1.0,1.0,1,1,1,1
14562,0.0,0.0,0.0,0,0,9,3
15114,0.8,0.5714285714285714,0.6666666666666666,0,1,5,7
15492,0.0,0.0,0.0,0,0,54,3
15524,0.0,0.0,0.0,0,0,12,3
15629,1.0,0.2,0.3333333333333333,0,0,1,5
15686,0.5714285714285714,0.6666666666666666,0.6153846153846154,0,1,7,6
15688,0.6666666666666666,1.0,0.8,0,1,3,2
15689,0.1111111111111111,1.0,0.2,0,1,27,3
15705,0.3333333333333333,1.0,0.5,0,1,3,1
15804,0.0625,0.3333333333333333,0.10526315789473684,0,0,16,3
15830,1.0,1.0,1.0,1,1,2,2
15860,1.0,1.0,1.0,1,1,1,1
15927,1.0,1.0,1.0,1,1,1,1
16000,1.0,0.5,0.6666666666666666,0,1,1,2
16130,0.6,0.5,0.5454545454545454,0,1,5,6
16146,0.0,0.0,0.0,0,0,1,4
16163,1.0,1.0,1.0,1,1,2,2
16187,0.044444444444444446,1.0,0.0851063829787234,0,1,45,2
16370,0.25,1.0,0.4,0,1,4,1
16402,0.3,0.6,0.4,0,1,10,5
16442,1.0,1.0,1.0,1,1,1,1
16464,0.038461538461538464,0.25,0.06666666666666667,0,0,26,4
16493,0.14285714285714285,0.3333333333333333,0.2,0,0,7,3
16518,0.6666666666666666,1.0,0.8,0,1,3,2
16545,0.1111111111111111,0.4,0.17391304347826086,0,0,18,5
16612,0.36363636363636365,0.8,0.5,0,1,11,5
16626,1.0,1.0,1.0,1,1,2,2
16721,1.0,1.0,1.0,1,1,1,1
16729,1.0,0.3333333333333333,0.5,0,0,1,3
16746,0.5,0.3333333333333333,0.4,0,0,2,3
16760,0.6666666666666666,1.0,0.8,0,1,3,2
16772,1.0,1.0,1.0,1,1,1,1
16784,0.5714285714285714,0.8,0.6666666666666666,0,1,7,5
16820,0.3333333333333333,0.5,0.4,0,1,3,2
16867,0.3333333333333333,0.75,0.46153846153846156,0,1,9,4
17035,0.034482758620689655,0.5,0.06451612903225806,0,1,29,2
17055,1.0,0.75,0.8571428571428571,0,1,3,4
17111,1.0,1.0,1.0,1,1,2,2
17207,0.0,0.0,0.0,0,0,139,1
17225,0.875,1.0,0.9333333333333333,0,1,8,7
17226,1.0,1.0,1.0,1,1,1,1
17227,1.0,1.0,1.0,1,1,1,1
17263,1.0,0.6666666666666666,0.8,0,1,2,3
17292,0.5,1.0,0.6666666666666666,0,1,6,3
17341,1.0,0.5,0.6666666666666666,0,1,1,2
17346,0.3333333333333333,1.0,0.5,0,1,3,1
17422,0.16666666666666666,1.0,0.2857142857142857,0,1,42,7
17447,0.2222222222222222,1.0,0.36363636363636365,0,1,9,2
17453,1.0,1.0,1.0,1,1,2,2
17487,0.2857142857142857,0.6666666666666666,0.4,0,1,7,3
17496,1.0,0.14285714285714285,0.25,0,0,1,7
17542,1.0,1.0,1.0,1,1,1,1
17569,1.0,1.0,1.0,1,1,1,1
17596,1.0,0.5,0.6666666666666666,0,1,2,4
17617,1.0,0.4,0.5714285714285714,0,0,2,5
17630,0.10526315789473684,0.6666666666666666,0.18181818181818182,0,1,19,3
17646,1.0,0.3333333333333333,0.5,0,0,1,3
17692,0.0625,0.5,0.1111111111111111,0,1,16,2
17716,0.01818181818181818,0.14285714285714285,0.03225806451612903,0,0,55,7
17720,0.6666666666666666,0.5,0.5714285714285714,0,1,3,4
17730,0.75,1.0,0.8571428571428571,0,1,4,3
17887,0.028985507246376812,0.3333333333333333,0.05333333333333334,0,0,69,6
17897,1.0,0.5,0.6666666666666666,0,1,2,4
17942,0.0,0.0,0.0,0,0,109,6
17995,0.5,0.6666666666666666,0.5714285714285714,0,1,8,6
18053,1.0,1.0,1.0,1,1,1,1
18073,1.0,1.0,1.0,1,1,4,4
18132,1.0,1.0,1.0,1,1,1,1
18138,0.0,0.0,0.0,0,0,41,1
18214,0.023809523809523808,1.0,0.046511627906976744,0,1,42,1
18299,1.0,0.25,0.4,0,0,1,4
18334,0.3333333333333333,1.0,0.5,0,1,9,3
18337,0.0,0.0,0.0,0,0,19,6
18504,0.18181818181818182,1.0,0.3076923076923077,0,1,22,4
18505,0.047619047619047616,1.0,0.09090909090909091,0,1,21,1
18544,0.043478260869565216,1.0,0.08333333333333333,0,1,23,1
18594,1.0,1.0,1.0,1,1,1,1
18610,0.07142857142857142,0.3333333333333333,0.11764705882352941,0,0,14,3
18669,0.2,1.0,0.3333333333333333,0,1,5,1
18671,0.0,0.0,0.0,0,0,100,1
18689,1.0,1.0,1.0,1,1,2,2
18717,0.014084507042253521,1.0,0.027777777777777776,0,1,71,1
18787,0.25,0.2,0.2222222222222222,0,0,4,5
18804,0.3333333333333333,0.8,0.47058823529411764,0,1,12,5
18834,0.25,1.0,0.4,0,1,4,1
18926,1.0,0.5,0.6666666666666666,0,1,2,4
18932,0.012422360248447204,0.4,0.024096385542168676,0,0,161,5
18947,1.0,1.0,1.0,1,1,2,2
19049,0.06666666666666667,0.25,0.10526315789473684,0,0,15,4
19085,0.04,1.0,0.07692307692307693,0,1,25,1
19151,0.0,0.0,0.0,0,0,12,2
19162,0.1111111111111111,0.4,0.17391304347826086,0,0,18,5
19170,0.07692307692307693,1.0,0.14285714285714285,0,1,13,1
19172,0.2,0.25,0.2222222222222222,0,0,5,4
19228,1.0,1.0,1.0,1,1,1,1
19249,0.041666666666666664,1.0,0.08,0,1,24,1
19306,0.5,1.0,0.6666666666666666,0,1,2,1
19322,1.0,0.3333333333333333,0.5,0,0,1,3
19333,0.42857142857142855,0.6,0.5,0,1,7,5
19348,0.6666666666666666,0.5,0.5714285714285714,0,1,3,4
19380,1.0,0.75,0.8571428571428571,0,1,3,4
19410,1.0,1.0,1.0,1,1,1,1
19418,1.0,0.3333333333333333,0.5,0,0,2,6
19450,1.0,1.0,1.0,1,1,1,1
19623,1.0,0.3333333333333333,0.5,0,0,1,3
19682,0.21428571428571427,0.75,0.3333333333333333,0,1,14,4
19809,1.0,1.0,1.0,1,1,1,1
