Issue,K,MRR,NDCG_at_K,P_at_K
13742,3,1.0,0.46927872602275644,0.3333333333333333
13907,3,1.0,1.0,1.0
13987,4,1.0,0.5585075862632192,0.5
14452,2,1.0,0.6131471927654584,0.5
14884,4,1.0,0.8318724637288826,0.75
14969,4,1.0,0.8318724637288826,0.75
15231,6,1.0,0.6105858728157117,0.5
15387,1,0.3333333333333333,0.0,0.0
15715,3,1.0,0.46927872602275644,0.3333333333333333
15718,4,1.0,0.6366824387328317,0.5
15815,5,1.0,0.6548086577531307,0.6
15839,1,1.0,1.0,1.0
15863,3,1.0,1.0,1.0
15912,4,1.0,1.0,1.0
15923,1,1.0,1.0,1.0
15951,1,1.0,1.0,1.0
15976,3,0.5,0.5307212739772434,0.6666666666666666
16044,2,1.0,0.6131471927654584,0.5
16124,4,1.0,0.5585075862632192,0.5
16126,5,1.0,0.6992148198508501,0.6
16151,3,1.0,1.0,1.0
16160,3,1.0,0.7653606369886217,0.6666666666666666
16224,1,1.0,1.0,1.0
16229,1,1.0,1.0,1.0
16260,6,1.0,0.644824486427155,0.5
16285,3,1.0,0.7653606369886217,0.6666666666666666
16308,4,0.5,0.24630238874073,0.25
16321,3,1.0,1.0,1.0
16349,2,1.0,1.0,1.0
16448,1,0.5,0.0,0.0
16474,6,1.0,1.0,1.0
16494,5,1.0,0.48522855511632257,0.4
16496,2,1.0,0.6131471927654584,0.5
16531,6,0.5,0.42903378661381625,0.5
16568,2,1.0,0.6131471927654584,0.5
16591,5,1.0,0.8539316501572937,0.8
16603,7,1.0,1.0,1.0
16607,5,1.0,0.6992148198508501,0.6
16665,2,0.038461538461538464,0.0,0.0
16693,3,1.0,0.7653606369886217,0.6666666666666666
16704,1,1.0,1.0,1.0
16712,4,1.0,0.8048099750039491,0.75
16774,7,1.0,0.6730234638881231,0.5714285714285714
16837,1,0.06666666666666667,0.0,0.0
16928,7,1.0,0.7041249493150387,0.5714285714285714
16932,7,1.0,0.4791259392944885,0.42857142857142855
17049,7,1.0,0.7041249493150387,0.5714285714285714
17064,3,1.0,0.46927872602275644,0.3333333333333333
17104,5,1.0,0.8687949224876582,0.8
17122,6,1.0,0.644824486427155,0.5
17134,3,1.0,0.7653606369886217,0.6666666666666666
17138,3,1.0,1.0,1.0
17144,2,1.0,1.0,1.0
17366,4,1.0,0.5585075862632192,0.5
17448,5,1.0,0.6548086577531307,0.6
17464,1,1.0,1.0,1.0
17511,2,0.07692307692307693,0.0,0.0
17512,4,1.0,0.3903800499921017,0.25
17572,2,1.0,1.0,1.0
17611,5,1.0,0.7227265726449519,0.6
17635,4,1.0,0.3903800499921017,0.25
17649,3,1.0,0.7653606369886217,0.6666666666666666
17792,3,1.0,0.7039180890341347,0.6666666666666666
17817,2,1.0,0.6131471927654584,0.5
17830,3,0.16666666666666666,0.0,0.0
17854,3,1.0,0.7039180890341347,0.6666666666666666
17876,1,1.0,1.0,1.0
17996,7,1.0,0.5306972923267992,0.42857142857142855
18070,2,0.25,0.0,0.0
18071,4,1.0,0.75369761125927,0.75
18084,1,1.0,1.0,1.0
18126,1,1.0,1.0,1.0
18145,2,1.0,1.0,1.0
18234,5,1.0,1.0,1.0
18242,1,1.0,1.0,1.0
18314,3,1.0,0.46927872602275644,0.3333333333333333
18350,7,1.0,0.9083745556952364,0.8571428571428571
18375,2,1.0,0.6131471927654584,0.5
18410,5,1.0,0.8539316501572937,0.8
18418,2,1.0,1.0,1.0
18452,6,1.0,0.4935232796777481,0.3333333333333333
18474,1,0.25,0.0,0.0
18476,2,0.3333333333333333,0.0,0.0
18608,4,1.0,0.3903800499921017,0.25
18609,1,1.0,1.0,1.0
18622,4,1.0,1.0,1.0
18744,3,1.0,1.0,1.0
18760,1,0.14285714285714285,0.0,0.0
18844,4,1.0,0.6366824387328317,0.5
18870,4,1.0,0.6366824387328317,0.5
18893,1,0.14285714285714285,0.0,0.0
18940,3,1.0,1.0,1.0
18945,5,1.0,0.639945385422766,0.6
18949,6,1.0,0.8829374068620365,0.8333333333333334
18955,2,1.0,1.0,1.0
18960,2,1.0,1.0,1.0
19067,1,0.034482758620689655,0.0,0.0
19076,2,1.0,1.0,1.0
19086,1,1.0,1.0,1.0
19089,1,0.3333333333333333,0.0,0.0
19116,2,1.0,0.6131471927654584,0.5
19120,5,1.0,0.7227265726449519,0.6
19131,2,1.0,0.6131471927654584,0.5
19147,3,0.5,0.2960819109658652,0.3333333333333333
19148,2,1.0,0.6131471927654584,0.5
19150,6,0.5,0.19092086617893467,0.16666666666666666
19157,4,1.0,0.3903800499921017,0.25
19161,1,1.0,1.0,1.0
19243,6,1.0,0.892210845475489,0.8333333333333334
19489,1,1.0,1.0,1.0
19605,1,1.0,1.0,1.0
19656,6,1.0,0.8829374068620365,0.8333333333333334
19673,3,1.0,1.0,1.0
19715,1,1.0,1.0,1.0
19735,3,1.0,0.7039180890341347,0.6666666666666666
19940,4,1.0,0.3903800499921017,0.25
20041,2,1.0,0.6131471927654584,0.5
20089,1,1.0,1.0,1.0
20176,3,1.0,1.0,1.0
20210,2,1.0,0.6131471927654584,0.5
20225,2,1.0,1.0,1.0
20270,4,1.0,0.3903800499921017,0.25
20294,1,1.0,1.0,1.0
20343,1,1.0,1.0,1.0
20351,5,1.0,0.8687949224876582,0.8
20360,3,1.0,0.46927872602275644,0.3333333333333333
20445,2,1.0,1.0,1.0
20450,3,0.14285714285714285,0.0,0.0
20572,1,1.0,1.0,1.0
20622,7,1.0,0.8936633189697701,0.8571428571428571
20695,2,1.0,0.6131471927654584,0.5
20696,3,1.0,0.7653606369886217,0.6666666666666666
20728,1,1.0,1.0,1.0
20735,1,1.0,1.0,1.0
20759,1,1.0,1.0,1.0
20870,1,1.0,1.0,1.0
20906,1,1.0,1.0,1.0
20920,1,1.0,1.0,1.0
20933,3,1.0,0.46927872602275644,0.3333333333333333
20995,4,1.0,1.0,1.0
21014,4,1.0,0.75369761125927,0.75
21040,1,1.0,1.0,1.0
21065,6,1.0,0.644824486427155,0.5
21100,5,1.0,0.7227265726449519,0.6
21176,1,1.0,1.0,1.0
21292,1,1.0,1.0,1.0
21294,1,1.0,1.0,1.0
