Issue,K,MRR,NDCG_at_K,P_at_K
1144,2,1.0,1.0,1.0
11080,6,1.0,0.7751482523375255,0.6666666666666666
13384,1,1.0,1.0,1.0
13711,6,1.0,0.7751482523375255,0.6666666666666666
14958,1,0.5,0.0,0.0
15389,3,1.0,0.46927872602275644,0.3333333333333333
15458,4,1.0,0.3903800499921017,0.25
15582,4,1.0,0.3903800499921017,0.25
15755,1,1.0,1.0,1.0
15758,6,1.0,0.4935232796777481,0.3333333333333333
15777,3,0.019230769230769232,0.0,0.0
15789,1,1.0,1.0,1.0
15877,1,1.0,1.0,1.0
15930,2,1.0,1.0,1.0
15934,1,1.0,1.0,1.0
15949,3,0.5,0.2960819109658652,0.3333333333333333
15967,3,1.0,1.0,1.0
16008,1,1.0,1.0,1.0
16017,2,1.0,1.0,1.0
16021,5,1.0,0.4703652827859579,0.4
16028,7,1.0,0.6730234638881231,0.5714285714285714
16040,1,1.0,1.0,1.0
16056,2,1.0,0.6131471927654584,0.5
16088,4,1.0,0.8318724637288826,0.75
16090,4,1.0,0.6366824387328317,0.5
16140,3,1.0,1.0,1.0
16202,3,1.0,1.0,1.0
16254,2,1.0,1.0,1.0
16272,5,0.2,0.13120507751234178,0.2
16273,2,0.09090909090909091,0.0,0.0
16281,5,1.0,0.3391602052736161,0.2
16282,3,0.09090909090909091,0.0,0.0
16298,4,0.07142857142857142,0.0,0.0
16336,5,1.0,1.0,1.0
16341,2,1.0,1.0,1.0
16375,1,1.0,1.0,1.0
16415,4,1.0,0.6366824387328317,0.5
16495,3,0.25,0.0,0.0
16515,3,1.0,0.7653606369886217,0.6666666666666666
16570,6,1.0,0.892210845475489,0.8333333333333334
16585,1,0.5,0.0,0.0
16588,2,0.3333333333333333,0.0,0.0
16590,4,0.125,0.0,0.0
16595,1,0.2,0.0,0.0
16652,1,1.0,1.0,1.0
16655,2,0.5,0.38685280723454163,0.5
16724,5,1.0,0.7227265726449519,0.6
16767,5,1.0,0.7227265726449519,0.6
16800,7,0.1111111111111111,0.0,0.0
16817,1,1.0,1.0,1.0
16843,2,1.0,0.6131471927654584,0.5
16865,4,1.0,0.8048099750039491,0.75
16944,5,1.0,0.3391602052736161,0.2
16980,3,1.0,1.0,1.0
16990,6,1.0,0.601312434202259,0.5
17054,3,1.0,0.46927872602275644,0.3333333333333333
17072,5,1.0,0.8687949224876582,0.8
17077,1,1.0,1.0,1.0
17128,3,1.0,0.7653606369886217,0.6666666666666666
17180,2,1.0,1.0,1.0
17194,1,1.0,1.0,1.0
17208,1,1.0,1.0,1.0
17260,6,1.0,0.892210845475489,0.8333333333333334
17305,2,1.0,0.6131471927654584,0.5
17328,1,1.0,1.0,1.0
17352,1,1.0,1.0,1.0
17400,4,1.0,1.0,1.0
17425,6,1.0,0.6787553679106947,0.6666666666666666
17533,1,1.0,1.0,1.0
17547,4,1.0,0.8048099750039491,0.75
17582,1,1.0,1.0,1.0
17654,1,1.0,1.0,1.0
17679,2,0.5,0.38685280723454163,0.5
17749,4,1.0,0.75369761125927,0.75
17770,4,1.0,0.5585075862632192,0.5
17789,5,1.0,0.5531464700081437,0.4
17883,4,1.0,0.8318724637288826,0.75
17899,4,0.16666666666666666,0.0,0.0
17920,7,1.0,0.27487633291429087,0.14285714285714285
18008,2,0.5,0.38685280723454163,0.5
18062,2,1.0,1.0,1.0
18140,6,1.0,0.6105858728157117,0.5
18155,4,1.0,0.75369761125927,0.75
18189,1,1.0,1.0,1.0
18244,3,1.0,1.0,1.0
18267,3,1.0,1.0,1.0
18278,1,1.0,1.0,1.0
18288,3,1.0,0.46927872602275644,0.3333333333333333
18327,7,1.0,0.8104616303452685,0.7142857142857143
18366,3,1.0,1.0,1.0
18409,1,1.0,1.0,1.0
18421,3,1.0,0.46927872602275644,0.3333333333333333
18516,1,1.0,1.0,1.0
18597,4,1.0,0.8318724637288826,0.75
18613,5,1.0,0.5531464700081437,0.4
18626,2,1.0,1.0,1.0
18659,6,1.0,1.0,1.0
18725,4,1.0,0.5855700749881525,0.5
18835,5,0.5,0.21398626473452756,0.2
18883,4,1.0,1.0,1.0
18952,6,1.0,0.644824486427155,0.5
19029,2,1.0,1.0,1.0
19032,1,1.0,1.0,1.0
19058,5,1.0,0.8687949224876582,0.8
19069,1,1.0,1.0,1.0
19114,6,1.0,0.7618870795651185,0.6666666666666666
19145,1,1.0,1.0,1.0
19152,2,1.0,0.6131471927654584,0.5
19153,1,1.0,1.0,1.0
19156,3,1.0,0.46927872602275644,0.3333333333333333
19174,2,1.0,0.6131471927654584,0.5
19292,1,1.0,1.0,1.0
19314,7,0.5,0.6334982227809455,0.7142857142857143
19334,3,1.0,0.7653606369886217,0.6666666666666666
19356,3,1.0,0.7039180890341347,0.6666666666666666
19417,5,1.0,0.7227265726449519,0.6
19438,3,1.0,0.7653606369886217,0.6666666666666666
19440,1,1.0,1.0,1.0
19482,2,1.0,1.0,1.0
19521,1,1.0,1.0,1.0
19612,1,1.0,1.0,1.0
19641,1,1.0,1.0,1.0
19697,3,1.0,0.7653606369886217,0.6666666666666666
19713,4,0.08333333333333333,0.0,0.0
19717,3,1.0,1.0,1.0
19793,2,1.0,0.6131471927654584,0.5
19879,7,1.0,0.7752805260144073,0.7142857142857143
19912,5,1.0,1.0,1.0
19947,2,1.0,1.0,1.0
19956,1,1.0,1.0,1.0
20103,7,1.0,0.9083745556952364,0.8571428571428571
20173,2,1.0,0.6131471927654584,0.5
20181,6,1.0,0.7526136409516659,0.6666666666666666
20244,3,1.0,0.7039180890341347,0.6666666666666666
20322,1,1.0,1.0,1.0
20349,4,1.0,0.8318724637288826,0.75
20389,2,1.0,0.6131471927654584,0.5
20603,3,0.5,0.2960819109658652,0.3333333333333333
20653,4,1.0,0.6366824387328317,0.5
20671,4,1.0,0.8048099750039491,0.75
20751,1,0.5,0.0,0.0
20769,7,1.0,1.0,1.0
20856,3,1.0,0.46927872602275644,0.3333333333333333
20937,5,1.0,0.639945385422766,0.6
21035,3,0.3333333333333333,0.23463936301137822,0.3333333333333333
21194,1,1.0,1.0,1.0
21244,2,1.0,1.0,1.0
21258,3,1.0,0.7653606369886217,0.6666666666666666
21269,1,1.0,1.0,1.0
21311,2,1.0,1.0,1.0
