Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
11685,3,3,3,1,1,1.0,1.0,1.0
12195,7,7,1,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285
12376,1,1,1,1,1,1.0,1.0,1.0
13098,4,4,4,1,1,1.0,1.0,1.0
13481,4,4,4,1,1,1.0,1.0,1.0
13864,5,5,2,0,0,0.4,0.4,0.4
13998,2,2,1,0,1,0.5,0.5,0.5
14209,4,4,1,0,0,0.25,0.25,0.25
14462,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
14879,4,4,4,1,1,1.0,1.0,1.0
15174,7,7,1,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285
15233,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
15291,4,4,0,0,0,0.0,0.0,0.0
15623,4,4,2,0,1,0.5,0.5,0.5
15724,1,1,1,1,1,1.0,1.0,1.0
15751,1,1,0,0,0,0.0,0.0,0.0
15835,2,2,2,1,1,1.0,1.0,1.0
15866,1,1,1,1,1,1.0,1.0,1.0
15868,6,6,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
15873,3,3,0,0,0,0.0,0.0,0.0
15896,1,1,1,1,1,1.0,1.0,1.0
15961,2,2,2,1,1,1.0,1.0,1.0
15998,5,5,1,0,0,0.2,0.2,0.2
16061,2,2,2,1,1,1.0,1.0,1.0
16120,2,2,1,0,1,0.5,0.5,0.5
16218,1,1,1,1,1,1.0,1.0,1.0
16244,1,1,0,0,0,0.0,0.0,0.0
16250,1,1,1,1,1,1.0,1.0,1.0
16327,3,3,3,1,1,1.0,1.0,1.0
16428,6,6,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
16460,7,7,6,0,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
16467,2,2,1,0,1,0.5,0.5,0.5
16482,3,3,0,0,0,0.0,0.0,0.0
16489,2,2,1,0,1,0.5,0.5,0.5
16508,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
16513,5,5,3,0,1,0.6,0.6,0.6
16522,5,5,4,0,1,0.8,0.8,0.8
16559,1,1,1,1,1,1.0,1.0,1.0
16623,3,3,3,1,1,1.0,1.0,1.0
16792,1,1,1,1,1,1.0,1.0,1.0
16810,1,1,1,1,1,1.0,1.0,1.0
16832,6,6,4,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
16907,1,1,1,1,1,1.0,1.0,1.0
16955,5,5,3,0,1,0.6,0.6,0.6
16994,2,2,2,1,1,1.0,1.0,1.0
17007,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
17066,6,6,6,1,1,1.0,1.0,1.0
