Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
906,1,1,0,0,0,0.0,0.0,0.0
1089,2,2,0,0,0,0.0,0.0,0.0
1245,1,1,1,1,1,1.0,1.0,1.0
1439,1,1,1,1,1,1.0,1.0,1.0
1513,1,1,1,1,1,1.0,1.0,1.0
1667,1,1,1,1,1,1.0,1.0,1.0
1688,1,1,1,1,1,1.0,1.0,1.0
1696,2,2,1,0,1,0.5,0.5,0.5
1699,1,1,1,1,1,1.0,1.0,1.0
1983,7,7,0,0,0,0.0,0.0,0.0
2178,2,2,2,1,1,1.0,1.0,1.0
2491,2,2,1,0,1,0.5,0.5,0.5
2842,1,1,0,0,0,0.0,0.0,0.0
2899,1,1,1,1,1,1.0,1.0,1.0
2994,1,1,1,1,1,1.0,1.0,1.0
3236,1,1,0,0,0,0.0,0.0,0.0
3237,3,3,3,1,1,1.0,1.0,1.0
3537,1,1,0,0,0,0.0,0.0,0.0
3556,1,1,1,1,1,1.0,1.0,1.0
3610,1,1,1,1,1,1.0,1.0,1.0
3629,3,3,0,0,0,0.0,0.0,0.0
3631,3,3,0,0,0,0.0,0.0,0.0
3669,5,5,1,0,0,0.2,0.2,0.2
3958,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
3994,1,1,1,1,1,1.0,1.0,1.0
4134,2,2,2,1,1,1.0,1.0,1.0
4183,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
4412,2,2,1,0,1,0.5,0.5,0.5
4514,1,1,1,1,1,1.0,1.0,1.0
4556,2,2,1,0,1,0.5,0.5,0.5
4575,1,1,1,1,1,1.0,1.0,1.0
4588,1,1,0,0,0,0.0,0.0,0.0
4771,1,1,1,1,1,1.0,1.0,1.0
4863,2,2,0,0,0,0.0,0.0,0.0
4898,1,1,1,1,1,1.0,1.0,1.0
5485,1,1,0,0,0,0.0,0.0,0.0
5592,1,1,1,1,1,1.0,1.0,1.0
5916,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
5987,1,1,0,0,0,0.0,0.0,0.0
6269,1,1,1,1,1,1.0,1.0,1.0
6444,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
6494,1,1,1,1,1,1.0,1.0,1.0
6504,1,1,1,1,1,1.0,1.0,1.0
6532,1,1,1,1,1,1.0,1.0,1.0
6741,1,1,1,1,1,1.0,1.0,1.0
6960,1,1,1,1,1,1.0,1.0,1.0
7188,6,6,3,0,1,0.5,0.5,0.5
7434,2,2,1,0,1,0.5,0.5,0.5
7531,5,5,4,0,1,0.8,0.8,0.8
7896,2,2,1,0,1,0.5,0.5,0.5
8359,2,2,1,0,1,0.5,0.5,0.5
8383,1,1,1,1,1,1.0,1.0,1.0
8422,1,1,1,1,1,1.0,1.0,1.0
8841,1,1,1,1,1,1.0,1.0,1.0
8940,2,2,2,1,1,1.0,1.0,1.0
8978,4,4,3,0,1,0.75,0.75,0.75
9088,2,2,2,1,1,1.0,1.0,1.0
9394,1,1,1,1,1,1.0,1.0,1.0
9404,1,1,1,1,1,1.0,1.0,1.0
9735,1,1,0,0,0,0.0,0.0,0.0
9847,1,1,1,1,1,1.0,1.0,1.0
9910,1,1,1,1,1,1.0,1.0,1.0
10042,6,6,6,1,1,1.0,1.0,1.0
10044,1,1,0,0,0,0.0,0.0,0.0
10066,1,1,1,1,1,1.0,1.0,1.0
10105,1,1,1,1,1,1.0,1.0,1.0
10405,2,2,0,0,0,0.0,0.0,0.0
10868,2,2,2,1,1,1.0,1.0,1.0
10892,1,1,1,1,1,1.0,1.0,1.0
11191,1,1,1,1,1,1.0,1.0,1.0
11208,7,7,5,0,1,0.7142857142857143,0.7142857142857143,0.7142857142857143
11232,6,6,4,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
11759,4,4,0,0,0,0.0,0.0,0.0
11760,2,2,2,1,1,1.0,1.0,1.0
12202,1,1,0,0,0,0.0,0.0,0.0
12248,1,1,1,1,1,1.0,1.0,1.0
12321,5,5,1,0,0,0.2,0.2,0.2
12326,1,1,1,1,1,1.0,1.0,1.0
12376,2,2,1,0,1,0.5,0.5,0.5
12476,1,1,0,0,0,0.0,0.0,0.0
13078,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
13363,3,3,0,0,0,0.0,0.0,0.0
13635,5,5,4,0,1,0.8,0.8,0.8
13640,4,4,1,0,0,0.25,0.25,0.25
14104,2,2,2,1,1,1.0,1.0,1.0
14171,1,1,1,1,1,1.0,1.0,1.0
14372,2,2,2,1,1,1.0,1.0,1.0
14762,1,1,0,0,0,0.0,0.0,0.0
14792,1,1,1,1,1,1.0,1.0,1.0
15107,1,1,1,1,1,1.0,1.0,1.0
15144,1,1,1,1,1,1.0,1.0,1.0
15158,4,4,4,1,1,1.0,1.0,1.0
15201,1,1,1,1,1,1.0,1.0,1.0
15698,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
