Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
906,0.0,0.0,0.0,0,0,1,1
1089,0.0,0.0,0.0,0,0,1,2
1245,0.5,1.0,0.6666666666666666,0,1,2,1
1439,1.0,1.0,1.0,1,1,1,1
1513,1.0,1.0,1.0,1,1,1,1
1667,1.0,1.0,1.0,1,1,1,1
1688,1.0,1.0,1.0,1,1,1,1
1696,0.5,0.5,0.5,0,1,2,2
1699,1.0,1.0,1.0,1,1,1,1
1983,0.0,0.0,0.0,0,0,1,7
2178,1.0,1.0,1.0,1,1,2,2
2491,0.0,0.0,0.0,0,0,1,2
2842,0.0,0.0,0.0,0,0,2,1
2899,1.0,1.0,1.0,1,1,1,1
2994,1.0,1.0,1.0,1,1,1,1
3236,0.0,0.0,0.0,0,0,2,1
3237,1.0,0.3333333333333333,0.5,0,0,1,3
3537,0.0,0.0,0.0,0,0,6,1
3556,0.5,1.0,0.6666666666666666,0,1,2,1
3610,0.5,1.0,0.6666666666666666,0,1,2,1
3629,0.0,0.0,0.0,0,0,2,3
3631,0.0,0.0,0.0,0,0,1,3
3669,0.5,0.2,0.2857142857142857,0,0,2,5
3958,0.5,0.3333333333333333,0.4,0,0,2,3
3994,1.0,1.0,1.0,1,1,1,1
4134,1.0,0.5,0.6666666666666666,0,1,1,2
4183,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,3,3
4412,1.0,0.5,0.6666666666666666,0,1,1,2
4514,1.0,1.0,1.0,1,1,1,1
4556,1.0,0.5,0.6666666666666666,0,1,1,2
4575,1.0,1.0,1.0,1,1,1,1
4588,0.0,0.0,0.0,0,0,1,1
4771,1.0,1.0,1.0,1,1,1,1
4863,0.0,0.0,0.0,0,0,3,2
4898,1.0,1.0,1.0,1,1,1,1
5485,0.0,0.0,0.0,0,0,1,1
5592,1.0,1.0,1.0,1,1,1,1
5916,1.0,0.3333333333333333,0.5,0,0,1,3
5987,0.0,0.0,0.0,0,0,1,1
6269,1.0,1.0,1.0,1,1,1,1
6444,1.0,0.3333333333333333,0.5,0,0,1,3
6494,1.0,1.0,1.0,1,1,1,1
6504,1.0,1.0,1.0,1,1,1,1
6532,1.0,1.0,1.0,1,1,1,1
6741,1.0,1.0,1.0,1,1,1,1
6960,1.0,1.0,1.0,1,1,1,1
7188,0.0,0.0,0.0,0,0,1,6
7434,1.0,0.5,0.6666666666666666,0,1,1,2
7531,1.0,0.4,0.5714285714285714,0,0,2,5
7896,0.3333333333333333,0.5,0.4,0,1,3,2
8359,1.0,0.5,0.6666666666666666,0,1,1,2
8383,1.0,1.0,1.0,1,1,1,1
8422,1.0,1.0,1.0,1,1,1,1
8841,1.0,1.0,1.0,1,1,1,1
8940,1.0,0.5,0.6666666666666666,0,1,1,2
8978,0.6666666666666666,0.5,0.5714285714285714,0,1,3,4
9088,1.0,1.0,1.0,1,1,2,2
9394,0.5,1.0,0.6666666666666666,0,1,2,1
9404,1.0,1.0,1.0,1,1,1,1
9735,0.5,1.0,0.6666666666666666,0,1,2,1
9847,1.0,1.0,1.0,1,1,1,1
9910,1.0,1.0,1.0,1,1,1,1
10042,1.0,0.8333333333333334,0.9090909090909091,0,1,5,6
10044,0.0,0.0,0.0,0,0,2,1
10066,1.0,1.0,1.0,1,1,1,1
10105,1.0,1.0,1.0,1,1,1,1
10405,0.0,0.0,0.0,0,0,1,2
10868,1.0,0.5,0.6666666666666666,0,1,1,2
10892,1.0,1.0,1.0,1,1,1,1
11191,1.0,1.0,1.0,1,1,1,1
11208,1.0,0.14285714285714285,0.25,0,0,1,7
11232,1.0,0.16666666666666666,0.2857142857142857,0,0,1,6
11759,0.0,0.0,0.0,0,0,1,4
11760,1.0,1.0,1.0,1,1,2,2
12202,0.5,1.0,0.6666666666666666,0,1,2,1
12248,1.0,1.0,1.0,1,1,1,1
12321,0.0,0.0,0.0,0,0,2,5
12326,1.0,1.0,1.0,1,1,1,1
12376,0.0,0.0,0.0,0,0,3,2
12476,0.0,0.0,0.0,0,0,1,1
13078,1.0,0.6666666666666666,0.8,0,1,2,3
13363,0.0,0.0,0.0,0,0,1,3
13635,1.0,0.6,0.75,0,1,3,5
13640,1.0,0.25,0.4,0,0,1,4
14104,1.0,0.5,0.6666666666666666,0,1,1,2
14171,1.0,1.0,1.0,1,1,1,1
14372,1.0,1.0,1.0,1,1,2,2
14762,0.0,0.0,0.0,0,0,2,1
14792,1.0,1.0,1.0,1,1,1,1
15107,1.0,1.0,1.0,1,1,1,1
15144,0.5,1.0,0.6666666666666666,0,1,2,1
15158,1.0,1.0,1.0,1,1,4,4
15201,0.5,1.0,0.6666666666666666,0,1,2,1
15698,1.0,0.3333333333333333,0.5,0,0,1,3
