Issue,K,MRR,NDCG_at_K,P_at_K
906,1,0.2,0.0,0.0
1089,2,0.16666666666666666,0.0,0.0
1245,1,1.0,1.0,1.0
1439,1,1.0,1.0,1.0
1513,1,1.0,1.0,1.0
1667,1,1.0,1.0,1.0
1688,1,1.0,1.0,1.0
1696,2,0.5,0.38685280723454163,0.5
1699,1,1.0,1.0,1.0
1983,7,0.14285714285714285,0.09162544430476362,0.14285714285714285
2178,2,1.0,1.0,1.0
2491,2,0.5,0.38685280723454163,0.5
2842,1,0.16666666666666666,0.0,0.0
2899,1,1.0,1.0,1.0
2994,1,1.0,1.0,1.0
3236,1,0.25,0.0,0.0
3237,3,1.0,1.0,1.0
3537,1,0.1111111111111111,0.0,0.0
3556,1,1.0,1.0,1.0
3610,1,1.0,1.0,1.0
3629,3,0.03571428571428571,0.0,0.0
3631,3,0.25,0.0,0.0
3669,5,1.0,0.3391602052736161,0.2
3958,3,1.0,0.46927872602275644,0.3333333333333333
3994,1,1.0,1.0,1.0
4134,2,1.0,1.0,1.0
4183,3,0.3333333333333333,0.23463936301137822,0.3333333333333333
4412,2,1.0,0.6131471927654584,0.5
4514,1,1.0,1.0,1.0
4556,2,1.0,0.6131471927654584,0.5
4575,1,1.0,1.0,1.0
4588,1,0.5,0.0,0.0
4771,1,1.0,1.0,1.0
4863,2,0.14285714285714285,0.0,0.0
4898,1,1.0,1.0,1.0
5485,1,0.5,0.0,0.0
5592,1,1.0,1.0,1.0
5916,3,1.0,0.46927872602275644,0.3333333333333333
5987,1,0.125,0.0,0.0
6269,1,1.0,1.0,1.0
6444,3,1.0,0.7653606369886217,0.6666666666666666
6494,1,1.0,1.0,1.0
6504,1,1.0,1.0,1.0
6532,1,1.0,1.0,1.0
6741,1,1.0,1.0,1.0
6960,1,1.0,1.0,1.0
7188,6,0.5,0.2987100207034456,0.3333333333333333
7434,2,1.0,0.6131471927654584,0.5
7531,5,1.0,1.0,1.0
7896,2,1.0,0.6131471927654584,0.5
8359,2,1.0,0.6131471927654584,0.5
8383,1,1.0,1.0,1.0
8422,1,1.0,1.0,1.0
8841,1,1.0,1.0,1.0
8940,2,1.0,1.0,1.0
8978,4,1.0,0.6366824387328317,0.5
9088,2,1.0,1.0,1.0
9394,1,1.0,1.0,1.0
9404,1,1.0,1.0,1.0
9735,1,0.5,0.0,0.0
9847,1,1.0,1.0,1.0
9910,1,1.0,1.0,1.0
10042,6,1.0,0.892210845475489,0.8333333333333334
10044,1,0.25,0.0,0.0
10066,1,1.0,1.0,1.0
10105,1,1.0,1.0,1.0
10405,2,0.5,0.38685280723454163,0.5
10868,2,1.0,1.0,1.0
10892,1,1.0,1.0,1.0
11191,1,1.0,1.0,1.0
11208,7,1.0,0.8104616303452685,0.7142857142857143
11232,6,1.0,0.7618870795651185,0.6666666666666666
11759,4,0.2,0.0,0.0
11760,2,1.0,1.0,1.0
12202,1,0.5,0.0,0.0
12248,1,1.0,1.0,1.0
12321,5,0.3333333333333333,0.30078518014914984,0.4
12326,1,1.0,1.0,1.0
12376,2,0.2,0.0,0.0
12476,1,0.043478260869565216,0.0,0.0
13078,3,1.0,0.7653606369886217,0.6666666666666666
13363,3,0.2,0.0,0.0
13635,5,1.0,0.8687949224876582,0.8
13640,4,1.0,0.3903800499921017,0.25
14104,2,1.0,1.0,1.0
14171,1,1.0,1.0,1.0
14372,2,1.0,1.0,1.0
14762,1,0.16666666666666666,0.0,0.0
14792,1,1.0,1.0,1.0
15107,1,1.0,1.0,1.0
15144,1,1.0,1.0,1.0
15158,4,1.0,1.0,1.0
15201,1,1.0,1.0,1.0
15698,3,1.0,0.7653606369886217,0.6666666666666666
