Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
75,0.5,1.0,0.6666666666666666,0,1,2,1
889,0.0,0.0,0.0,0,0,0,7
1254,1.0,1.0,1.0,1,1,1,1
1260,1.0,1.0,1.0,1,1,1,1
1681,0.0,0.0,0.0,0,0,5,1
2489,1.0,1.0,1.0,1,1,1,1
2558,1.0,1.0,1.0,1,1,1,1
2864,1.0,1.0,1.0,1,1,1,1
3353,1.0,0.5,0.6666666666666666,0,1,1,2
3514,0.5,1.0,0.6666666666666666,0,1,2,1
3555,0.2222222222222222,0.5,0.3076923076923077,0,1,9,4
3570,1.0,0.3333333333333333,0.5,0,0,1,3
3625,1.0,1.0,1.0,1,1,1,1
3678,1.0,1.0,1.0,1,1,1,1
3682,1.0,1.0,1.0,1,1,1,1
3875,0.25,1.0,0.4,0,1,12,3
4147,1.0,1.0,1.0,1,1,1,1
4160,1.0,1.0,1.0,1,1,1,1
4340,0.2,1.0,0.3333333333333333,0,1,5,1
4585,1.0,0.75,0.8571428571428571,0,1,3,4
4830,1.0,0.5,0.6666666666666666,0,1,1,2
4892,1.0,1.0,1.0,1,1,1,1
4982,1.0,1.0,1.0,1,1,1,1
4984,0.6666666666666666,1.0,0.8,0,1,3,2
4992,0.0,0.0,0.0,0,0,0,3
5170,1.0,1.0,1.0,1,1,1,1
5237,1.0,1.0,1.0,1,1,1,1
5446,1.0,1.0,1.0,1,1,1,1
5468,1.0,1.0,1.0,1,1,1,1
5477,1.0,1.0,1.0,1,1,1,1
5479,1.0,1.0,1.0,1,1,1,1
5563,0.5,1.0,0.6666666666666666,0,1,2,1
5684,1.0,0.2,0.3333333333333333,0,0,1,5
5742,0.5,1.0,0.6666666666666666,0,1,2,1
5837,1.0,1.0,1.0,1,1,1,1
5939,0.0,0.0,0.0,0,0,17,2
5971,0.5,1.0,0.6666666666666666,0,1,2,1
6113,1.0,1.0,1.0,1,1,1,1
6350,1.0,0.5,0.6666666666666666,0,1,1,2
6555,1.0,1.0,1.0,1,1,1,1
6621,0.5,1.0,0.6666666666666666,0,1,2,1
6749,1.0,1.0,1.0,1,1,1,1
6820,1.0,1.0,1.0,1,1,2,2
6837,1.0,1.0,1.0,1,1,1,1
6865,1.0,0.5,0.6666666666666666,0,1,1,2
6963,1.0,0.3333333333333333,0.5,0,0,1,3
7529,1.0,1.0,1.0,1,1,1,1
7587,1.0,0.6666666666666666,0.8,0,1,4,6
7715,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
8025,1.0,1.0,1.0,1,1,1,1
8377,1.0,1.0,1.0,1,1,1,1
8527,0.0,0.0,0.0,0,0,0,2
8793,0.0,0.0,0.0,0,0,2,1
8845,0.5,1.0,0.6666666666666666,0,1,2,1
8980,1.0,1.0,1.0,1,1,1,1
9121,1.0,1.0,1.0,1,1,2,2
9172,0.6,1.0,0.75,0,1,5,3
9207,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,3,3
9600,1.0,0.5,0.6666666666666666,0,1,1,2
9771,0.5,1.0,0.6666666666666666,0,1,4,2
10045,0.23076923076923078,1.0,0.375,0,1,13,3
10054,1.0,1.0,1.0,1,1,1,1
10111,1.0,1.0,1.0,1,1,1,1
10340,1.0,1.0,1.0,1,1,1,1
10466,0.4,1.0,0.5714285714285714,0,1,5,2
10487,1.0,0.5,0.6666666666666666,0,1,1,2
10631,1.0,1.0,1.0,1,1,1,1
10804,1.0,0.5,0.6666666666666666,0,1,1,2
10870,1.0,0.3333333333333333,0.5,0,0,2,6
10880,1.0,1.0,1.0,1,1,1,1
10958,0.3333333333333333,0.4,0.36363636363636365,0,0,6,5
11096,0.6666666666666666,1.0,0.8,0,1,6,4
11159,0.5,1.0,0.6666666666666666,0,1,2,1
11294,1.0,0.5,0.6666666666666666,0,1,2,4
11422,1.0,0.2,0.3333333333333333,0,0,1,5
11426,1.0,0.5,0.6666666666666666,0,1,1,2
11833,1.0,1.0,1.0,1,1,3,3
12344,0.0,0.0,0.0,0,0,1,4
12620,1.0,1.0,1.0,1,1,1,1
12650,1.0,0.16666666666666666,0.2857142857142857,0,0,1,6
12773,1.0,1.0,1.0,1,1,1,1
13135,1.0,0.2,0.3333333333333333,0,0,1,5
13142,0.0,0.0,0.0,0,0,6,6
13436,1.0,1.0,1.0,1,1,1,1
13684,1.0,0.5,0.6666666666666666,0,1,1,2
13689,0.6666666666666666,1.0,0.8,0,1,3,2
14070,1.0,1.0,1.0,1,1,1,1
14126,0.0,0.0,0.0,0,0,1,1
14716,1.0,0.42857142857142855,0.6,0,0,3,7
14772,0.5,0.5,0.5,0,1,2,2
14778,0.25,0.3333333333333333,0.2857142857142857,0,0,4,3
14814,0.5,1.0,0.6666666666666666,0,1,2,1
14895,1.0,0.5,0.6666666666666666,0,1,1,2
15233,0.75,1.0,0.8571428571428571,0,1,4,3
15238,1.0,1.0,1.0,1,1,1,1
15752,1.0,1.0,1.0,1,1,1,1
