Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
1017,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
1362,7,7,7,1,1,1.0,1.0,1.0
1698,2,2,1,0,1,0.5,0.5,0.5
1925,1,1,1,1,1,1.0,1.0,1.0
2088,3,3,3,1,1,1.0,1.0,1.0
2323,1,1,0,0,0,0.0,0.0,0.0
2578,5,5,5,1,1,1.0,1.0,1.0
2762,1,1,1,1,1,1.0,1.0,1.0
2777,1,1,1,1,1,1.0,1.0,1.0
2845,1,1,1,1,1,1.0,1.0,1.0
3361,2,2,1,0,1,0.5,0.5,0.5
3367,2,2,1,0,1,0.5,0.5,0.5
3476,2,2,2,1,1,1.0,1.0,1.0
3746,3,3,3,1,1,1.0,1.0,1.0
3804,1,1,1,1,1,1.0,1.0,1.0
4227,1,1,1,1,1,1.0,1.0,1.0
4309,1,1,1,1,1,1.0,1.0,1.0
4323,1,1,1,1,1,1.0,1.0,1.0
4328,3,3,3,1,1,1.0,1.0,1.0
4341,1,1,1,1,1,1.0,1.0,1.0
4445,1,1,1,1,1,1.0,1.0,1.0
4747,1,1,1,1,1,1.0,1.0,1.0
4788,1,1,1,1,1,1.0,1.0,1.0
4991,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
5077,6,6,1,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666
5466,1,1,1,1,1,1.0,1.0,1.0
5483,1,1,0,0,0,0.0,0.0,0.0
5500,2,2,2,1,1,1.0,1.0,1.0
5560,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
5690,1,1,1,1,1,1.0,1.0,1.0
5836,1,1,1,1,1,1.0,1.0,1.0
5876,4,4,4,1,1,1.0,1.0,1.0
5957,1,1,1,1,1,1.0,1.0,1.0
5978,2,2,1,0,1,0.5,0.5,0.5
6090,1,1,1,1,1,1.0,1.0,1.0
6340,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
6550,2,2,1,0,1,0.5,0.5,0.5
6561,1,1,1,1,1,1.0,1.0,1.0
6708,1,1,1,1,1,1.0,1.0,1.0
6728,1,1,1,1,1,1.0,1.0,1.0
6967,1,1,1,1,1,1.0,1.0,1.0
7040,1,1,1,1,1,1.0,1.0,1.0
7125,5,5,5,1,1,1.0,1.0,1.0
7143,1,1,1,1,1,1.0,1.0,1.0
7822,1,1,0,0,0,0.0,0.0,0.0
8020,2,2,2,1,1,1.0,1.0,1.0
8070,2,2,2,1,1,1.0,1.0,1.0
8108,6,6,0,0,0,0.0,0.0,0.0
8176,1,1,1,1,1,1.0,1.0,1.0
8178,2,2,2,1,1,1.0,1.0,1.0
8545,1,1,1,1,1,1.0,1.0,1.0
8581,1,1,1,1,1,1.0,1.0,1.0
8708,1,1,1,1,1,1.0,1.0,1.0
8722,2,2,2,1,1,1.0,1.0,1.0
8741,1,1,1,1,1,1.0,1.0,1.0
8909,3,3,3,1,1,1.0,1.0,1.0
8988,1,1,1,1,1,1.0,1.0,1.0
9148,1,1,1,1,1,1.0,1.0,1.0
9268,1,1,1,1,1,1.0,1.0,1.0
9666,1,1,1,1,1,1.0,1.0,1.0
9801,5,5,3,0,1,0.6,0.6,0.6
9806,4,4,3,0,1,0.75,0.75,0.75
9964,1,1,1,1,1,1.0,1.0,1.0
9977,2,2,2,1,1,1.0,1.0,1.0
10078,2,2,1,0,1,0.5,0.5,0.5
10198,2,2,2,1,1,1.0,1.0,1.0
10202,1,1,1,1,1,1.0,1.0,1.0
10363,1,1,1,1,1,1.0,1.0,1.0
10426,1,1,1,1,1,1.0,1.0,1.0
10494,1,1,1,1,1,1.0,1.0,1.0
10607,1,1,1,1,1,1.0,1.0,1.0
11031,4,4,1,0,0,0.25,0.25,0.25
11047,4,4,3,0,1,0.75,0.75,0.75
11095,1,1,1,1,1,1.0,1.0,1.0
11161,6,6,5,0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
11193,2,2,2,1,1,1.0,1.0,1.0
11201,1,1,1,1,1,1.0,1.0,1.0
11560,2,2,2,1,1,1.0,1.0,1.0
12119,1,1,1,1,1,1.0,1.0,1.0
12415,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
13133,1,1,1,1,1,1.0,1.0,1.0
13305,3,3,3,1,1,1.0,1.0,1.0
13398,2,2,2,1,1,1.0,1.0,1.0
13758,1,1,1,1,1,1.0,1.0,1.0
13802,1,1,0,0,0,0.0,0.0,0.0
14207,1,1,1,1,1,1.0,1.0,1.0
14539,5,5,5,1,1,1.0,1.0,1.0
14559,2,2,2,1,1,1.0,1.0,1.0
14629,1,1,1,1,1,1.0,1.0,1.0
14720,1,1,1,1,1,1.0,1.0,1.0
14915,1,1,1,1,1,1.0,1.0,1.0
15016,1,1,1,1,1,1.0,1.0,1.0
15240,7,7,6,0,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
15663,2,2,1,0,1,0.5,0.5,0.5
