Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
833,1.0,1.0,1.0,1,1,1,1
1233,0.5,0.5,0.5,0,1,2,2
1283,1.0,0.3333333333333333,0.5,0,0,1,3
1521,1.0,1.0,1.0,1,1,1,1
2423,1.0,0.5,0.6666666666666666,0,1,1,2
2424,1.0,1.0,1.0,1,1,1,1
2533,0.6666666666666666,1.0,0.8,0,1,3,2
2557,0.6666666666666666,1.0,0.8,0,1,3,2
2583,1.0,0.5,0.6666666666666666,0,1,1,2
2600,0.3333333333333333,1.0,0.5,0,1,3,1
2850,1.0,1.0,1.0,1,1,1,1
2984,0.0,0.0,0.0,0,0,2,1
3186,0.5,1.0,0.6666666666666666,0,1,2,1
3365,0.25,1.0,0.4,0,1,4,1
3684,1.0,1.0,1.0,1,1,1,1
3744,0.5,1.0,0.6666666666666666,0,1,2,1
3903,1.0,1.0,1.0,1,1,1,1
3933,0.5,1.0,0.6666666666666666,0,1,4,2
4007,1.0,1.0,1.0,1,1,1,1
4331,0.5,1.0,0.6666666666666666,0,1,2,1
4675,0.0,0.0,0.0,0,0,1,2
4694,1.0,1.0,1.0,1,1,1,1
4793,1.0,1.0,1.0,1,1,3,3
4822,1.0,1.0,1.0,1,1,1,1
5118,1.0,0.5,0.6666666666666666,0,1,1,2
5130,0.0,0.0,0.0,0,0,1,1
5215,1.0,0.5,0.6666666666666666,0,1,1,2
5256,1.0,1.0,1.0,1,1,1,1
5276,0.25,1.0,0.4,0,1,4,1
5289,1.0,1.0,1.0,1,1,1,1
5322,0.0,0.0,0.0,0,0,1,2
5487,0.25,1.0,0.4,0,1,4,1
5633,0.6666666666666666,1.0,0.8,0,1,3,2
5777,0.5,1.0,0.6666666666666666,0,1,2,1
5797,1.0,1.0,1.0,1,1,1,1
5813,1.0,1.0,1.0,1,1,4,4
5930,1.0,1.0,1.0,1,1,1,1
5947,0.0,0.0,0.0,0,0,4,4
6231,1.0,1.0,1.0,1,1,1,1
6426,0.0,0.0,0.0,0,0,1,5
6514,1.0,1.0,1.0,1,1,1,1
6568,1.0,1.0,1.0,1,1,1,1
6733,1.0,1.0,1.0,1,1,1,1
6833,0.0,0.0,0.0,0,0,1,4
8249,1.0,1.0,1.0,1,1,1,1
8538,0.0,0.0,0.0,0,0,3,1
8572,1.0,1.0,1.0,1,1,1,1
8614,0.5,0.25,0.3333333333333333,0,0,2,4
9202,1.0,1.0,1.0,1,1,3,3
9533,1.0,0.5,0.6666666666666666,0,1,1,2
9640,1.0,1.0,1.0,1,1,1,1
9812,0.5,1.0,0.6666666666666666,0,1,2,1
9962,0.3333333333333333,0.2,0.25,0,0,3,5
9973,0.0,0.0,0.0,0,0,1,1
10289,1.0,0.6666666666666666,0.8,0,1,2,3
10388,1.0,0.5,0.6666666666666666,0,1,3,6
10461,0.3333333333333333,1.0,0.5,0,1,3,1
10490,0.0,0.0,0.0,0,0,1,1
10535,1.0,1.0,1.0,1,1,1,1
10709,1.0,0.16666666666666666,0.2857142857142857,0,0,1,6
10823,1.0,0.3333333333333333,0.5,0,0,2,6
11168,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,3,3
11277,1.0,1.0,1.0,1,1,1,1
12130,1.0,1.0,1.0,1,1,1,1
12208,1.0,0.5,0.6666666666666666,0,1,1,2
12315,0.25,0.5,0.3333333333333333,0,1,4,2
12334,0.6666666666666666,1.0,0.8,0,1,3,2
12353,0.5,1.0,0.6666666666666666,0,1,2,1
12532,0.0,0.0,0.0,0,0,1,1
12540,0.0,0.0,0.0,0,0,2,1
12545,1.0,1.0,1.0,1,1,1,1
12779,1.0,0.14285714285714285,0.25,0,0,1,7
12916,1.0,0.5,0.6666666666666666,0,1,1,2
12927,1.0,0.5,0.6666666666666666,0,1,1,2
12945,0.6666666666666666,0.4,0.5,0,0,3,5
13222,1.0,1.0,1.0,1,1,3,3
13465,0.25,1.0,0.4,0,1,4,1
13492,1.0,1.0,1.0,1,1,1,1
13560,1.0,1.0,1.0,1,1,1,1
13750,1.0,0.3333333333333333,0.5,0,0,1,3
13772,1.0,0.3333333333333333,0.5,0,0,1,3
13980,1.0,1.0,1.0,1,1,1,1
14134,1.0,1.0,1.0,1,1,1,1
14499,1.0,0.6666666666666666,0.8,0,1,2,3
14567,1.0,1.0,1.0,1,1,1,1
14761,1.0,1.0,1.0,1,1,1,1
15204,1.0,1.0,1.0,1,1,1,1
15453,1.0,1.0,1.0,1,1,1,1
15493,1.0,0.14285714285714285,0.25,0,0,1,7
15671,1.0,1.0,1.0,1,1,3,3
15737,1.0,1.0,1.0,1,1,1,1
16042,1.0,0.8,0.8888888888888888,0,1,4,5
16098,1.0,0.5,0.6666666666666666,0,1,1,2
