Issue,K,MRR,NDCG_at_K,P_at_K
1231,6,1.0,0.601312434202259,0.5
1641,1,1.0,1.0,1.0
1684,3,1.0,1.0,1.0
1691,3,1.0,0.7039180890341347,0.6666666666666666
1879,1,1.0,1.0,1.0
2129,1,1.0,1.0,1.0
2446,2,1.0,1.0,1.0
2532,1,1.0,1.0,1.0
2560,1,1.0,1.0,1.0
2619,1,1.0,1.0,1.0
3057,1,1.0,1.0,1.0
3408,1,1.0,1.0,1.0
3573,1,1.0,1.0,1.0
3797,3,1.0,0.7039180890341347,0.6666666666666666
4008,1,1.0,1.0,1.0
4219,1,1.0,1.0,1.0
4551,1,1.0,1.0,1.0
4685,1,1.0,1.0,1.0
4861,2,1.0,1.0,1.0
5001,2,1.0,0.6131471927654584,0.5
5076,1,0.25,0.0,0.0
5100,2,1.0,1.0,1.0
5200,2,1.0,1.0,1.0
5355,6,1.0,0.41966500663677697,0.3333333333333333
5619,1,1.0,1.0,1.0
5855,1,1.0,1.0,1.0
5948,5,1.0,1.0,1.0
6007,3,1.0,1.0,1.0
6027,1,1.0,1.0,1.0
6058,3,1.0,1.0,1.0
6226,1,1.0,1.0,1.0
6293,2,0.16666666666666666,0.0,0.0
6428,1,1.0,1.0,1.0
6449,1,1.0,1.0,1.0
6481,2,0.125,0.0,0.0
6529,1,0.5,0.0,0.0
6544,2,1.0,0.6131471927654584,0.5
6676,1,0.16666666666666666,0.0,0.0
7161,1,1.0,1.0,1.0
7425,1,1.0,1.0,1.0
7514,1,1.0,1.0,1.0
7631,1,1.0,1.0,1.0
8241,2,1.0,1.0,1.0
8387,4,1.0,0.3903800499921017,0.25
8695,2,1.0,1.0,1.0
8733,1,1.0,1.0,1.0
8811,1,1.0,1.0,1.0
8961,5,1.0,0.4703652827859579,0.4
8996,2,1.0,1.0,1.0
9049,1,1.0,1.0,1.0
9130,1,1.0,1.0,1.0
9278,1,1.0,1.0,1.0
9318,1,1.0,1.0,1.0
9339,1,1.0,1.0,1.0
9544,1,1.0,1.0,1.0
9589,3,1.0,0.7653606369886217,0.6666666666666666
9687,4,1.0,1.0,1.0
9810,1,1.0,1.0,1.0
9832,1,1.0,1.0,1.0
9863,2,1.0,1.0,1.0
10035,1,1.0,1.0,1.0
10191,1,1.0,1.0,1.0
10192,4,1.0,0.8318724637288826,0.75
10269,1,1.0,1.0,1.0
10563,2,0.5,0.38685280723454163,0.5
10575,1,1.0,1.0,1.0
10610,1,1.0,1.0,1.0
10735,1,1.0,1.0,1.0
11014,6,1.0,1.0,1.0
11216,1,1.0,1.0,1.0
11680,1,1.0,1.0,1.0
11776,1,1.0,1.0,1.0
12129,2,1.0,1.0,1.0
12132,3,1.0,0.46927872602275644,0.3333333333333333
12290,3,1.0,0.7039180890341347,0.6666666666666666
12359,5,1.0,0.6164336326286644,0.6
12434,2,0.3333333333333333,0.0,0.0
12473,5,1.0,1.0,1.0
12493,7,1.0,0.6920788373899056,0.5714285714285714
12658,1,0.5,0.0,0.0
12765,1,0.14285714285714285,0.0,0.0
13042,1,1.0,1.0,1.0
13184,2,1.0,0.6131471927654584,0.5
13443,2,1.0,1.0,1.0
13670,1,1.0,1.0,1.0
13931,1,1.0,1.0,1.0
14809,3,1.0,0.46927872602275644,0.3333333333333333
15191,1,1.0,1.0,1.0
15305,1,0.09090909090909091,0.0,0.0
15328,2,1.0,1.0,1.0
15843,4,1.0,1.0,1.0
16038,3,1.0,1.0,1.0
