Issue,K,MRR,NDCG_at_K,P_at_K
167,1,1.0,1.0,1.0
293,1,1.0,1.0,1.0
330,1,0.3333333333333333,0.0,0.0
337,2,1.0,1.0,1.0
404,2,1.0,0.6131471927654584,0.5
459,1,1.0,1.0,1.0
471,1,1.0,1.0,1.0
480,3,1.0,0.7653606369886217,0.6666666666666666
550,1,1.0,1.0,1.0
598,5,1.0,0.830419897363192,0.8
604,2,1.0,1.0,1.0
897,5,0.5,0.21398626473452756,0.2
954,4,1.0,0.5855700749881525,0.5
961,3,1.0,0.7653606369886217,0.6666666666666666
1006,1,1.0,1.0,1.0
1109,3,1.0,1.0,1.0
1111,1,1.0,1.0,1.0
1117,3,1.0,0.7653606369886217,0.6666666666666666
1150,3,1.0,1.0,1.0
1160,7,1.0,0.9020870746500321,0.8571428571428571
1303,3,0.5,0.2960819109658652,0.3333333333333333
1319,2,1.0,0.6131471927654584,0.5
1328,7,1.0,0.7041249493150387,0.5714285714285714
1434,3,1.0,0.46927872602275644,0.3333333333333333
1520,6,1.0,0.8829374068620365,0.8333333333333334
1595,1,1.0,1.0,1.0
1649,5,1.0,1.0,1.0
1661,5,0.5,0.21398626473452756,0.2
1761,2,1.0,1.0,1.0
1855,3,1.0,1.0,1.0
2145,1,1.0,1.0,1.0
2226,1,1.0,1.0,1.0
2366,3,1.0,1.0,1.0
2405,1,1.0,1.0,1.0
2423,1,1.0,1.0,1.0
2546,5,1.0,0.8687949224876582,0.8
2607,2,1.0,1.0,1.0
3112,1,1.0,1.0,1.0
3180,3,1.0,1.0,1.0
3236,7,1.0,0.8104616303452685,0.7142857142857143
3281,7,1.0,0.8020378746650065,0.7142857142857143
3355,1,1.0,1.0,1.0
3756,1,1.0,1.0,1.0
3791,1,1.0,1.0,1.0
3816,1,1.0,1.0,1.0
3978,3,1.0,1.0,1.0
4288,6,1.0,0.7751482523375255,0.6666666666666666
4426,1,1.0,1.0,1.0
4515,1,1.0,1.0,1.0
5095,2,1.0,0.6131471927654584,0.5
5442,1,1.0,1.0,1.0
5587,1,1.0,1.0,1.0
5706,1,1.0,1.0,1.0
6148,2,1.0,0.6131471927654584,0.5
6292,6,1.0,0.8090791338210652,0.8333333333333334
6469,2,1.0,1.0,1.0
6769,4,0.2,0.0,0.0
6794,1,1.0,1.0,1.0
7239,1,1.0,1.0,1.0
7364,6,1.0,0.4329261794091841,0.3333333333333333
7474,4,1.0,1.0,1.0
7633,1,1.0,1.0,1.0
7907,1,1.0,1.0,1.0
7930,1,1.0,1.0,1.0
7974,2,1.0,1.0,1.0
8245,1,1.0,1.0,1.0
8248,4,1.0,0.8048099750039491,0.75
8276,2,1.0,1.0,1.0
8386,5,1.0,1.0,1.0
8415,2,1.0,0.6131471927654584,0.5
8582,1,1.0,1.0,1.0
8825,1,1.0,1.0,1.0
8887,1,1.0,1.0,1.0
9073,1,1.0,1.0,1.0
9099,1,1.0,1.0,1.0
9336,3,1.0,1.0,1.0
9615,1,1.0,1.0,1.0
9693,1,1.0,1.0,1.0
9764,1,1.0,1.0,1.0
10412,1,1.0,1.0,1.0
10592,1,1.0,1.0,1.0
10593,1,1.0,1.0,1.0
11026,1,1.0,1.0,1.0
11118,4,1.0,0.8318724637288826,0.75
11397,1,1.0,1.0,1.0
11777,2,1.0,1.0,1.0
11922,4,1.0,0.8318724637288826,0.75
11968,1,0.5,0.0,0.0
12325,6,1.0,0.8486987932505933,0.8333333333333334
12525,5,1.0,1.0,1.0
12680,1,1.0,1.0,1.0
12711,2,1.0,0.6131471927654584,0.5
13131,2,1.0,0.6131471927654584,0.5
13376,2,1.0,1.0,1.0
13606,1,1.0,1.0,1.0
13818,5,1.0,0.7227265726449519,0.6
13901,4,1.0,1.0,1.0
13967,5,1.0,1.0,1.0
13968,1,1.0,1.0,1.0
14098,2,1.0,0.6131471927654584,0.5
14162,3,1.0,0.7039180890341347,0.6666666666666666
14286,2,1.0,0.6131471927654584,0.5
14403,1,1.0,1.0,1.0
14524,1,0.5,0.0,0.0
14670,1,1.0,1.0,1.0
14850,2,1.0,1.0,1.0
14953,6,1.0,1.0,1.0
15063,4,1.0,1.0,1.0
15139,2,1.0,1.0,1.0
15378,2,1.0,1.0,1.0
15462,2,1.0,1.0,1.0
