Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
8,0.5,1.0,0.6666666666666666,0,1,2,1
78,1.0,0.5,0.6666666666666666,0,1,1,2
155,0.16666666666666666,0.14285714285714285,0.15384615384615385,0,0,6,7
157,0.25,1.0,0.4,0,1,4,1
161,0.25,0.5,0.3333333333333333,0,1,4,2
217,0.4444444444444444,1.0,0.6153846153846154,0,1,9,4
278,1.0,1.0,1.0,1,1,1,1
408,1.0,1.0,1.0,1,1,1,1
423,1.0,1.0,1.0,1,1,1,1
446,0.1111111111111111,0.5,0.18181818181818182,0,1,9,2
510,0.5,1.0,0.6666666666666666,0,1,2,1
553,0.25,1.0,0.4,0,1,4,1
763,0.5714285714285714,1.0,0.7272727272727273,0,1,7,4
787,0.5,0.25,0.3333333333333333,0,0,2,4
915,1.0,1.0,1.0,1,1,2,2
970,1.0,1.0,1.0,1,1,1,1
1023,0.1,1.0,0.18181818181818182,0,1,10,1
1028,0.3333333333333333,0.2857142857142857,0.3076923076923077,0,0,6,7
1056,0.16666666666666666,0.3333333333333333,0.2222222222222222,0,0,6,3
1225,0.3333333333333333,1.0,0.5,0,1,3,1
1441,1.0,1.0,1.0,1,1,1,1
1502,0.2857142857142857,1.0,0.4444444444444444,0,1,7,2
1513,1.0,1.0,1.0,1,1,1,1
1574,1.0,1.0,1.0,1,1,2,2
1594,0.6666666666666666,1.0,0.8,0,1,3,2
1597,1.0,0.5,0.6666666666666666,0,1,2,4
1680,0.75,1.0,0.8571428571428571,0,1,8,6
1693,0.5,1.0,0.6666666666666666,0,1,2,1
1791,1.0,1.0,1.0,1,1,6,6
2045,1.0,1.0,1.0,1,1,7,7
2065,1.0,0.2,0.3333333333333333,0,0,1,5
2094,1.0,1.0,1.0,1,1,1,1
2308,0.0,0.0,0.0,0,0,3,3
2476,1.0,1.0,1.0,1,1,1,1
2786,0.5,1.0,0.6666666666666666,0,1,2,1
2794,0.5,1.0,0.6666666666666666,0,1,2,1
3776,0.125,0.5,0.2,0,1,8,2
