Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
32,1,1,0,0,0,0.0,0.0,0.0
58,1,1,1,1,1,1.0,1.0,1.0
77,2,2,2,1,1,1.0,1.0,1.0
178,1,1,1,1,1,1.0,1.0,1.0
182,3,3,3,1,1,1.0,1.0,1.0
212,2,2,1,0,1,0.5,0.5,0.5
260,1,1,1,1,1,1.0,1.0,1.0
305,1,1,1,1,1,1.0,1.0,1.0
397,1,1,1,1,1,1.0,1.0,1.0
409,2,2,2,1,1,1.0,1.0,1.0
410,1,1,1,1,1,1.0,1.0,1.0
575,2,2,0,0,0,0.0,0.0,0.0
765,4,4,4,1,1,1.0,1.0,1.0
809,1,1,1,1,1,1.0,1.0,1.0
831,1,1,1,1,1,1.0,1.0,1.0
865,3,3,3,1,1,1.0,1.0,1.0
1088,6,6,4,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
1220,4,4,4,1,1,1.0,1.0,1.0
1511,3,3,3,1,1,1.0,1.0,1.0
1593,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
1596,2,2,0,0,0,0.0,0.0,0.0
1666,1,1,1,1,1,1.0,1.0,1.0
1775,3,3,3,1,1,1.0,1.0,1.0
2482,3,3,3,1,1,1.0,1.0,1.0
2587,2,2,2,1,1,1.0,1.0,1.0
2590,5,5,4,0,1,0.8,0.8,0.8
2962,2,2,0,0,0,0.0,0.0,0.0
3167,1,1,1,1,1,1.0,1.0,1.0
3285,1,1,1,1,1,1.0,1.0,1.0
3303,4,4,1,0,0,0.25,0.25,0.25
3363,3,3,3,1,1,1.0,1.0,1.0
3372,5,5,1,0,0,0.2,0.2,0.2
3629,2,2,1,0,1,0.5,0.5,0.5
3634,1,1,1,1,1,1.0,1.0,1.0
3762,1,1,1,1,1,1.0,1.0,1.0
4116,4,4,3,0,1,0.75,0.75,0.75
4613,1,1,1,1,1,1.0,1.0,1.0
4686,5,5,5,1,1,1.0,1.0,1.0
4794,3,3,3,1,1,1.0,1.0,1.0
4876,3,3,3,1,1,1.0,1.0,1.0
5002,2,2,1,0,1,0.5,0.5,0.5
5321,1,1,1,1,1,1.0,1.0,1.0
5468,7,7,3,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855
5974,1,1,1,1,1,1.0,1.0,1.0
5990,1,1,1,1,1,1.0,1.0,1.0
6375,2,2,1,0,1,0.5,0.5,0.5
6430,7,7,5,0,1,0.7142857142857143,0.7142857142857143,0.7142857142857143
6675,1,1,1,1,1,1.0,1.0,1.0
6679,1,1,0,0,0,0.0,0.0,0.0
6888,1,1,1,1,1,1.0,1.0,1.0
7023,1,1,1,1,1,1.0,1.0,1.0
7100,5,5,5,1,1,1.0,1.0,1.0
7122,1,1,1,1,1,1.0,1.0,1.0
7292,5,5,4,0,1,0.8,0.8,0.8
7371,1,1,0,0,0,0.0,0.0,0.0
7377,7,7,6,0,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
7386,2,2,2,1,1,1.0,1.0,1.0
7530,1,1,0,0,0,0.0,0.0,0.0
7663,2,2,2,1,1,1.0,1.0,1.0
7721,1,1,1,1,1,1.0,1.0,1.0
8390,2,2,2,1,1,1.0,1.0,1.0
8485,1,1,1,1,1,1.0,1.0,1.0
8665,1,1,1,1,1,1.0,1.0,1.0
8855,1,1,1,1,1,1.0,1.0,1.0
9025,2,2,2,1,1,1.0,1.0,1.0
9078,6,6,1,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666
9081,4,4,4,1,1,1.0,1.0,1.0
9127,4,4,4,1,1,1.0,1.0,1.0
9207,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
9290,2,2,1,0,1,0.5,0.5,0.5
9462,5,5,5,1,1,1.0,1.0,1.0
9527,1,1,1,1,1,1.0,1.0,1.0
9712,1,1,0,0,0,0.0,0.0,0.0
9723,1,1,1,1,1,1.0,1.0,1.0
10022,1,1,1,1,1,1.0,1.0,1.0
10058,1,1,1,1,1,1.0,1.0,1.0
10213,3,3,3,1,1,1.0,1.0,1.0
10220,5,5,4,0,1,0.8,0.8,0.8
10247,1,1,1,1,1,1.0,1.0,1.0
10356,2,2,2,1,1,1.0,1.0,1.0
