Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
167,1,1,1,1,1,1.0,1.0,1.0
293,1,1,1,1,1,1.0,1.0,1.0
330,1,1,0,0,0,0.0,0.0,0.0
337,2,2,2,1,1,1.0,1.0,1.0
404,2,2,1,0,1,0.5,0.5,0.5
459,1,1,1,1,1,1.0,1.0,1.0
471,1,1,1,1,1,1.0,1.0,1.0
480,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
550,1,1,1,1,1,1.0,1.0,1.0
598,5,5,4,0,1,0.8,0.8,0.8
604,2,2,2,1,1,1.0,1.0,1.0
897,5,5,1,0,0,0.2,0.2,0.2
954,4,4,1,0,0,0.25,0.25,0.25
961,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
1006,1,1,1,1,1,1.0,1.0,1.0
1109,3,3,3,1,1,1.0,1.0,1.0
1111,1,1,1,1,1,1.0,1.0,1.0
1117,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
1150,3,3,3,1,1,1.0,1.0,1.0
1160,7,7,6,0,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
1303,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
1319,2,2,1,0,1,0.5,0.5,0.5
1328,7,7,4,0,1,0.5714285714285714,0.5714285714285714,0.5714285714285714
1434,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
1520,6,6,5,0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
1595,1,1,1,1,1,1.0,1.0,1.0
1649,5,5,5,1,1,1.0,1.0,1.0
1661,5,5,3,0,1,0.6,0.6,0.6
1761,2,2,2,1,1,1.0,1.0,1.0
1855,3,3,3,1,1,1.0,1.0,1.0
2145,1,1,1,1,1,1.0,1.0,1.0
2226,1,1,1,1,1,1.0,1.0,1.0
2366,3,3,3,1,1,1.0,1.0,1.0
2405,1,1,1,1,1,1.0,1.0,1.0
2423,1,1,1,1,1,1.0,1.0,1.0
2546,5,5,4,0,1,0.8,0.8,0.8
2607,2,2,2,1,1,1.0,1.0,1.0
3112,1,1,1,1,1,1.0,1.0,1.0
3180,3,3,3,1,1,1.0,1.0,1.0
3236,7,7,3,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855
3281,7,7,5,0,1,0.7142857142857143,0.7142857142857143,0.7142857142857143
3355,1,1,1,1,1,1.0,1.0,1.0
3756,1,1,1,1,1,1.0,1.0,1.0
3791,1,1,1,1,1,1.0,1.0,1.0
3816,1,1,1,1,1,1.0,1.0,1.0
3978,3,3,3,1,1,1.0,1.0,1.0
4288,6,6,5,0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
4426,1,1,1,1,1,1.0,1.0,1.0
4515,1,1,1,1,1,1.0,1.0,1.0
5095,2,2,2,1,1,1.0,1.0,1.0
5442,1,1,1,1,1,1.0,1.0,1.0
5587,1,1,1,1,1,1.0,1.0,1.0
5706,1,1,1,1,1,1.0,1.0,1.0
6148,2,2,1,0,1,0.5,0.5,0.5
6292,6,6,4,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
6469,2,2,2,1,1,1.0,1.0,1.0
6769,4,4,0,0,0,0.0,0.0,0.0
6794,1,1,1,1,1,1.0,1.0,1.0
7239,1,1,1,1,1,1.0,1.0,1.0
7364,6,6,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
7474,4,4,4,1,1,1.0,1.0,1.0
7633,1,1,1,1,1,1.0,1.0,1.0
7907,1,1,1,1,1,1.0,1.0,1.0
7930,1,1,1,1,1,1.0,1.0,1.0
7974,2,2,2,1,1,1.0,1.0,1.0
8245,1,1,1,1,1,1.0,1.0,1.0
8248,4,4,3,0,1,0.75,0.75,0.75
8276,2,2,2,1,1,1.0,1.0,1.0
8386,5,5,5,1,1,1.0,1.0,1.0
8415,2,2,2,1,1,1.0,1.0,1.0
8582,1,1,1,1,1,1.0,1.0,1.0
8825,1,1,1,1,1,1.0,1.0,1.0
8887,1,1,1,1,1,1.0,1.0,1.0
9073,1,1,1,1,1,1.0,1.0,1.0
9099,1,1,1,1,1,1.0,1.0,1.0
9336,3,3,3,1,1,1.0,1.0,1.0
9615,1,1,1,1,1,1.0,1.0,1.0
9693,1,1,1,1,1,1.0,1.0,1.0
9764,1,1,1,1,1,1.0,1.0,1.0
10412,1,1,1,1,1,1.0,1.0,1.0
10592,1,1,1,1,1,1.0,1.0,1.0
10593,1,1,1,1,1,1.0,1.0,1.0
11026,1,1,1,1,1,1.0,1.0,1.0
11118,4,4,4,1,1,1.0,1.0,1.0
11397,1,1,1,1,1,1.0,1.0,1.0
11777,2,2,2,1,1,1.0,1.0,1.0
11922,4,4,3,0,1,0.75,0.75,0.75
11968,1,1,0,0,0,0.0,0.0,0.0
12325,6,6,5,0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
12525,5,5,5,1,1,1.0,1.0,1.0
12680,1,1,1,1,1,1.0,1.0,1.0
12711,2,2,1,0,1,0.5,0.5,0.5
13131,2,2,1,0,1,0.5,0.5,0.5
13376,2,2,2,1,1,1.0,1.0,1.0
13606,1,1,1,1,1,1.0,1.0,1.0
13818,5,5,5,1,1,1.0,1.0,1.0
13901,4,4,4,1,1,1.0,1.0,1.0
13967,5,5,5,1,1,1.0,1.0,1.0
13968,1,1,1,1,1,1.0,1.0,1.0
14098,2,2,1,0,1,0.5,0.5,0.5
14162,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
14286,2,2,1,0,1,0.5,0.5,0.5
14403,1,1,1,1,1,1.0,1.0,1.0
14524,1,1,0,0,0,0.0,0.0,0.0
14670,1,1,1,1,1,1.0,1.0,1.0
14850,2,2,2,1,1,1.0,1.0,1.0
14953,6,6,6,1,1,1.0,1.0,1.0
15063,4,4,4,1,1,1.0,1.0,1.0
15139,2,2,2,1,1,1.0,1.0,1.0
15378,2,2,1,0,1,0.5,0.5,0.5
15462,2,2,2,1,1,1.0,1.0,1.0
