Issue,K,MRR,NDCG_at_K,P_at_K
8,1,1.0,1.0,1.0
78,2,1.0,0.6131471927654584,0.5
155,7,1.0,0.27487633291429087,0.14285714285714285
157,1,1.0,1.0,1.0
161,2,1.0,0.6131471927654584,0.5
217,4,1.0,0.5855700749881525,0.5
278,1,1.0,1.0,1.0
408,1,1.0,1.0,1.0
423,1,1.0,1.0,1.0
446,2,0.16666666666666666,0.0,0.0
510,1,1.0,1.0,1.0
553,1,0.3333333333333333,0.0,0.0
763,4,1.0,0.8048099750039491,0.75
787,4,1.0,0.3903800499921017,0.25
915,2,1.0,1.0,1.0
970,1,1.0,1.0,1.0
1023,1,1.0,1.0,1.0
1028,7,0.2,0.20424960638019762,0.2857142857142857
1056,3,1.0,0.46927872602275644,0.3333333333333333
1225,1,1.0,1.0,1.0
1441,1,1.0,1.0,1.0
1502,2,0.5,0.38685280723454163,0.5
1513,1,1.0,1.0,1.0
1574,2,1.0,1.0,1.0
1594,2,1.0,1.0,1.0
1597,4,1.0,0.6366824387328317,0.5
1680,6,1.0,0.892210845475489,0.8333333333333334
1693,1,1.0,1.0,1.0
1791,6,1.0,1.0,1.0
2045,7,1.0,1.0,1.0
2065,5,1.0,0.639945385422766,0.6
2094,1,1.0,1.0,1.0
2308,3,0.2,0.0,0.0
2476,1,1.0,1.0,1.0
2786,1,1.0,1.0,1.0
2794,1,1.0,1.0,1.0
3776,2,0.16666666666666666,0.0,0.0
4090,2,1.0,0.6131471927654584,0.5
4134,1,1.0,1.0,1.0
4284,2,1.0,1.0,1.0
4718,2,1.0,1.0,1.0
4835,1,1.0,1.0,1.0
5269,1,1.0,1.0,1.0
5676,1,1.0,1.0,1.0
6042,2,1.0,0.6131471927654584,0.5
6124,2,1.0,0.6131471927654584,0.5
6155,1,0.3333333333333333,0.0,0.0
6203,2,1.0,1.0,1.0
6230,2,0.5,0.38685280723454163,0.5
6388,1,1.0,1.0,1.0
6741,1,1.0,1.0,1.0
6820,1,1.0,1.0,1.0
6833,4,1.0,1.0,1.0
6873,1,1.0,1.0,1.0
6945,1,1.0,1.0,1.0
7118,3,1.0,1.0,1.0
7174,3,1.0,0.7653606369886217,0.6666666666666666
7250,4,1.0,0.6366824387328317,0.5
7466,1,1.0,1.0,1.0
7625,3,0.3333333333333333,0.23463936301137822,0.3333333333333333
7644,6,1.0,1.0,1.0
7658,1,1.0,1.0,1.0
7830,6,1.0,1.0,1.0
7879,7,1.0,0.8265723430117605,0.8571428571428571
7935,2,1.0,1.0,1.0
7982,3,0.14285714285714285,0.0,0.0
8025,5,1.0,0.6992148198508501,0.6
8045,5,1.0,1.0,1.0
8296,3,1.0,1.0,1.0
8331,2,1.0,1.0,1.0
8457,3,1.0,0.46927872602275644,0.3333333333333333
8864,1,1.0,1.0,1.0
8989,4,1.0,1.0,1.0
8990,1,1.0,1.0,1.0
9074,5,1.0,0.7227265726449519,0.6
9485,2,1.0,1.0,1.0
9494,1,1.0,1.0,1.0
10004,1,1.0,1.0,1.0
10040,1,1.0,1.0,1.0
10046,1,1.0,1.0,1.0
10135,1,1.0,1.0,1.0
10225,3,1.0,0.7653606369886217,0.6666666666666666
10636,1,1.0,1.0,1.0
11518,1,1.0,1.0,1.0
11688,5,1.0,1.0,1.0
11747,4,1.0,1.0,1.0
11939,1,1.0,1.0,1.0
12054,5,1.0,0.3391602052736161,0.2
12281,2,1.0,1.0,1.0
12310,6,1.0,0.4539036202482202,0.3333333333333333
12717,5,1.0,0.7227265726449519,0.6
12809,3,1.0,1.0,1.0
13065,3,1.0,1.0,1.0
13119,1,1.0,1.0,1.0
13261,2,0.25,0.0,0.0
13403,1,1.0,1.0,1.0
13498,1,1.0,1.0,1.0
13499,1,1.0,1.0,1.0
13696,5,1.0,1.0,1.0
13727,2,1.0,1.0,1.0
13738,1,1.0,1.0,1.0
13924,1,1.0,1.0,1.0
14340,6,1.0,0.7526136409516659,0.6666666666666666
14892,1,1.0,1.0,1.0
15186,1,1.0,1.0,1.0
15370,1,1.0,1.0,1.0
15509,1,1.0,1.0,1.0
15631,3,1.0,1.0,1.0
