Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
309,5,5,5,1,1,1.0,1.0,1.0
3368,1,1,1,1,1,1.0,1.0,1.0
3553,2,2,2,1,1,1.0,1.0,1.0
3595,2,2,2,1,1,1.0,1.0,1.0
4284,4,4,1,0,0,0.25,0.25,0.25
4584,1,1,1,1,1,1.0,1.0,1.0
5685,3,3,3,1,1,1.0,1.0,1.0
9176,6,6,5,0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334
9511,2,2,1,0,1,0.5,0.5,0.5
9604,1,1,1,1,1,1.0,1.0,1.0
9838,1,1,1,1,1,1.0,1.0,1.0
9847,2,2,1,0,1,0.5,0.5,0.5
9865,7,7,6,0,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
9976,6,6,6,1,1,1.0,1.0,1.0
10152,1,1,1,1,1,1.0,1.0,1.0
10224,2,2,2,1,1,1.0,1.0,1.0
10453,3,3,0,0,0,0.0,0.0,0.0
11568,1,1,1,1,1,1.0,1.0,1.0
11735,1,1,0,0,0,0.0,0.0,0.0
11772,1,1,1,1,1,1.0,1.0,1.0
12318,1,1,1,1,1,1.0,1.0,1.0
12329,1,1,1,1,1,1.0,1.0,1.0
12417,1,1,1,1,1,1.0,1.0,1.0
12745,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
12925,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
13032,2,2,2,1,1,1.0,1.0,1.0
13037,1,1,0,0,0,0.0,0.0,0.0
13090,1,1,1,1,1,1.0,1.0,1.0
13220,3,3,0,0,0,0.0,0.0,0.0
13300,7,7,6,0,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
13333,5,5,4,0,1,0.8,0.8,0.8
13365,4,4,0,0,0,0.0,0.0,0.0
13440,1,1,1,1,1,1.0,1.0,1.0
13710,1,1,1,1,1,1.0,1.0,1.0
13760,1,1,0,0,0,0.0,0.0,0.0
13786,1,1,1,1,1,1.0,1.0,1.0
13956,1,1,1,1,1,1.0,1.0,1.0
14185,1,1,1,1,1,1.0,1.0,1.0
14402,4,4,4,1,1,1.0,1.0,1.0
14505,5,5,5,1,1,1.0,1.0,1.0
14736,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
14936,1,1,1,1,1,1.0,1.0,1.0
15152,4,4,4,1,1,1.0,1.0,1.0
15543,3,3,0,0,0,0.0,0.0,0.0
15612,1,1,1,1,1,1.0,1.0,1.0
16021,1,1,1,1,1,1.0,1.0,1.0
16338,4,4,1,0,0,0.25,0.25,0.25
16399,2,2,1,0,1,0.5,0.5,0.5
16642,5,5,1,0,0,0.2,0.2,0.2
16723,7,7,6,0,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
16747,1,1,1,1,1,1.0,1.0,1.0
16959,7,7,7,1,1,1.0,1.0,1.0
17040,1,1,1,1,1,1.0,1.0,1.0
17056,4,4,4,1,1,1.0,1.0,1.0
17226,2,2,1,0,1,0.5,0.5,0.5
17299,1,1,0,0,0,0.0,0.0,0.0
17332,6,6,6,1,1,1.0,1.0,1.0
17359,1,1,0,0,0,0.0,0.0,0.0
17628,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
17669,1,1,1,1,1,1.0,1.0,1.0
17704,1,1,1,1,1,1.0,1.0,1.0
17787,1,1,1,1,1,1.0,1.0,1.0
17918,2,2,1,0,1,0.5,0.5,0.5
18007,1,1,1,1,1,1.0,1.0,1.0
18229,1,1,0,0,0,0.0,0.0,0.0
18367,1,1,1,1,1,1.0,1.0,1.0
18372,1,1,1,1,1,1.0,1.0,1.0
18400,2,2,2,1,1,1.0,1.0,1.0
18414,4,4,2,0,1,0.5,0.5,0.5
18547,1,1,1,1,1,1.0,1.0,1.0
18680,3,3,0,0,0,0.0,0.0,0.0
18849,2,2,1,0,1,0.5,0.5,0.5
18911,1,1,1,1,1,1.0,1.0,1.0
18938,2,2,0,0,0,0.0,0.0,0.0
19256,2,2,2,1,1,1.0,1.0,1.0
19360,2,2,0,0,0,0.0,0.0,0.0
19595,1,1,1,1,1,1.0,1.0,1.0
19811,4,4,4,1,1,1.0,1.0,1.0
20145,3,3,3,1,1,1.0,1.0,1.0
