Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
751,1.0,1.0,1.0,1,1,1,1
2392,1.0,1.0,1.0,1,1,1,1
8159,1.0,0.6,0.75,0,1,3,5
8283,1.0,1.0,1.0,1,1,1,1
8524,1.0,0.2857142857142857,0.4444444444444444,0,0,2,7
9611,0.2,0.25,0.2222222222222222,0,0,5,4
9655,1.0,0.6666666666666666,0.8,0,1,4,6
9997,1.0,1.0,1.0,1,1,1,1
10146,0.5,0.5,0.5,0,1,2,2
10856,0.0,0.0,0.0,0,0,1,1
10870,0.07692307692307693,1.0,0.14285714285714285,0,1,13,1
10873,0.6666666666666666,0.3333333333333333,0.4444444444444444,0,0,3,6
11352,1.0,1.0,1.0,1,1,2,2
11688,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
11699,0.0,0.0,0.0,0,0,1,1
12036,0.0,0.0,0.0,0,0,9,1
12089,0.3333333333333333,1.0,0.5,0,1,3,1
12406,1.0,1.0,1.0,1,1,1,1
12807,1.0,0.5,0.6666666666666666,0,1,1,2
12885,0.3333333333333333,1.0,0.5,0,1,3,1
12970,0.0,0.0,0.0,0,0,1,5
13320,1.0,1.0,1.0,1,1,4,4
13446,1.0,0.8571428571428571,0.9230769230769231,0,1,6,7
13449,0.0,0.0,0.0,0,0,13,1
13484,0.3333333333333333,0.5,0.4,0,1,3,2
13817,0.75,0.75,0.75,0,1,4,4
13976,1.0,1.0,1.0,1,1,1,1
14125,0.09090909090909091,0.2,0.125,0,0,11,5
14304,0.0,0.0,0.0,0,0,1,1
14396,1.0,0.8333333333333334,0.9090909090909091,0,1,5,6
14583,0.5,0.25,0.3333333333333333,0,0,2,4
14875,0.6666666666666666,0.2857142857142857,0.4,0,0,3,7
15025,1.0,1.0,1.0,1,1,4,4
15375,1.0,1.0,1.0,1,1,2,2
15535,0.5,0.5,0.5,0,1,2,2
15555,0.25,1.0,0.4,0,1,8,2
15636,1.0,0.3333333333333333,0.5,0,0,1,3
15670,0.3333333333333333,1.0,0.5,0,1,3,1
16146,0.0,0.0,0.0,0,0,3,1
16270,1.0,0.3333333333333333,0.5,0,0,1,3
16535,0.125,0.3333333333333333,0.18181818181818182,0,0,8,3
16687,0.14285714285714285,1.0,0.25,0,1,7,1
16887,0.4,0.6666666666666666,0.5,0,1,5,3
17020,0.06666666666666667,1.0,0.125,0,1,15,1
17105,0.8333333333333334,1.0,0.9090909090909091,0,1,6,5
17267,1.0,1.0,1.0,1,1,3,3
17285,1.0,1.0,1.0,1,1,2,2
17320,0.4,1.0,0.5714285714285714,0,1,5,2
17337,1.0,1.0,1.0,1,1,1,1
17338,0.2857142857142857,1.0,0.4444444444444444,0,1,7,2
17472,0.0,0.0,0.0,0,0,1,2
17548,0.2,1.0,0.3333333333333333,0,1,5,1
17595,0.0,0.0,0.0,0,0,12,1
17640,1.0,1.0,1.0,1,1,3,3
17761,0.2,1.0,0.3333333333333333,0,1,5,1
18019,1.0,1.0,1.0,1,1,3,3
18061,0.5,0.5,0.5,0,1,2,2
18091,1.0,1.0,1.0,1,1,1,1
18266,1.0,1.0,1.0,1,1,1,1
18293,1.0,1.0,1.0,1,1,1,1
18569,1.0,0.5,0.6666666666666666,0,1,1,2
18593,0.0625,1.0,0.11764705882352941,0,1,16,1
18685,1.0,0.75,0.8571428571428571,0,1,3,4
18687,0.2,1.0,0.3333333333333333,0,1,5,1
18725,1.0,1.0,1.0,1,1,1,1
18730,1.0,1.0,1.0,1,1,1,1
18765,0.0,0.0,0.0,0,0,7,1
18840,1.0,1.0,1.0,1,1,1,1
18909,0.0,0.0,0.0,0,0,2,3
19043,1.0,1.0,1.0,1,1,7,7
19473,0.2857142857142857,0.5,0.36363636363636365,0,1,7,4
19563,0.5,1.0,0.6666666666666666,0,1,2,1
19705,1.0,1.0,1.0,1,1,1,1
20069,1.0,1.0,1.0,1,1,1,1
20411,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,3,3
20731,0.0,0.0,0.0,0,0,0,3
20826,1.0,1.0,1.0,1,1,1,1
20836,1.0,1.0,1.0,1,1,2,2
