Issue,K,MRR,NDCG_at_K,P_at_K
521,1,1.0,1.0,1.0
1935,1,1.0,1.0,1.0
4156,2,0.2,0.0,0.0
5650,2,1.0,1.0,1.0
7853,1,1.0,1.0,1.0
8270,1,0.06666666666666667,0.0,0.0
9210,1,1.0,1.0,1.0
9229,1,0.25,0.0,0.0
9853,1,1.0,1.0,1.0
10230,3,1.0,1.0,1.0
11238,2,1.0,0.6131471927654584,0.5
11705,1,1.0,1.0,1.0
11710,1,0.14285714285714285,0.0,0.0
11747,3,1.0,0.46927872602275644,0.3333333333333333
11859,5,1.0,0.8687949224876582,0.8
12314,3,0.5,0.2960819109658652,0.3333333333333333
12854,1,1.0,1.0,1.0
12944,1,0.3333333333333333,0.0,0.0
12947,1,0.5,0.0,0.0
13003,1,0.14285714285714285,0.0,0.0
13078,6,0.5,0.19092086617893467,0.16666666666666666
13138,5,0.02631578947368421,0.0,0.0
13504,1,1.0,1.0,1.0
13521,2,1.0,1.0,1.0
13616,4,0.5,0.24630238874073,0.25
14181,1,1.0,1.0,1.0
14216,1,1.0,1.0,1.0
14241,2,1.0,0.6131471927654584,0.5
14786,3,1.0,0.7039180890341347,0.6666666666666666
15029,7,1.0,0.8020378746650065,0.7142857142857143
15062,1,1.0,1.0,1.0
15078,5,1.0,0.5531464700081437,0.4
15214,2,1.0,1.0,1.0
15239,3,1.0,0.7653606369886217,0.6666666666666666
15341,4,0.5,0.6096199500078984,0.75
15367,3,1.0,0.7039180890341347,0.6666666666666666
15569,1,1.0,1.0,1.0
15652,1,1.0,1.0,1.0
15659,1,1.0,1.0,1.0
15703,7,0.043478260869565216,0.0,0.0
16068,1,1.0,1.0,1.0
16231,1,1.0,1.0,1.0
16240,1,1.0,1.0,1.0
16358,1,1.0,1.0,1.0
16424,1,1.0,1.0,1.0
16511,1,1.0,1.0,1.0
16833,1,1.0,1.0,1.0
16850,1,0.2,0.0,0.0
16996,2,1.0,0.6131471927654584,0.5
17061,1,1.0,1.0,1.0
17085,1,1.0,1.0,1.0
17117,6,1.0,1.0,1.0
17292,4,0.14285714285714285,0.0,0.0
17560,1,1.0,1.0,1.0
17641,2,0.5,0.38685280723454163,0.5
17654,2,1.0,0.6131471927654584,0.5
17766,2,1.0,1.0,1.0
17844,2,1.0,1.0,1.0
18003,1,0.1,0.0,0.0
18120,7,1.0,0.7837042816946693,0.7142857142857143
18150,4,1.0,0.3903800499921017,0.25
18176,2,1.0,0.6131471927654584,0.5
18235,3,1.0,0.7039180890341347,0.6666666666666666
18299,1,0.5,0.0,0.0
18301,4,1.0,0.8318724637288826,0.75
18544,1,1.0,1.0,1.0
18838,5,1.0,0.8687949224876582,0.8
19006,3,0.5,0.2960819109658652,0.3333333333333333
19014,3,1.0,0.7039180890341347,0.6666666666666666
19118,2,1.0,1.0,1.0
19232,2,1.0,1.0,1.0
19446,4,0.5,0.6096199500078984,0.75
19690,1,1.0,1.0,1.0
20293,7,0.5,0.5355852974309776,0.5714285714285714
20368,1,1.0,1.0,1.0
20420,4,1.0,1.0,1.0
21053,3,1.0,1.0,1.0
