Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
309,1.0,0.6,0.75,0,1,3,5
3368,1.0,1.0,1.0,1,1,1,1
3553,0.5,1.0,0.6666666666666666,0,1,4,2
3595,1.0,0.5,0.6666666666666666,0,1,1,2
4284,0.2,0.25,0.2222222222222222,0,0,5,4
4584,1.0,1.0,1.0,1,1,1,1
5685,1.0,1.0,1.0,1,1,3,3
9176,1.0,0.8333333333333334,0.9090909090909091,0,1,5,6
9511,0.5,0.5,0.5,0,1,2,2
9604,1.0,1.0,1.0,1,1,1,1
9838,1.0,1.0,1.0,1,1,1,1
9847,1.0,0.5,0.6666666666666666,0,1,1,2
9865,1.0,0.8571428571428571,0.9230769230769231,0,1,6,7
9976,1.0,0.5,0.6666666666666666,0,1,3,6
10152,1.0,1.0,1.0,1,1,1,1
10224,1.0,0.5,0.6666666666666666,0,1,1,2
10453,0.0,0.0,0.0,0,0,1,3
11568,0.5,1.0,0.6666666666666666,0,1,2,1
11735,0.2,1.0,0.3333333333333333,0,1,5,1
11772,0.5,1.0,0.6666666666666666,0,1,2,1
12318,0.3333333333333333,1.0,0.5,0,1,3,1
12329,0.25,1.0,0.4,0,1,4,1
12417,1.0,1.0,1.0,1,1,1,1
12745,1.0,0.6666666666666666,0.8,0,1,2,3
12925,0.3333333333333333,0.6666666666666666,0.4444444444444444,0,1,6,3
13032,1.0,1.0,1.0,1,1,2,2
13037,0.0,0.0,0.0,0,0,4,1
13090,1.0,1.0,1.0,1,1,1,1
13220,0.0,0.0,0.0,0,0,21,3
13300,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,1,7,7
13333,1.0,0.8,0.8888888888888888,0,1,4,5
13365,0.0,0.0,0.0,0,0,4,4
13440,0.5,1.0,0.6666666666666666,0,1,2,1
13710,1.0,1.0,1.0,1,1,1,1
13760,0.0,0.0,0.0,0,0,1,1
13786,1.0,1.0,1.0,1,1,1,1
13956,0.07692307692307693,1.0,0.14285714285714285,0,1,13,1
14185,1.0,1.0,1.0,1,1,1,1
14402,1.0,1.0,1.0,1,1,4,4
14505,1.0,0.2,0.3333333333333333,0,0,1,5
14736,0.5,0.3333333333333333,0.4,0,0,2,3
14936,1.0,1.0,1.0,1,1,1,1
15152,1.0,1.0,1.0,1,1,4,4
15543,0.0,0.0,0.0,0,0,5,3
15612,1.0,1.0,1.0,1,1,1,1
16021,1.0,1.0,1.0,1,1,1,1
16338,1.0,0.25,0.4,0,0,1,4
16399,1.0,0.5,0.6666666666666666,0,1,1,2
16642,1.0,0.2,0.3333333333333333,0,0,1,5
16723,1.0,0.14285714285714285,0.25,0,0,1,7
16747,0.2,1.0,0.3333333333333333,0,1,5,1
16959,1.0,0.7142857142857143,0.8333333333333334,0,1,5,7
17040,0.5,1.0,0.6666666666666666,0,1,2,1
17056,1.0,1.0,1.0,1,1,4,4
17226,0.5,0.5,0.5,0,1,2,2
17299,0.0,0.0,0.0,0,0,2,1
17332,1.0,1.0,1.0,1,1,6,6
17359,0.09090909090909091,1.0,0.16666666666666666,0,1,11,1
17628,0.2857142857142857,0.6666666666666666,0.4,0,1,7,3
17669,0.5,1.0,0.6666666666666666,0,1,2,1
17704,1.0,1.0,1.0,1,1,1,1
17787,1.0,1.0,1.0,1,1,1,1
17918,0.25,0.5,0.3333333333333333,0,1,4,2
18007,1.0,1.0,1.0,1,1,1,1
18229,0.0,0.0,0.0,0,0,1,1
18367,1.0,1.0,1.0,1,1,1,1
18372,1.0,1.0,1.0,1,1,1,1
18400,1.0,0.5,0.6666666666666666,0,1,1,2
18414,1.0,0.25,0.4,0,0,1,4
18547,1.0,1.0,1.0,1,1,1,1
18680,0.0,0.0,0.0,0,0,2,3
18849,0.5,1.0,0.6666666666666666,0,1,4,2
18911,0.5,1.0,0.6666666666666666,0,1,2,1
18938,0.0,0.0,0.0,0,0,7,2
19256,0.4,1.0,0.5714285714285714,0,1,5,2
19360,0.2857142857142857,1.0,0.4444444444444444,0,1,7,2
19595,0.3333333333333333,1.0,0.5,0,1,3,1
19811,1.0,0.75,0.8571428571428571,0,1,3,4
20145,1.0,1.0,1.0,1,1,3,3
