Issue,K,MRR,NDCG_at_K,P_at_K
751,1,1.0,1.0,1.0
2392,1,1.0,1.0,1.0
8159,5,1.0,1.0,1.0
8283,1,1.0,1.0,1.0
8524,7,1.0,0.6836550817096436,0.5714285714285714
9611,4,0.25,0.16812753627111746,0.25
9655,6,1.0,1.0,1.0
9997,1,1.0,1.0,1.0
10146,2,1.0,0.6131471927654584,0.5
10856,1,0.1111111111111111,0.0,0.0
10870,1,0.2,0.0,0.0
10873,6,1.0,0.5842273861585908,0.5
11352,2,1.0,1.0,1.0
11688,1,1.0,1.0,1.0
11699,1,0.16666666666666666,0.0,0.0
12036,1,0.05555555555555555,0.0,0.0
12089,1,0.3333333333333333,0.0,0.0
12406,1,1.0,1.0,1.0
12807,2,1.0,0.6131471927654584,0.5
12885,1,0.5,0.0,0.0
12970,5,0.14285714285714285,0.0,0.0
13320,4,1.0,0.8318724637288826,0.75
13446,7,1.0,0.9083745556952364,0.8571428571428571
13449,1,0.125,0.0,0.0
13484,2,1.0,0.6131471927654584,0.5
13817,4,1.0,0.8318724637288826,0.75
13976,1,1.0,1.0,1.0
14125,5,0.5,0.21398626473452756,0.2
14304,1,0.5,0.0,0.0
14396,6,1.0,0.892210845475489,0.8333333333333334
14583,4,1.0,0.3903800499921017,0.25
14875,7,0.5,0.6334982227809455,0.7142857142857143
15025,4,1.0,1.0,1.0
15375,2,1.0,1.0,1.0
15535,2,0.5,0.38685280723454163,0.5
15555,2,1.0,0.6131471927654584,0.5
15636,3,1.0,0.46927872602275644,0.3333333333333333
15670,1,1.0,1.0,1.0
16146,1,0.07142857142857142,0.0,0.0
16270,3,1.0,1.0,1.0
16535,3,1.0,0.7039180890341347,0.6666666666666666
16687,1,0.5,0.0,0.0
16887,3,0.5,0.2960819109658652,0.3333333333333333
17020,1,1.0,1.0,1.0
17105,5,1.0,0.8687949224876582,0.8
17267,3,1.0,1.0,1.0
17285,2,1.0,1.0,1.0
17320,2,1.0,0.6131471927654584,0.5
17337,1,1.0,1.0,1.0
17338,2,1.0,0.6131471927654584,0.5
17472,2,0.3333333333333333,0.0,0.0
17548,1,0.3333333333333333,0.0,0.0
17595,1,0.004081632653061225,0.0,0.0
17640,3,1.0,1.0,1.0
17761,1,1.0,1.0,1.0
18019,3,1.0,1.0,1.0
18061,2,1.0,0.6131471927654584,0.5
18091,1,1.0,1.0,1.0
18266,1,1.0,1.0,1.0
18293,1,1.0,1.0,1.0
18569,2,1.0,0.6131471927654584,0.5
18593,1,1.0,1.0,1.0
18685,4,1.0,0.8318724637288826,0.75
18687,1,0.5,0.0,0.0
18725,1,1.0,1.0,1.0
18730,1,1.0,1.0,1.0
18765,1,0.2,0.0,0.0
18840,1,1.0,1.0,1.0
18909,3,0.3333333333333333,0.23463936301137822,0.3333333333333333
19043,7,1.0,1.0,1.0
19473,4,0.5,0.4144299250118475,0.5
19563,1,1.0,1.0,1.0
19705,1,1.0,1.0,1.0
20069,1,1.0,1.0,1.0
20411,3,1.0,0.46927872602275644,0.3333333333333333
20731,3,1.0,1.0,1.0
20826,1,1.0,1.0,1.0
20836,2,1.0,1.0,1.0
