Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
11,1.0,1.0,1.0,1,1,1,1
431,1.0,1.0,1.0,1,1,1,1
544,0.5,1.0,0.6666666666666666,0,1,2,1
723,1.0,1.0,1.0,1,1,1,1
2260,1.0,1.0,1.0,1,1,1,1
6631,1.0,1.0,1.0,1,1,3,3
7455,0.6666666666666666,1.0,0.8,0,1,3,2
8348,1.0,1.0,1.0,1,1,1,1
8866,0.3333333333333333,1.0,0.5,0,1,3,1
9211,0.5,0.5,0.5,0,1,2,2
9690,1.0,0.6666666666666666,0.8,0,1,2,3
10203,0.25,1.0,0.4,0,1,4,1
10314,0.5,1.0,0.6666666666666666,0,1,4,2
10838,1.0,0.25,0.4,0,0,1,4
10858,1.0,0.5,0.6666666666666666,0,1,2,4
10866,1.0,0.5,0.6666666666666666,0,1,1,2
10897,0.6666666666666666,1.0,0.8,0,1,3,2
10920,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
10977,0.5,1.0,0.6666666666666666,0,1,2,1
11563,1.0,0.5,0.6666666666666666,0,1,1,2
11601,1.0,1.0,1.0,1,1,1,1
11686,0.5,0.75,0.6,0,1,6,4
11693,0.25,1.0,0.4,0,1,4,1
11809,0.125,1.0,0.2222222222222222,0,1,8,1
12087,0.5,1.0,0.6666666666666666,0,1,2,1
12404,0.3,0.5,0.375,0,1,10,6
12682,0.07142857142857142,0.2,0.10526315789473684,0,0,14,5
12783,1.0,0.5,0.6666666666666666,0,1,2,4
12892,1.0,1.0,1.0,1,1,2,2
12939,0.25,1.0,0.4,0,1,4,1
12949,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
13013,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
13021,0.1111111111111111,0.5,0.18181818181818182,0,1,9,2
13044,0.25,1.0,0.4,0,1,4,1
13061,0.16666666666666666,0.6666666666666666,0.26666666666666666,0,1,12,3
13141,1.0,0.5,0.6666666666666666,0,1,3,6
13238,0.3333333333333333,1.0,0.5,0,1,3,1
13263,0.0,0.0,0.0,0,0,1,1
13548,1.0,0.5714285714285714,0.7272727272727273,0,1,4,7
13839,1.0,1.0,1.0,1,1,3,3
13998,0.3333333333333333,0.6666666666666666,0.4444444444444444,0,1,6,3
14189,0.5,1.0,0.6666666666666666,0,1,2,1
14236,1.0,1.0,1.0,1,1,1,1
14938,1.0,0.25,0.4,0,0,1,4
14993,0.5,1.0,0.6666666666666666,0,1,2,1
15705,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,3,3
15716,0.4,0.4,0.4,0,0,5,5
16143,0.6666666666666666,0.8,0.7272727272727273,0,1,6,5
16252,1.0,1.0,1.0,1,1,1,1
16349,0.0,0.0,0.0,0,0,2,4
16495,1.0,1.0,1.0,1,1,1,1
16616,0.2857142857142857,1.0,0.4444444444444444,0,1,7,2
16647,0.3333333333333333,0.6666666666666666,0.4444444444444444,0,1,6,3
17164,0.6666666666666666,0.8,0.7272727272727273,0,1,6,5
17352,1.0,1.0,1.0,1,1,2,2
17834,1.0,1.0,1.0,1,1,1,1
17914,1.0,0.6666666666666666,0.8,0,1,2,3
18005,0.5,1.0,0.6666666666666666,0,1,2,1
18099,1.0,1.0,1.0,1,1,1,1
18170,0.0,0.0,0.0,0,0,2,1
18373,0.3333333333333333,0.5,0.4,0,1,3,2
18382,0.25,1.0,0.4,0,1,4,1
18491,1.0,1.0,1.0,1,1,4,4
18596,0.5,1.0,0.6666666666666666,0,1,2,1
18913,0.14285714285714285,0.5,0.2222222222222222,0,1,7,2
18936,0.14285714285714285,0.3333333333333333,0.2,0,0,7,3
19197,1.0,1.0,1.0,1,1,1,1
19463,0.0,0.0,0.0,0,0,5,3
19502,0.5,0.5,0.5,0,1,2,2
19524,0.5,1.0,0.6666666666666666,0,1,2,1
19586,0.6,0.42857142857142855,0.5,0,0,5,7
19929,1.0,0.2857142857142857,0.4444444444444444,0,0,2,7
20119,1.0,1.0,1.0,1,1,1,1
20172,1.0,1.0,1.0,1,1,1,1
20942,0.25,1.0,0.4,0,1,4,1
20963,1.0,0.5,0.6666666666666666,0,1,1,2
