Issue,K,Predicted,Inter,AllCorrect,HalfCorrect,Precision,Recall,F1
659,1,1,1,1,1,1.0,1.0,1.0
2304,2,2,2,1,1,1.0,1.0,1.0
3360,6,6,6,1,1,1.0,1.0,1.0
3542,1,1,1,1,1,1.0,1.0,1.0
4527,1,1,1,1,1,1.0,1.0,1.0
4876,1,1,0,0,0,0.0,0.0,0.0
6603,3,3,3,1,1,1.0,1.0,1.0
7293,2,2,2,1,1,1.0,1.0,1.0
9034,5,5,3,0,1,0.6,0.6,0.6
9146,4,4,3,0,1,0.75,0.75,0.75
9166,1,1,0,0,0,0.0,0.0,0.0
9175,3,3,3,1,1,1.0,1.0,1.0
9314,4,4,0,0,0,0.0,0.0,0.0
9405,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
9856,1,1,1,1,1,1.0,1.0,1.0
10414,2,2,2,1,1,1.0,1.0,1.0
10972,4,4,0,0,0,0.0,0.0,0.0
11141,2,2,1,0,1,0.5,0.5,0.5
11737,1,1,1,1,1,1.0,1.0,1.0
12353,1,1,1,1,1,1.0,1.0,1.0
12470,2,2,2,1,1,1.0,1.0,1.0
12623,7,7,3,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855
12778,1,1,1,1,1,1.0,1.0,1.0
12787,4,4,0,0,0,0.0,0.0,0.0
12935,1,1,1,1,1,1.0,1.0,1.0
13027,1,1,1,1,1,1.0,1.0,1.0
13232,1,1,1,1,1,1.0,1.0,1.0
13740,1,1,1,1,1,1.0,1.0,1.0
13847,2,2,2,1,1,1.0,1.0,1.0
13862,1,1,1,1,1,1.0,1.0,1.0
14026,5,5,3,0,1,0.6,0.6,0.6
14037,1,1,1,1,1,1.0,1.0,1.0
14117,1,1,1,1,1,1.0,1.0,1.0
14199,2,2,1,0,1,0.5,0.5,0.5
14233,7,7,4,0,1,0.5714285714285714,0.5714285714285714,0.5714285714285714
14506,2,2,2,1,1,1.0,1.0,1.0
15123,1,1,1,1,1,1.0,1.0,1.0
15204,1,1,1,1,1,1.0,1.0,1.0
15437,1,1,0,0,0,0.0,0.0,0.0
15592,5,5,1,0,0,0.2,0.2,0.2
15916,7,7,7,1,1,1.0,1.0,1.0
16624,2,2,1,0,1,0.5,0.5,0.5
16629,1,1,1,1,1,1.0,1.0,1.0
16785,3,3,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
17058,6,6,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
17104,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
17244,1,1,0,0,0,0.0,0.0,0.0
17275,2,2,1,0,1,0.5,0.5,0.5
17295,1,1,1,1,1,1.0,1.0,1.0
17457,1,1,1,1,1,1.0,1.0,1.0
17529,1,1,1,1,1,1.0,1.0,1.0
17545,3,3,2,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
17638,1,1,1,1,1,1.0,1.0,1.0
17989,2,2,1,0,1,0.5,0.5,0.5
17992,1,1,1,1,1,1.0,1.0,1.0
18322,3,3,3,1,1,1.0,1.0,1.0
18353,1,1,1,1,1,1.0,1.0,1.0
18561,3,3,3,1,1,1.0,1.0,1.0
18567,1,1,1,1,1,1.0,1.0,1.0
18637,1,1,1,1,1,1.0,1.0,1.0
18695,4,4,4,1,1,1.0,1.0,1.0
18788,1,1,1,1,1,1.0,1.0,1.0
18809,3,3,3,1,1,1.0,1.0,1.0
18843,2,2,2,1,1,1.0,1.0,1.0
18927,2,2,1,0,1,0.5,0.5,0.5
18933,4,4,2,0,1,0.5,0.5,0.5
18934,2,2,0,0,0,0.0,0.0,0.0
18986,1,1,1,1,1,1.0,1.0,1.0
19026,1,1,0,0,0,0.0,0.0,0.0
19286,1,1,0,0,0,0.0,0.0,0.0
19338,1,1,1,1,1,1.0,1.0,1.0
19544,1,1,1,1,1,1.0,1.0,1.0
20494,4,4,3,0,1,0.75,0.75,0.75
